"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",716,407,56.8435754189944,706,706,43.9,494,151,343,528,717,15
"Benevento",468,267,57.051282051282,452,452,39.6,369,115,254,384,680,14
"Bologna",588,348,59.1836734693878,628,628,45.1,424,128,296,432,637,15
"Cagliari",550,312,56.7272727272727,605,605,44.5,410,116,294,414,706,9
"Crotone",602,361,59.9667774086379,622,622,38.1,375,83,292,423,522,8
"Fiorentina",672,369,54.9107142857143,575,575,43.5,351,86,265,380,753,10
"Genoa",551,328,59.5281306715064,540,540,45.6,367,91,276,443,579,10
"Hellas Verona",496,297,59.8790322580645,479,479,39,396,107,289,476,632,5
"Inter",455,264,58.021978021978,453,453,42.6,414,126,288,414,693,11
"Juventus",533,303,56.8480300187617,684,684,34.1,427,153,274,402,699,7
"Lazio",560,292,52.1428571428571,553,553,46.3,420,124,296,453,781,13
"Milan",553,297,53.7070524412297,669,669,38,422,147,275,417,711,10
"Napoli",497,278,55.9356136820926,628,628,38.5,466,170,296,403,644,17
"Parma",519,302,58.1888246628131,589,589,38.5,362,96,266,414,593,7
"Roma",490,290,59.1836734693878,663,663,40.1,421,137,284,452,637,16
"Sampdoria",479,293,61.1691022964509,484,484,39.7,396,125,271,460,785,16
"Sassuolo",603,345,57.2139303482587,718,718,40.4,445,155,290,442,631,10
"Spezia",501,280,55.8882235528942,528,528,39,362,89,273,459,644,12
"Torino",543,306,56.353591160221,634,634,38.8,394,116,278,385,677,20
"Udinese",563,296,52.5754884547069,609,609,38.3,362,100,262,444,672,19
