"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Abde Ezzalzouli","Osasuna","MAR","FW","MF",20,2,6,0,0,40,16,40,0.1,0.25,19.1,2,58,27,31,4,4,0
"Abdón Prats","Mallorca","ESP","FW","MF",29,1,2,0,0,6,4,66.7,0.17,0.25,13.9,0,5,5,0,1,1,0
"Abdul Mumin","Rayo Vallecano","GHA","DF",NA,24,0,0,0,0,6,1,16.7,0,0,11.3,0,6,4,2,0,0,0
"Abner","Betis","BRA","DF",NA,22,0,0,0,0,5,1,20,0,0,13.6,0,8,5,3,1,1,0
"Adnan Januzaj","Sevilla","BEL","FW",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adri Embarba","Espanyol","ESP","FW",NA,30,0,0,0,0,47,19,40.4,0.06,0.16,23.9,13,2,0,2,0,0,0
"Adri Embarba","Espanyol","ESP","FW",NA,30,0,0,0,0,47,19,40.4,0.06,0.16,23.9,13,62,29,33,9,3,6
"Adri Embarba","Almería","ESP","FW","MF",30,3,7,1,1,47,19,40.4,0.06,0.16,23.9,13,2,0,2,0,0,0
"Adri Embarba","Almería","ESP","FW","MF",30,3,7,1,1,47,19,40.4,0.06,0.16,23.9,13,62,29,33,9,3,6
"Adrià Pedrosa","Espanyol","ESP","DF","MF",24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,0,0
"Adu Ares","Athletic Club","ESP","FW","MF",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,12,7,5,0,0,0
"Agustín Marchesín","Celta Vigo","ARG","GK",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Aihen Muñoz","Real Sociedad","ESP","DF",NA,24,1,1,0,0,6,2,33.3,0,0,24.8,0,36,25,11,2,2,0
"Aimar Oroz","Osasuna","ESP","MF","FW",20,6,9,1,1,22,7,31.8,0.09,0.29,17.2,2,77,61,16,11,11,0
"Aïssa Mandi","Villarreal","ALG","DF",NA,30,0,0,0,0,2,2,100,0,0,19.9,0,9,8,1,2,2,0
"Aitor Fernández","Osasuna","ESP","GK",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1,0
"Aitor Paredes","Athletic Club","ESP","DF",NA,22,0,0,0,0,8,3,37.5,0,0,12.6,0,5,3,2,0,0,0
"Aitor Ruibal","Betis","ESP","DF","FW",26,0,0,0,0,15,6,40,0,0,19.8,0,37,26,11,1,1,0
"Alberto Del Moral","Villarreal","ESP","MF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alberto Marí","Valencia","ESP","FW","MF",21,0,1,0,0,2,1,50,0.5,1,10.7,0,0,0,0,0,0,0
"Alberto Moreno","Villarreal","ESP","DF",NA,30,1,1,0,0,15,3,20,0,0,20.7,2,28,24,4,2,2,0
"Alberto Perea","Cádiz","ESP","MF",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Aleix García","Girona","ESP","MF",NA,25,5,6,0,0,32,14,43.8,0.03,0.07,23.2,4,125,69,56,16,10,6
"Aleix Garrido","Barcelona","ESP","FW",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aleix Vidal","Espanyol","ESP","MF","FW",32,3,3,0,0,3,2,66.7,0,0,17.4,0,25,16,9,5,3,2
"Alejandro Alfaro","Elche","ESP","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alejandro Balde","Barcelona","ESP","DF",NA,18,6,7,0,0,19,4,21.1,0.05,0.25,17.9,0,66,50,16,8,8,0
"Alejandro Pozo Pozo","Almería","ESP","DF",NA,23,3,3,0,0,10,2,20,0,0,20.4,0,49,38,11,7,7,0
"Alejandro Revuelta Montero","Getafe","ESP","DF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alex Baena","Villarreal","ESP","MF","FW",21,2,8,0,0,62,22,35.5,0.1,0.27,22.6,3,79,58,21,8,5,3
"Álex Berenguer","Athletic Club","ESP","FW",NA,27,1,5,0,0,56,19,33.9,0.07,0.21,18,4,98,48,50,4,2,2
"Álex Centelles","Almería","ESP","DF",NA,24,2,3,0,0,5,2,40,0.2,0.5,21.2,0,24,15,9,4,3,1
"Álex Collado","Elche","ESP","MF",NA,23,1,2,0,0,17,6,35.3,0.06,0.17,22.9,0,35,25,10,2,2,0
"Álex Fernández","Cádiz","ESP","MF","FW",29,0,3,1,1,16,8,50,0.13,0.25,12.9,0,39,27,12,1,1,0
"Álex Moreno","Betis","ESP","DF",NA,29,3,3,0,0,13,4,30.8,0,0,17.9,0,20,13,7,4,3,1
"Álex Remiro","Real Sociedad","ESP","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,3,3,0,0,0
"Alex Sola","Real Sociedad","ESP","DF",NA,23,0,0,0,0,4,1,25,0,0,26.4,0,6,3,3,2,1,1
"Alex Telles","Sevilla","BRA","DF",NA,29,2,2,0,0,12,1,8.3,0,0,22.5,1,42,31,11,4,3,1
"Alexander Callens","Girona","PER","DF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Alexander Isak","Real Sociedad","SWE","FW",NA,22,0,1,0,0,3,1,33.3,0.33,1,12,0,2,2,0,0,0,0
"Alexander Sørloth","Real Sociedad","NOR","FW",NA,26,3,15,0,0,63,27,42.9,0.19,0.44,11.3,0,58,41,17,5,4,1
"Alfonso Espino","Cádiz","URU","DF",NA,30,4,4,0,0,20,1,5,0,0,28.9,0,70,59,11,7,5,2
"Alfonso Pedraza","Villarreal","ESP","DF",NA,26,3,3,0,0,26,10,38.5,0,0,18.4,0,39,30,9,5,4,1
"Álvaro Aceves","Valladolid","ESP","GK",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Álvaro Aguado","Valladolid","ESP","MF",NA,26,2,3,0,0,20,6,30,0.05,0.17,24.6,1,76,56,20,4,2,2
"Álvaro Fernández","Espanyol","ESP","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Álvaro García","Rayo Vallecano","ESP","FW","MF",29,5,10,0,0,52,21,40.4,0.1,0.24,17.7,0,95,70,25,14,9,5
"Álvaro Giménez","Cádiz","ESP","FW",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
