"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Sergio Asenjo","Valladolid","ESP","GK",NA,33,2,2,6,21,30,60.8,1,10,0,0
"Édgar Badía","Elche","ESP","GK",NA,30,5,10,21,63,136,72,4,11.1,3,30
"Yassine Bounou","Sevilla","MAR","GK",NA,31,7,6,12,41,66,63.2,4,16,1,33.3
"Claudio Bravo","Betis","CHI","GK",NA,39,5,5,2,9,33,81,4,33.3,0,0
"Juan Carlos","Girona","ESP","GK",NA,34,2,2,6,18,25,62.8,0,0,0,0
"Thibaut Courtois","Real Madrid","BEL","GK",NA,30,20,5,6,29,88,78.8,10,32.3,1,20
"Stole Dimitrievski","Rayo Vallecano","MKD","GK",NA,28,13,10,14,49,94,67.6,9,24.3,0,0
"Fernando","Almería","ESP","GK",NA,32,11,8,18,61,132,70.5,4,10.8,1,20
"Joan García","Espanyol","ESP","GK",NA,21,0,1,0,3,1,50,0,0,0,0
"Paulo Gazzaniga","Girona","ARG","GK",NA,30,11,8,9,37,87,73.6,4,14.3,1,20
"David Gil","Cádiz","ESP","GK",NA,28,1,1,2,5,18,82.6,1,25,0,0
"Ivo Grbić","Atlético Madrid","CRO","GK",NA,26,6,3,1,12,36,81.3,2,20,0,0
"Sergio Herrera","Osasuna","ESP","GK",NA,29,5,3,9,23,48,69,3,17.6,1,50
"Jeremías Ledesma","Cádiz","ARG","GK",NA,29,9,11,14,48,130,77.7,12,35.3,1,11.1
"Giorgi Mamardashvili","Valencia","GEO","GK",NA,21,11,9,18,45,105,70.9,7,18.4,0,0
"Agustín Marchesín","Celta Vigo","ARG","GK",NA,34,5,5,9,29,42,62.5,6,31.6,2,50
"Jordi Masip","Valladolid","ESP","GK",NA,33,9,5,14,42,101,74.5,8,28.6,3,37.5
"Jan Oblak","Atlético Madrid","SVN","GK",NA,29,17,5,6,20,59,75.9,11,39.3,0,0
"Fernando Pacheco","Espanyol","ESP","GK",NA,30,4,3,9,33,54,67,3,18.8,1,20
"Predrag Rajković","Mallorca","SRB","GK",NA,26,13,8,15,40,92,74.4,12,33.3,1,14.3
"Pepe Reina","Villarreal","ESP","GK",NA,39,13,3,6,27,61,73.6,5,22.7,0,0
"Álex Remiro","Real Sociedad","ESP","GK",NA,27,21,8,9,35,99,74.4,15,39.5,1,50
"Rui Silva","Betis","POR","GK",NA,28,12,4,10,32,73,71.2,9,34.6,0,0
"Unai Simón","Athletic Club","ESP","GK",NA,25,13,6,12,37,70,67.3,9,29,0,0
"David Soria","Getafe","ESP","GK",NA,29,10,12,16,45,119,75.3,13,34.2,4,50
"Marc-André ter Stegen","Barcelona","GER","GK",NA,30,28,4,6,18,83,84.7,26,68.4,0,0
"Iván Villar","Celta Vigo","ESP","GK",NA,25,6,5,8,24,38,66.1,4,21.1,0,0
