"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Abner","Betis","BRA","DF",NA,22,12,9,75,16,16,43.8,8,2,6,8,24,0
"Marcos Acuña","Sevilla","ARG","DF",NA,30,57,36,63.1578947368421,42,42,71.4,16,5,11,23,36,0
"Álvaro Aguado","Valladolid","ESP","MF",NA,26,27,15,55.5555555555556,25,25,60,16,4,12,13,15,0
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,26,51,36,70.5882352941177,28,28,57.1,26,14,12,31,150,0
"Sergio Akieme","Almería","ESP","DF",NA,24,27,16,59.2592592592593,22,22,54.5,22,6,16,14,41,0
"Paul Akouokou","Betis","CIV","MF","DF",24,16,9,56.25,20,20,65,2,2,0,12,17,1
"David Alaba","Real Madrid","AUT","DF",NA,30,15,11,73.3333333333333,15,15,60,18,9,9,14,37,1
"Ángel Alarcón","Barcelona","ESP","FW","MF",18,0,0,NA,2,2,0,0,0,0,0,0,0
"Tomás Alarcón","Cádiz","CHI","MF",NA,23,3,2,66.6666666666667,2,2,50,1,0,1,2,2,0
"Jordi Alba","Barcelona","ESP","DF",NA,33,25,18,72,28,28,42.9,12,5,7,11,23,0
"Raúl Albiol","Villarreal","ESP","DF",NA,36,25,17,68,18,18,77.8,17,13,4,14,111,0
"Rubén Alcaraz","Cádiz","ESP","MF",NA,31,43,31,72.093023255814,54,54,35.2,23,8,15,19,37,0
"Omar Alderete","Getafe","PAR","DF",NA,25,35,20,57.1428571428571,40,40,70,23,16,7,26,85,0
"Iván Alejo","Cádiz","ESP","MF","FW",27,32,21,65.625,37,37,45.9,18,3,15,5,12,1
"Carles Aleñá","Getafe","ESP","MF","FW",24,18,10,55.5555555555556,34,34,14.7,19,1,18,4,18,0
"Ángel Algobia","Getafe","ESP","MF",NA,23,27,13,48.1481481481481,48,48,45.8,15,5,10,3,11,0
"Mohamed Ali Cho","Real Sociedad","FRA","FW","MF",18,13,10,76.9230769230769,10,10,40,9,0,9,2,2,0
"Domingos André Ribeiro Almeida","Valencia","POR","MF",NA,22,66,42,63.6363636363636,57,57,45.6,26,0,26,20,16,1
"Marcos Alonso","Barcelona","ESP","DF",NA,31,15,10,66.6666666666667,12,12,75,14,10,4,11,32,0
"Gastón Álvarez","Getafe","URU","DF",NA,22,38,30,78.9473684210526,42,42,54.8,15,5,10,15,35,0
"Yeray Álvarez","Athletic Club","ESP","DF",NA,27,34,23,67.6470588235294,31,31,77.4,23,13,10,48,101,0
"Selim Amallah","Valladolid","MAR","MF","FW",25,15,9,60,8,8,62.5,2,0,2,5,2,0
"Amath","Mallorca","SEN","MF","FW",26,29,19,65.5172413793103,22,22,63.6,13,1,12,5,5,0
"Jordan Amavi","Getafe","FRA","DF",NA,28,3,2,66.6666666666667,3,3,33.3,3,0,3,4,7,0
"Marcos André","Valencia","BRA","FW","MF",25,4,1,25,2,2,50,4,1,3,0,0,0
"Fabrizio Angileri","Getafe","ARG","DF",NA,28,12,9,75,17,17,58.8,8,3,5,7,10,0
"Mauro Arambarri","Getafe","URU","MF",NA,26,14,6,42.8571428571429,17,17,17.6,17,5,12,14,19,0
"Ronald Araújo","Barcelona","URU","DF",NA,23,26,18,69.2307692307692,9,9,66.7,15,7,8,12,41,1
"Adu Ares","Athletic Club","ESP","FW","MF",20,4,2,50,4,4,100,1,0,1,2,1,0
"Roberto Arroyo","Valladolid","ESP","MF",NA,18,1,1,100,1,1,100,0,0,0,0,0,0
"Ricard Artero","Girona","ESP","MF","FW",19,3,3,100,1,1,100,2,0,2,1,3,0
"Santiago Arzamendia","Cádiz","PAR","DF","MF",24,9,8,88.8888888888889,21,21,28.6,11,1,10,2,15,1
