"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Max Aarons","Norwich City","ENG","DF",NA,21,64,44,68.75,55,55,67.3,39,19,20,28,96,1
"Che Adams","Southampton","SCO","FW",NA,25,13,6,46.1538461538462,16,16,12.5,18,2,16,8,18,0
"Rayan Aït-Nouri","Wolves","ALG","DF","MF",20,64,36,56.25,44,44,50,24,2,22,22,39,1
"Kristoffer Ajer","Brentford","NOR","DF",NA,23,29,18,62.0689655172414,21,21,61.9,19,11,8,26,74,0
"Nathan Aké","Manchester City","NED","DF",NA,26,16,9,56.25,8,8,75,7,5,2,8,23,0
"Marc Albrighton","Leicester City","ENG","FW","DF",31,31,19,61.2903225806452,47,47,21.3,15,3,12,14,20,0
"Thiago Alcántara","Liverpool","ESP","MF",NA,30,48,29,60.4166666666667,42,42,23.8,22,2,20,26,13,2
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,22,40,23,57.5,60,60,45,22,4,18,43,40,0
"Alisson","Liverpool","BRA","GK",NA,28,3,1,33.3333333333333,5,5,60,1,0,1,0,28,1
"Allan","Everton","BRA","MF",NA,30,74,44,59.4594594594595,105,105,32.4,40,9,31,23,39,1
"Dele Alli","Tottenham","ENG","MF",NA,25,14,8,57.1428571428571,17,17,29.4,22,5,17,6,16,0
"Dele Alli","Everton","ENG","MF","FW",25,7,2,28.5714285714286,4,4,0,7,2,5,6,10,0
"Miguel Almirón","Newcastle Utd","PAR","MF","FW",27,47,29,61.7021276595745,44,44,25,14,1,13,20,13,0
"Marcos Alonso","Chelsea","ESP","DF",NA,30,41,29,70.7317073170732,36,36,47.2,29,5,24,43,53,0
"Steven Alzate","Brighton","COL","MF",NA,22,10,4,40,7,7,57.1,2,1,1,10,10,0
"Daniel Amartey","Leicester City","GHA","DF",NA,26,26,13,50,29,29,65.5,30,22,8,21,93,4
