"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Connolly","Brighton","IRL","FW","MF",21,2000,4,156,39,4.6,1,60,0,3,32,1.25,2,1,23077,1200000
"Aaron Lennon","Burnley","ENG","MF","FW",34,1987,28,1551,55,45.4,17,81,8,11,15,1,11,25,20000,1040000
"Abdoulaye Doucouré","Everton","MLI","MF",NA,28,1993,30,2537,85,74.2,29,87,27,1,7,1.13,33,47,75000,3900000
"Adam Armstrong","Southampton","ENG","FW",NA,24,1997,23,1413,61,41.3,17,80,10,6,10,0.87,12,31,50000,2600000
"Adam Forshaw","Leeds United","ENG","MF",NA,29,1991,22,1530,70,44.7,17,83,13,5,23,1.05,20,41,20000,1040000
"Adam Idah","Norwich City","IRL","FW","MF",20,2001,17,625,37,18.3,6,83,3,11,12,0.76,7,11,5000,260000
"Adam Lallana","Brighton","ENG","MF",NA,33,1988,24,1561,65,45.6,18,81,10,6,18,1.5,20,20,90385,4700000
"Adam Masina","Watford","MAR","DF",NA,27,1994,15,1077,72,31.5,13,80,11,2,16,0.67,17,26,27885,1450000
"Adam Webster","Brighton","ENG","DF",NA,26,1995,22,1434,65,41.9,16,81,13,6,22,1.73,21,20,38077,1980000
"Adama Traoré","Wolves","ESP","FW","MF",25,1996,20,1067,53,31.2,10,85,5,10,22,1.55,9,10,43077,2240000
"Ademola Lookman","Leicester City","NGA","FW","MF",23,1997,26,1453,56,42.5,16,73,3,10,29,1.12,28,31,49038,2550000
"Ainsley Maitland-Niles","Arsenal","ENG","MF",NA,23,1997,8,268,34,7.8,2,86,1,6,16,2,2,4,35000,1820000
"Albert Sambi Lokonga","Arsenal","BEL","MF",NA,21,1999,19,1134,60,33.2,12,83,9,7,20,1.74,11,12,51923,2700000
"Alex Iwobi","Everton","NGA","MF","DF",25,1996,28,2035,73,59.5,22,86,15,6,23,1.32,27,38,50000,2600000
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",27,1993,17,785,46,23,9,64,0,8,26,2.41,15,7,120000,6240000
"Alex Telles","Manchester Utd","BRA","DF",NA,28,1992,21,1660,79,48.5,18,88,16,3,25,1.57,26,26,93077,4840000
"Alexandre Lacazette","Arsenal","FRA","FW",NA,30,1991,30,1782,59,52.1,20,80,6,10,18,1.8,36,17,182115,9470000
"Alexis Mac Allister","Brighton","ARG","MF","FW",22,1998,33,2123,64,62.1,22,86,18,11,21,1.33,31,29,30769,1600000
"Allan","Everton","BRA","MF",NA,30,1991,28,2183,78,63.8,25,85,17,3,23,1.14,26,38,70000,3640000
"Allan Saint-Maximin","Newcastle Utd","FRA","FW","MF",24,1997,35,2804,80,82,31,87,20,4,29,1.2,35,54,38462,2e+06
"André Gomes","Everton","POR","MF",NA,28,1993,14,619,44,18.1,7,68,2,7,21,1.14,10,19,112308,5840000
"Andreas Christensen","Chelsea","DEN","DF",NA,25,1996,19,1496,79,43.7,17,85,15,2,28,2.21,38,11,80000,4160000
"Andrew Omobamidele","Norwich City","IRL","DF",NA,19,2002,5,382,76,11.2,4,90,4,1,22,0.6,3,9,18077,940000
"Andriy Yarmolenko","West Ham","UKR","FW","MF",31,1989,19,316,17,9.2,1,72,0,18,14,1.42,3,4,115000,5980000
"Andriy Yarmolenko","West Ham","UKR","FW","MF",31,1989,19,316,17,9.2,1,72,0,18,14,1.42,3,4,115000,5980000
"Andros Townsend","Everton","ENG","MF","FW",30,1991,21,1455,69,42.5,17,82,11,4,15,1,14,30,45000,2340000
"Anthony Elanga","Manchester Utd","SWE","FW",NA,19,2002,21,1214,58,35.5,14,78,5,7,17,1.43,20,17,9038,470000
"Anthony Gordon","Everton","ENG","MF","FW",20,2001,35,2285,65,66.8,25,83,14,10,20,0.91,24,40,10000,520000
"Anthony Martial","Manchester Utd","FRA","FW",NA,25,1995,8,212,27,6.2,2,57,0,6,16,2.13,6,3,250000,1.3e+07
"Anwar El Ghazi","Aston Villa","NED","FW","MF",26,1995,9,386,43,11.3,4,79,2,5,14,1.11,7,8,30962,1610000
"Armando Broja","Southampton","ALB","FW",NA,19,2001,32,1975,62,57.7,21,82,6,11,24,1.13,26,37,7500,390000
"Arthur Masuaku","West Ham","COD","DF","FW",27,1993,13,650,50,19,6,81,4,7,23,1.31,7,12,40000,2080000
"Ashley Barnes","Burnley","ENG","FW",NA,31,1989,23,808,35,23.6,8,76,2,15,13,0.78,6,19,40000,2080000
"Ashley Westwood","Burnley","ENG","MF",NA,31,1990,27,2287,85,66.9,26,87,23,1,31,0.67,20,40,36000,1872000
"Ashley Young","Aston Villa","ENG","DF","FW",36,1985,24,1250,52,36.5,10,83,6,14,30,1.38,19,19,49423,2570000
"Axel Tuanzebe","Aston Villa","COD","DF",NA,23,1997,9,508,56,14.9,6,83,5,3,4,1.44,6,10,50000,2600000
"Ayoze Pérez","Leicester City","ESP","MF","FW",28,1993,14,445,32,13,6,54,0,8,15,1.14,9,12,45000,2340000
"Ben Chilwell","Chelsea","ENG","DF",NA,24,1996,7,542,77,15.8,6,90,6,1,2,2.71,19,2,190000,9880000
"Ben Davies","Tottenham","WAL","DF",NA,28,1993,29,2538,88,74.2,28,90,26,1,31,1.83,57,30,60000,3120000
"Ben Johnson","West Ham","ENG","DF",NA,21,2000,20,1397,70,40.8,16,84,13,4,14,1.7,23,18,19231,1e+06
"Bernardo Silva","Manchester City","POR","MF","FW",26,1994,35,2857,82,83.5,33,86,27,2,12,2.49,75,23,150000,7800000
"Bertrand Traoré","Aston Villa","BFA","MF","FW",25,1995,9,220,24,6.4,1,79,0,8,18,0.44,2,3,77885,4050000
"Billy Gilmour","Norwich City","SCO","MF",NA,20,2001,24,1855,77,54.2,21,86,15,3,16,0.33,8,52,43269,2250000
"Boubakary Soumaré","Leicester City","FRA","MF",NA,22,1999,19,1102,58,32.2,12,77,6,7,26,1.37,19,27,80000,4160000
"Brandon Williams","Norwich City","ENG","DF",NA,20,2000,26,2120,82,62,23,88,19,3,32,0.69,16,52,65000,3380000
"Bruno Fernandes","Manchester Utd","POR","MF",NA,26,1994,36,3111,86,91,35,88,26,1,31,1.44,49,54,180000,9360000
"Bruno Guimarães","Newcastle Utd","BRA","MF",NA,23,1997,17,1034,61,30.2,11,87,7,6,13,2,13,13,120000,6240000
"Bryan Mbeumo","Brentford","CMR","FW",NA,21,1999,35,2905,83,84.9,34,85,22,1,29,1.23,41,47,20000,1040000
"Bukayo Saka","Arsenal","ENG","FW","MF",19,2001,38,2978,78,87.1,36,81,16,2,27,1.82,53,39,30000,1560000
"Callum Hudson-Odoi","Chelsea","ENG","MF","FW",20,2000,15,962,64,28.1,11,80,3,4,20,1.93,24,8,120000,6240000
"Callum Wilson","Newcastle Utd","ENG","FW",NA,29,1992,18,1386,77,40.5,16,84,11,2,18,0.83,16,32,46154,2400000
"Calum Chambers","Aston Villa","ENG","DF",NA,26,1995,11,831,76,24.3,9,88,8,2,22,1.36,17,9,50000,2600000
"Carney Chukwuemeka","Aston Villa","ENG","MF","FW",17,2003,12,301,25,8.8,2,59,0,10,18,1.33,5,6,1538,80000
"Cédric Soares","Arsenal","POR","DF",NA,29,1991,21,1486,71,43.5,16,86,12,5,24,1.86,22,27,75000,3900000
"César Azpilicueta","Chelsea","ESP","DF",NA,31,1989,27,2070,77,60.5,24,84,16,3,20,1.78,36,23,150000,7800000
"Charlie Cresswell","Leeds United","ENG","DF",NA,18,2002,5,141,28,4.1,1,90,1,4,13,1.4,4,4,5000,260000
"Charlie Goode","Brentford","ENG","DF",NA,25,1995,6,450,75,13.2,4,90,4,2,45,1.33,6,6,7500,390000
"Charlie Taylor","Burnley","ENG","DF",NA,27,1993,31,2731,88,79.9,30,90,30,1,31,0.84,28,48,25000,1300000
"Che Adams","Southampton","SCO","FW",NA,25,1996,30,2039,68,59.6,23,82,13,7,22,1.03,25,40,30000,1560000
"Cheikhou Kouyaté","Crystal Palace","SEN","MF",NA,31,1989,27,1974,73,57.7,23,83,14,4,19,1.33,27,28,65000,3380000
"Chiquinho","Wolves","POR","DF","FW",21,2000,8,208,26,6.1,1,90,1,7,17,1,5,5,18269,950000
