"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Connolly","Brighton","IRL","FW","MF",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Aaron Cresswell","West Ham","ENG","DF",NA,31,3,5,0,0,18,3,16.7,0.11,0.67,20.5,8,53,31,22,6,2,4
"Aaron Lennon","Burnley","ENG","MF","FW",34,0,2,0,0,12,4,33.3,0.17,0.5,20.1,0,33,21,12,4,1,3
"Aaron Ramsdale","Arsenal","ENG","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,23,0,0,0,0,5,1,20,0,0,14.1,0,35,29,6,1,1,0
"Abdoulaye Doucouré","Everton","MLI","MF",NA,28,4,6,0,0,34,11,32.4,0.06,0.18,17.9,0,57,50,7,7,5,2
"Adam Armstrong","Southampton","ENG","FW",NA,24,2,4,0,0,47,14,29.8,0.04,0.14,17.2,0,36,22,14,3,2,1
"Adam Forshaw","Leeds United","ENG","MF",NA,29,1,1,0,0,14,4,28.6,0,0,25,1,35,31,4,2,2,0
"Adam Idah","Norwich City","IRL","FW","MF",20,1,2,0,0,14,4,28.6,0.07,0.25,13.9,0,17,10,7,1,1,0
"Adam Lallana","Brighton","ENG","MF",NA,33,1,1,0,0,19,4,21.1,0,0,19.8,0,28,24,4,4,4,0
"Adam Masina","Watford","MAR","DF",NA,27,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,13,9,4,1,1,0
"Adam Webster","Brighton","ENG","DF",NA,26,0,2,0,0,8,2,25,0.25,1,11.2,0,18,17,1,3,2,1
"Adama Traoré","Wolves","ESP","FW","MF",25,0,1,0,0,23,5,21.7,0.04,0.2,19.7,0,60,32,28,2,1,1
"Ademola Lookman","Leicester City","NGA","FW","MF",23,0,6,0,0,26,12,46.2,0.23,0.5,15,0,46,35,11,3,2,1
"Ainsley Maitland-Niles","Arsenal","ENG","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,5,2,0,0,0
"Albert Sambi Lokonga","Arsenal","BEL","MF",NA,21,0,0,0,0,20,8,40,0,0,26.8,0,39,36,3,0,0,0
"Alejandro Garnacho","Manchester Utd","ARG","FW","MF",17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alex Iwobi","Everton","NGA","MF","DF",25,2,4,0,0,24,6,25,0.08,0.33,16.4,0,66,59,7,7,6,1
"Alex Král","West Ham","CZE","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alex McCarthy","Southampton","ENG","GK",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",27,1,3,0,0,21,3,14.3,0.1,0.67,21.5,0,25,22,3,1,1,0
"Alex Telles","Manchester Utd","BRA","DF",NA,28,4,4,0,0,10,3,30,0,0,23.1,4,51,27,24,5,0,5
"Alexandre Lacazette","Arsenal","FRA","FW",NA,30,7,11,3,2,43,12,27.9,0.05,0.17,15.4,1,71,49,22,9,6,3
"Alexis Mac Allister","Brighton","ARG","MF","FW",22,2,7,3,2,57,9,15.8,0.05,0.33,22,4,83,57,26,5,2,3
"Alisson","Liverpool","BRA","GK",NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,0
"Allan","Everton","BRA","MF",NA,30,2,2,0,0,7,3,42.9,0,0,24.5,0,38,35,3,7,5,2
"Allan Saint-Maximin","Newcastle Utd","FRA","FW","MF",24,5,10,0,0,64,26,40.6,0.08,0.19,19.7,0,130,84,46,11,8,3
"Alphonse Areola","West Ham","FRA","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Álvaro Fernández","Brentford","ESP","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"André Gomes","Everton","POR","MF",NA,28,1,1,0,0,14,4,28.6,0,0,23.5,0,21,14,7,3,2,1
"Andreas Christensen","Chelsea","DEN","DF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9,8,1,0,0,0
"Andrew Omobamidele","Norwich City","IRL","DF",NA,19,0,1,0,0,2,1,50,0.5,1,8.3,0,3,3,0,0,0,0
"Andrew Robertson","Liverpool","SCO","DF",NA,27,10,13,0,0,18,8,44.4,0.17,0.38,16.9,0,112,81,31,17,14,3
"Andriy Yarmolenko","West Ham","UKR","FW","MF",31,0,1,0,0,11,5,45.5,0.09,0.2,15.2,0,9,6,3,0,0,0
"Andros Townsend","Everton","ENG","MF","FW",30,2,5,1,1,20,9,45,0.1,0.22,22.1,4,55,39,16,4,4,0
"Angelo Ogbonna","West Ham","ITA","DF",NA,33,0,1,0,0,3,1,33.3,0.33,1,12.6,0,3,2,1,1,1,0
"Angus Gunn","Norwich City","SCO","GK",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Anthony Elanga","Manchester Utd","SWE","FW",NA,19,2,4,0,0,21,7,33.3,0.1,0.29,15.7,0,21,12,9,5,2,3
