"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",56,48,8,36,24,12,20,24,-4,35,91,3,3,403,146,36.2,0.13,0.36,16.4,19,709,501,208,85,57,28
"Aston Villa",41,67,-26,22,30,-8,19,37,-18,32,72,3,1,453,147,32.5,0.09,0.27,17.5,21,828,599,229,72,48,24
"Bournemouth",40,65,-25,22,30,-8,18,35,-17,24,62,4,4,385,117,30.4,0.09,0.29,17.3,21,669,472,197,63,36,27
"Brighton",39,54,-15,20,27,-7,19,27,-8,24,59,2,1,460,139,30.2,0.07,0.24,17.6,11,804,599,205,65,44,21
"Burnley",43,50,-7,24,23,1,19,27,-8,30,71,3,3,384,124,32.3,0.1,0.31,16.4,18,667,459,208,71,47,24
"Chelsea",69,54,15,30,16,14,39,38,1,46,115,7,7,618,210,34,0.1,0.3,16.6,29,1121,847,274,123,86,37
"Crystal Palace",31,50,-19,15,20,-5,16,30,-14,20,49,3,3,373,115,30.8,0.07,0.23,17,15,643,427,216,53,37,16
"Everton",44,56,-12,24,21,3,20,35,-15,32,74,1,1,468,159,34,0.09,0.26,16.4,20,805,536,269,67,47,20
"Leicester City",67,41,26,35,17,18,32,24,8,48,113,7,5,533,183,34.3,0.11,0.33,17.4,20,969,707,262,116,91,25
"Liverpool",85,33,52,52,16,36,33,17,16,69,152,5,5,586,224,38.2,0.13,0.35,16.5,20,1044,800,244,148,108,40
"Manchester City",102,35,67,57,13,44,45,22,23,69,169,11,6,735,250,34,0.13,0.38,16.4,27,1356,1040,316,173,123,50
"Manchester Utd",66,36,30,40,17,23,26,19,7,43,108,14,10,530,201,37.9,0.1,0.27,19.1,33,978,766,212,112,86,26
"Newcastle Utd",38,58,-20,20,21,-1,18,37,-19,29,67,1,0,398,132,33.2,0.1,0.29,19.1,14,705,491,214,62,41,21
"Norwich City",26,75,-49,19,37,-18,7,38,-31,18,43,2,2,407,126,31,0.06,0.18,18,16,717,522,195,43,34,9
"Sheffield Utd",39,39,0,24,15,9,15,24,-9,25,61,1,1,352,109,31,0.1,0.32,15.2,4,630,457,173,63,47,16
"Southampton",51,60,-9,21,35,-14,30,25,5,32,83,5,2,494,171,34.6,0.1,0.29,17.8,27,843,560,283,77,41,36
"Tottenham",61,47,14,36,17,19,25,30,-5,39,95,4,3,440,154,35,0.12,0.34,18.4,21,779,589,190,94,62,32
"Watford",36,64,-28,22,27,-5,14,37,-23,21,56,8,7,416,112,26.9,0.07,0.25,17.3,18,725,498,227,58,34,24
"West Ham",49,62,-13,30,33,-3,19,29,-10,36,85,4,4,413,156,37.8,0.11,0.29,16.4,13,735,514,221,89,62,27
"Wolves",51,40,11,27,19,8,24,21,3,34,83,4,4,457,142,31.1,0.1,0.32,17.4,13,801,541,260,83,53,30
