"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",79,1,0,1,459
"Aston Villa",90,7,6,13,543
"Bournemouth",67,3,0,3,410
"Brighton",61,1,0,1,342
"Burnley",42,3,1,4,393
"Chelsea",76,3,0,3,397
"Crystal Palace",88,5,3,8,492
"Everton",61,2,1,3,410
"Leicester City",69,3,0,3,460
"Liverpool",47,0,0,0,322
"Manchester City",53,1,0,1,312
"Manchester Utd",79,2,1,3,450
"Newcastle Utd",57,2,1,3,436
"Norwich City",58,2,1,3,444
"Sheffield Utd",46,0,0,0,326
"Southampton",67,3,1,4,414
"Tottenham",83,1,1,2,442
"Watford",66,1,1,2,356
"West Ham",45,0,0,0,356
"Wolves",85,5,2,7,384
