"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",2,48,144,78.8,10,26.3,1,12.5
"Aston Villa",4,67,115,65.9,7,18.4,1,16.7
"Bournemouth",2,65,126,68.8,5,13.2,1,16.7
"Brighton",1,54,116,69,9,23.7,0,0
"Burnley",1,50,117,72.5,15,39.5,1,20
"Chelsea",2,54,64,54.8,9,23.7,0,0
"Crystal Palace",2,50,124,70.9,10,26.3,0,NA
"Everton",1,56,94,63.9,9,23.7,0,0
"Leicester City",1,41,94,75.6,13,34.2,2,20
"Liverpool",2,33,75,70.1,15,39.5,0,0
"Manchester City",2,35,76,70.9,17,44.7,0,0
"Manchester Utd",1,36,96,74.8,13,34.2,0,0
"Newcastle Utd",1,58,139,71.3,11,28.9,0,0
"Norwich City",3,75,135,66.2,5,13.2,3,42.9
"Sheffield Utd",2,39,99,72.7,13,34.2,1,50
"Southampton",2,60,108,66.1,9,23.7,1,25
"Tottenham",2,47,134,76.8,8,21.1,2,28.6
"Watford",1,64,116,68.5,9,23.7,1,11.1
"West Ham",4,62,127,69.5,7,18.4,1,16.7
"Wolves",1,40,88,69.8,13,34.2,2,66.7
