"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",584,336,57.5342465753425,612,612,40.7,398,141,257,351,754,18
"Aston Villa",523,291,55.640535372849,597,597,37.4,456,184,272,423,928,26
"Bournemouth",507,299,58.974358974359,567,567,36.5,439,160,279,475,1008,16
"Brighton",641,379,59.1263650546022,642,642,38.2,437,137,300,419,750,15
"Burnley",547,344,62.8884826325411,585,585,41,450,175,275,387,901,15
"Chelsea",638,362,56.7398119122257,604,604,40.7,361,91,270,459,631,14
"Crystal Palace",686,390,56.8513119533528,711,711,44.4,399,135,264,444,856,18
"Everton",671,408,60.8047690014903,672,672,42,372,111,261,408,778,13
"Leicester City",742,432,58.2210242587601,725,725,41.1,420,92,328,423,767,16
"Liverpool",550,325,59.0909090909091,588,588,36.9,302,68,234,352,634,25
"Manchester City",514,301,58.5603112840467,605,605,38,292,66,226,352,495,21
"Manchester Utd",579,333,57.5129533678756,634,634,40.1,360,99,261,379,703,14
"Newcastle Utd",603,357,59.2039800995025,632,632,43.2,402,152,250,391,988,19
"Norwich City",628,379,60.3503184713376,700,700,38.1,453,171,282,397,959,20
"Sheffield Utd",611,377,61.7021276595745,646,646,40.4,336,106,230,420,931,16
"Southampton",706,416,58.9235127478754,793,793,40.9,488,124,364,425,867,21
"Tottenham",665,415,62.406015037594,681,681,37.2,441,148,293,381,894,24
"Watford",657,369,56.1643835616438,713,713,37.4,396,135,261,424,869,4
"West Ham",696,417,59.9137931034483,745,745,40.3,383,117,266,421,789,16
"Wolves",646,367,56.8111455108359,685,685,41,378,109,269,437,702,23
