"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",29,815,1641,16634,20410,81.5,7259,8103,89.6,1596,2772,57.6,7300,8331,87.6,18463,1874,487,67,153,699,756,231,73,53.8,24424,697,411,59,286,41
"Aston Villa",28,639,1247,11652,15672,74.3,5074,5895,86.1,1480,3002,49.3,4810,5882,81.8,13604,2006,562,17,153,798,797,200,62,44.1,19977,569,352,61.9,217,38.1
"Bournemouth",27,601,1256,12042,16387,73.5,5798,6832,84.9,1231,2655,46.4,4689,5821,80.6,14488,1832,450,28,92,646,790,194,67,44.1,20872,602,325,54,277,46
"Brighton",25,669,1675,15881,20056,79.2,6755,7803,86.6,1701,3003,56.6,7139,8265,86.4,18194,1791,394,34,200,689,853,178,71,52.2,24387,584,335,57.4,249,42.6
"Burnley",22,437,890,10049,14694,68.4,4700,5595,84,1295,3221,40.2,3686,4854,75.9,12767,1838,408,29,99,743,868,170,89,41.9,18827,454,246,54.2,208,45.8
"Chelsea",27,983,1897,20958,25213,83.1,9753,10903,89.5,1843,2989,61.7,8527,9698,87.9,23308,1842,401,61,215,862,876,247,63,60.4,29489,718,460,64.1,258,35.9
"Crystal Palace",25,596,1223,12274,16395,74.9,5857,6822,85.9,1307,2747,47.6,4679,5712,81.9,14377,1965,501,19,79,588,886,177,53,44.8,20928,698,432,61.9,266,38.1
"Everton",24,623,1430,13433,17736,75.7,5670,6722,84.3,1728,3126,55.3,5545,6642,83.5,15790,1888,463,55,165,804,853,203,58,49,22035,609,374,61.4,235,38.6
"Leicester City",24,739,1612,17600,21800,80.7,8018,9016,88.9,1655,2913,56.8,7415,8600,86.2,19817,1919,495,68,126,779,883,221,64,57.1,26247,688,377,54.8,311,45.2
"Liverpool",24,967,1941,21276,25891,82.2,9557,10648,89.8,2038,3458,58.9,9007,10345,87.1,23952,1886,440,68,283,896,879,257,53,62.9,29748,658,387,58.8,271,41.2
"Manchester City",24,1199,2460,24557,28190,87.1,11773,12714,92.6,2121,2963,71.6,9821,10885,90.2,26549,1573,352,85,243,915,684,298,68,66.2,31884,721,487,67.5,235,32.6
"Manchester Utd",29,926,1788,17744,21725,81.7,8697,9751,89.2,1555,2646,58.8,6891,7957,86.6,19836,1833,466,64,171,635,822,204,56,55.8,25838,747,446,59.7,301,40.3
"Newcastle Utd",28,537,844,10606,14566,72.8,4963,5792,85.7,1351,2818,47.9,3781,4800,78.8,12726,1765,463,18,151,591,715,151,75,39,18910,674,400,59.3,274,40.7
"Norwich City",30,673,1169,14965,18869,79.3,7717,8664,89.1,1336,2696,49.6,5301,6196,85.6,16961,1858,461,47,124,473,773,162,50,49.3,23409,706,427,60.5,278,39.4
"Sheffield Utd",26,493,1352,12125,16858,71.9,5714,6687,85.4,1579,3404,46.4,4480,5657,79.2,14962,1818,375,15,206,866,882,212,78,43.1,21000,535,346,64.7,187,35
"Southampton",25,628,1335,12488,17468,71.5,5869,7035,83.4,1240,2921,42.5,5027,6478,77.6,15450,1960,448,27,133,690,950,210,58,48.9,22200,680,423,62.2,257,37.8
"Tottenham",29,768,1410,16101,20296,79.3,7859,8877,88.5,1350,2655,50.8,6303,7463,84.5,18404,1826,464,79,113,641,785,200,66,52,24729,747,449,60.1,297,39.8
"Watford",26,578,1168,11230,15775,71.2,5578,6640,84,1244,2868,43.4,3901,5075,76.9,13907,1800,398,11,134,684,838,167,68,42.9,20081,576,321,55.7,254,44.1
"West Ham",29,666,1377,12451,16861,73.8,6048,7124,84.9,1515,2997,50.6,4538,5680,79.9,14967,1828,432,38,156,737,815,190,66,44.1,20992,663,397,59.9,264,39.8
"Wolves",21,858,1338,14298,18474,77.4,5979,6942,86.1,1985,3308,60,5777,6928,83.4,16650,1775,405,40,203,718,816,193,49,48.3,22660,817,509,62.3,308,37.7
