"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",656,388,59.1463414634146,697,697,41,354,100,254,425,722,19
"Aston Villa",530,315,59.4339622641509,569,569,38.1,353,115,238,346,785,14
"Bournemouth",661,389,58.8502269288956,602,602,46,443,117,326,402,824,15
"Brighton",648,385,59.4135802469136,584,584,42.6,426,126,300,428,748,16
"Burnley",499,319,63.9278557114228,454,454,45.8,285,91,194,293,841,20
"Chelsea",672,381,56.6964285714286,718,718,35.9,471,179,292,434,950,20
"Crystal Palace",745,425,57.0469798657718,698,698,38.1,370,100,270,449,712,14
"Everton",580,358,61.7241379310345,609,609,38.6,415,127,288,383,846,13
"Leicester City",639,402,62.9107981220657,688,688,45.2,416,137,279,432,836,17
"Liverpool",577,346,59.9653379549393,658,658,41.2,437,159,278,456,1147,33
"Manchester City",575,337,58.6086956521739,721,721,32.5,468,220,248,477,1000,24
"Manchester Utd",697,385,55.2367288378766,747,747,40.3,444,124,320,485,721,21
"Newcastle Utd",562,334,59.4306049822064,674,674,40.7,365,114,251,341,616,7
"Norwich City",684,400,58.4795321637427,705,705,39.4,444,120,324,430,602,13
"Sheffield Utd",481,296,61.5384615384615,534,534,35.2,334,90,244,351,903,15
"Southampton",619,362,58.4814216478191,680,680,37.8,407,130,277,428,824,22
"Tottenham",734,410,55.858310626703,746,746,39.8,409,121,288,450,777,17
"Watford",603,351,58.2089552238806,575,575,44.2,363,124,239,386,818,25
"West Ham",586,333,56.8259385665529,661,661,39.9,369,92,277,392,715,10
"Wolves",646,381,58.9783281733746,817,817,37.7,390,135,255,380,817,19
