"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",56,93,64.4,7,18.4,0,0
"Aston Villa",41,108,73.2,11,28.9,1,50
"Bournemouth",40,83,70.2,15,39.5,0,0
"Brighton",39,105,73,13,34.2,1,50
"Burnley",43,86,68.5,10,26.3,0,0
"Chelsea",69,148,71.4,7,18.4,0,0
"Crystal Palace",31,89,76.3,16,42.1,0,0
"Everton",44,118,73.1,10,26.3,0,0
"Leicester City",67,123,67.4,9,23.7,2,28.6
"Liverpool",85,146,65.1,3,7.9,0,0
"Manchester City",102,156,63.2,4,10.5,5,45.5
"Manchester Utd",66,146,73.8,8,21.1,3,23.1
"Newcastle Utd",38,94,71.4,13,34.2,1,100
"Norwich City",26,103,81.3,20,52.6,0,0
"Sheffield Utd",39,74,65.5,12,31.6,0,0
"Southampton",51,122,72,6,15.8,2,50
"Tottenham",61,101,63.3,7,18.4,1,25
"Watford",36,84,75.8,16,42.1,1,12.5
"West Ham",49,111,71.9,12,31.6,0,0
"Wolves",51,97,67.8,8,21.1,0,0
