"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Emil Audero","Sampdoria","ITA","GK",NA,22,12,5,19,60,109,67.9,9,25,0,0
"Asmir Begović","Milan","BIH","GK",NA,32,0,0,1,3,4,71.4,0,0,0,0
"Etrit Berisha","SPAL","ALB","GK",NA,30,5,3,18,44,105,74.1,3,11.5,0,0
"Gianluigi Buffon","Juventus","ITA","GK",NA,41,7,1,1,10,23,72.7,1,11.1,0,0
"Simone Colombi","Parma","ITA","GK",NA,28,1,1,2,4,15,84.2,1,25,0,0
"Andrea Consigli","Sassuolo","ITA","GK",NA,32,12,5,14,55,92,66.9,5,16.1,1,12.5
"Alessio Cragno","Cagliari","ITA","GK",NA,25,2,6,8,21,68,77.5,3,18.8,1,50
"Gianluigi Donnarumma","Milan","ITA","GK",NA,20,18,9,9,42,96,73,12,33.3,4,50
"Bartłomiej Drągowski","Fiorentina","POL","GK",NA,21,7,12,12,43,94,73.4,8,25.8,2,25
"Wladimiro Falcone","Sampdoria","ITA","GK",NA,24,0,1,1,5,8,69.2,0,0,0,0
"Gabriel","Lecce","BRA","GK",NA,26,6,8,20,76,152,70.9,2,5.9,2,16.7
"Pierluigi Gollini","Atalanta","ITA","GK",NA,24,19,9,5,42,81,70,8,24.2,0,0
"Samir Handanović","Inter","SVN","GK",NA,35,22,10,3,32,78,72.7,13,37.1,1,33.3
"Jesse Joronen","Brescia","FIN","GK",NA,26,5,6,18,59,124,72.4,5,17.2,1,10
"Karlo Letica","SPAL","CRO","GK",NA,22,0,1,9,29,36,55.4,0,0,1,100
"Pau López","Roma","ESP","GK",NA,24,18,6,8,45,86,72,5,15.6,1,11.1
"Alex Meret","Napoli","ITA","GK",NA,22,9,5,7,33,51,66.7,3,14.3,1,16.7
"Antonio Mirante","Roma","ITA","GK",NA,36,2,1,2,5,19,83.3,2,40,0,0
"Juan Musso","Udinese","ARG","GK",NA,25,12,9,17,51,141,77.8,14,36.8,2,20
"Robin Olsen","Cagliari","SWE","GK",NA,29,8,5,4,24,67,77.5,4,23.5,0,0
"David Ospina","Napoli","COL","GK",NA,30,9,3,5,17,37,72.2,4,23.5,0,0
"Daniele Padelli","Inter","ITA","GK",NA,33,2,0,1,4,4,62.5,1,25,0,0
"Mattia Perin","Genoa","ITA","GK",NA,26,8,4,9,38,66,64.1,5,23.8,0,0
"Ionuț Radu","Genoa","ROU","GK",NA,22,2,5,10,35,64,70.4,2,11.8,0,0
"Boris Radunović","Hellas Verona","SRB","GK",NA,23,1,0,2,8,7,60,1,33.3,0,0
"Rafael","Cagliari","BRA","GK",NA,37,1,1,3,11,6,47.1,0,0,0,0
"Pepe Reina","Milan","ESP","GK",NA,36,1,0,0,1,4,83.3,0,0,1,100
"Luigi Sepe","Parma","ITA","GK",NA,28,13,6,15,53,137,75.6,5,14.7,3,33.3
"Marco Silvestri","Hellas Verona","ITA","GK",NA,28,11,13,11,43,117,77.4,9,25.7,0,0
"Salvatore Sirigu","Torino","ITA","GK",NA,32,11,6,19,64,135,72.1,7,19.4,1,10
"Łukasz Skorupski","Bologna","POL","GK",NA,28,12,10,15,64,123,69,2,5.4,1,14.3
"Thomas Strakosha","Lazio","ALB","GK",NA,24,24,6,8,42,112,77.3,11,28.9,1,12.5
"Wojciech Szczęsny","Juventus","POL","GK",NA,29,19,4,6,33,95,80.6,11,37.9,1,11.1
"Pietro Terracciano","Fiorentina","ITA","GK",NA,29,5,1,1,5,18,91.3,2,28.6,0,0
"Demba Thiam","SPAL","SEN","GK",NA,21,0,1,1,4,12,81.3,0,0,0,0
"Stefano Turati","Sassuolo","ITA","GK",NA,17,0,2,0,4,8,75,0,0,0,0
"Samir Ujkani","Torino","KVX","GK",NA,31,0,0,1,3,3,66.7,0,0,0,0
"Mauro Vigorito","Lecce","ITA","GK",NA,29,3,0,1,9,20,72.4,1,25,0,0
