"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Francesco Acerbi","Lazio","ITA","DF",NA,31,59,29,49.1525423728814,20,20,70,40,27,13,42,109,1
"Bobby Adekanye","Lazio","NED","FW",NA,20,3,2,66.6666666666667,5,5,0,0,0,0,2,1,0
"Claud Adjapong","Hellas Verona","ITA","DF",NA,21,5,3,60,3,3,66.7,4,3,1,3,7,0
"Kevin Agudelo","Fiorentina","COL","MF","FW",20,2,1,50,1,1,0,1,0,1,1,0,0
"Kevin Agudelo","Genoa","COL","MF","FW",20,23,14,60.8695652173913,20,20,50,12,1,11,6,2,0
"Emmanuel Agyemang-Badu","Hellas Verona","GHA","MF",NA,28,1,1,100,2,2,50,2,2,0,1,6,0
"Ola Aina","Torino","NGA","DF",NA,22,45,24,53.3333333333333,37,37,45.9,24,6,18,41,61,0
"Luis Alberto","Lazio","ESP","MF",NA,26,50,30,60,82,82,32.9,32,1,31,21,9,1
"Allan","Napoli","BRA","MF",NA,28,50,27,54,54,54,33.3,19,3,16,16,11,1
"Bruno Alves","Parma","POR","DF",NA,37,17,11,64.7058823529412,13,13,61.5,30,21,9,25,150,2
"Sofyan Amrabat","Hellas Verona","MAR","MF",NA,22,58,36,62.0689655172414,55,55,47.3,29,10,19,31,15,1
"Lorenzo Andrenacci","Brescia","ITA","GK",NA,24,1,0,0,3,3,33.3,0,0,0,0,0,0
"Peter Ankersen","Genoa","DEN","DF",NA,28,16,4,25,13,13,30.8,19,5,14,9,25,1
"Cristian Ansaldi","Torino","ARG","DF","MF",32,37,25,67.5675675675676,34,34,55.9,23,3,20,14,20,4
"Mirko Antonucci","Roma","ITA","FW","MF",20,4,3,75,3,3,100,2,0,2,2,1,0
"Guilherme Arana","Atalanta","BRA","DF",NA,22,4,4,100,5,5,60,0,0,0,2,0,0
"Nicolò Armini","Lazio","ITA","DF",NA,18,1,1,100,1,1,100,0,0,0,0,1,0
"Kwadwo Asamoah","Inter","GHA","DF","FW",30,10,8,80,14,14,42.9,8,1,7,9,13,0
"Emil Audero","Sampdoria","ITA","GK",NA,22,1,1,100,3,3,33.3,0,0,0,0,21,1
"Tommaso Augello","Sampdoria","ITA","DF",NA,24,14,9,64.2857142857143,7,7,71.4,8,0,8,15,21,1
"Florian Ayé","Brescia","FRA","FW","MF",22,17,9,52.9411764705882,13,13,46.2,17,2,15,4,18,1
"Khouma Babacar","Lecce","SEN","FW",NA,26,12,8,66.6666666666667,7,7,14.3,12,3,9,3,34,0
"Milan Badelj","Fiorentina","CRO","MF",NA,30,29,17,58.6206896551724,50,50,30,21,3,18,45,34,1
"Mario Balotelli","Brescia","ITA","FW",NA,28,2,2,100,2,2,0,1,1,0,8,22,0
"Mattia Bani","Bologna","ITA","DF",NA,25,47,28,59.5744680851064,36,36,69.4,29,15,14,52,92,2
"Antonín Barák","Udinese","CZE","MF","FW",24,5,4,80,5,5,20,6,1,5,0,4,0
"Antonín Barák","Lecce","CZE","MF",NA,24,19,10,52.6315789473684,24,24,25,18,1,17,9,20,2
"Nicolò Barella","Inter","ITA","MF",NA,22,36,21,58.3333333333333,37,37,21.6,20,5,15,14,14,0
"Antonino Barillà","Parma","ITA","MF",NA,31,43,31,72.093023255814,45,45,35.6,26,8,18,17,32,0
"Antonio Barreca","Genoa","ITA","DF","FW",24,10,7,70,5,5,80,12,7,5,1,22,0
"Édgar Barreto","Sampdoria","PAR","MF",NA,35,4,3,75,3,3,66.7,1,0,1,0,0,0
"Musa Barrow","Bologna","GAM","FW","MF",20,20,13,65,20,20,30,15,0,15,5,11,0
"Musa Barrow","Atalanta","GAM","FW","MF",20,1,1,100,4,4,25,4,0,4,0,1,0
"Daniele Baselli","Torino","ITA","MF",NA,27,43,23,53.4883720930233,40,40,32.5,20,4,16,25,25,0
"Alessandro Bastoni","Inter","ITA","DF",NA,20,32,17,53.125,24,24,62.5,18,9,9,26,54,0
"Bastos","Lazio","ANG","DF",NA,28,9,5,55.5555555555556,11,11,36.4,13,8,5,13,26,0
"Rodrigo Becão","Udinese","BRA","DF",NA,23,56,25,44.6428571428571,46,46,56.5,40,20,20,45,77,0
"Valon Behrami","Genoa","SUI","MF",NA,34,34,26,76.4705882352941,32,32,25,25,10,15,9,16,0
"Andrea Belotti","Torino","ITA","FW",NA,25,29,16,55.1724137931034,31,31,16.1,23,5,18,5,20,1
"Marco Benassi","Fiorentina","ITA","MF",NA,24,18,12,66.6666666666667,24,24,41.7,11,1,10,4,9,0
"Ismaël Bennacer","Milan","ALG","MF",NA,21,67,47,70.1492537313433,73,73,39.7,25,7,18,54,15,2
"Rodrigo Bentancur","Juventus","URU","MF",NA,22,58,32,55.1724137931034,66,66,47,44,9,35,32,34,1
"Romario Benzar","Lecce","ROU","DF",NA,27,2,2,100,3,3,66.7,1,0,1,0,2,0
"Domenico Berardi","Sassuolo","ITA","FW",NA,24,32,16,50,59,59,22,31,3,28,33,27,0
"Álex Berenguer","Torino","ESP","MF","DF",24,20,6,30,33,33,24.2,17,1,16,18,17,0
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,27,53,35,66.0377358490566,52,52,50,38,16,22,35,88,1
"Etrit Berisha","SPAL","ALB","GK",NA,30,3,2,66.6666666666667,3,3,66.7,0,0,0,1,9,0
"Valon Berisha","Lazio","KVX","MF",NA,26,1,1,100,2,2,50,0,0,0,0,1,0
"Federico Bernardeschi","Juventus","ITA","MF","FW",25,13,5,38.4615384615385,25,25,20,11,0,11,13,12,1
"Andrea Bertolacci","Sampdoria","ITA","MF",NA,28,7,4,57.1428571428571,8,8,12.5,4,1,3,2,13,0
"Lucas Biglia","Milan","ARG","MF",NA,33,13,7,53.8461538461538,15,15,26.7,12,4,8,7,10,1
"Cristiano Biraghi","Inter","ITA","DF",NA,26,22,6,27.2727272727273,24,24,41.7,21,7,14,13,41,0
"Davide Biraschi","Genoa","ITA","DF",NA,25,32,17,53.125,26,26,57.7,22,12,10,34,69,0
"Valter Birsa","Cagliari","SVN","MF","FW",32,10,6,60,21,21,33.3,6,1,5,4,3,0
"Dimitri Bisoli","Brescia","ITA","MF",NA,25,64,35,54.6875,49,49,61.2,41,7,34,25,49,0
"Birkir Bjarnason","Brescia","ISL","MF","FW",31,5,3,60,13,13,15.4,9,4,5,5,4,0
"Kevin-Prince Boateng","Fiorentina","GHA","FW",NA,32,3,1,33.3333333333333,8,8,25,3,0,3,1,7,0
"Salvatore Bocchetti","Hellas Verona","ITA","DF",NA,32,5,3,60,3,3,66.7,2,2,0,17,23,0
"Jeremie Boga","Sassuolo","CIV","FW",NA,22,12,7,58.3333333333333,20,20,30,24,0,24,3,4,0
"Giacomo Bonaventura","Milan","ITA","MF","FW",29,16,9,56.25,17,17,29.4,8,3,5,7,10,0
"Federico Bonazzoli","Sampdoria","ITA","FW",NA,22,7,5,71.4285714285714,7,7,0,3,0,3,5,2,0
"Kevin Bonifazi","Torino","ITA","DF",NA,23,9,8,88.8888888888889,6,6,83.3,3,2,1,5,10,0
"Kevin Bonifazi","SPAL","ITA","DF",NA,23,16,9,56.25,18,18,50,20,12,8,35,50,2
"Leonardo Bonucci","Juventus","ITA","DF",NA,32,28,17,60.7142857142857,17,17,70.6,32,29,3,31,94,2
"Fabio Borini","Hellas Verona","ITA","MF","FW",28,2,1,50,4,4,0,3,0,3,13,6,0
"Fabio Borini","Milan","ITA","MF",NA,28,2,2,100,2,2,0,1,0,1,0,3,0
"Mehdi Bourabia","Sassuolo","MAR","MF",NA,27,19,9,47.3684210526316,22,22,40.9,12,2,10,22,23,0
"Gleison Bremer","Torino","BRA","DF",NA,22,63,36,57.1428571428571,34,34,58.8,48,22,26,74,118,1
"Marcelo Brozović","Inter","CRO","MF",NA,26,67,35,52.2388059701493,71,71,26.8,26,9,17,46,46,2
"Gastón Brugman","Parma","URU","MF",NA,26,47,24,51.063829787234,46,46,41.3,33,15,18,27,19,2
"Fabrizio Cacciatore","Cagliari","ITA","DF",NA,32,14,4,28.5714285714286,9,9,66.7,10,6,4,16,44,0
"Martín Cáceres","Fiorentina","URU","DF",NA,32,47,31,65.9574468085106,34,34,47.1,29,13,16,31,74,2
"Felipe Caicedo","Lazio","ECU","FW",NA,30,17,10,58.8235294117647,11,11,18.2,9,1,8,4,2,0
"Davide Calabria","Milan","ITA","DF",NA,22,52,33,63.4615384615385,41,41,41.5,23,5,18,21,47,1
"Riccardo Calafiori","Roma","ITA","DF",NA,17,0,0,NA,1,1,0,0,0,0,2,0,0
"Mattia Caldara","Atalanta","ITA","DF",NA,25,21,11,52.3809523809524,11,11,45.5,9,5,4,30,22,1
"Marco Calderoni","Lecce","ITA","DF",NA,30,38,25,65.7894736842105,39,39,51.3,27,10,17,37,54,1
"Hakan Çalhanoğlu","Milan","TUR","MF","FW",25,42,21,50,35,35,34.3,26,2,24,26,26,1
"José Callejón","Napoli","ESP","FW","MF",32,13,9,69.2307692307692,25,25,36,15,3,12,10,14,1
"Emre Can","Juventus","GER","MF",NA,25,10,7,70,10,10,30,4,0,4,2,3,0
"Antonio Candreva","Inter","ITA","DF",NA,32,11,6,54.5454545454545,29,29,24.1,26,10,16,14,33,1
"Gianluca Caprari","Sampdoria","ITA","FW","MF",26,9,7,77.7777777777778,13,13,30.8,5,0,5,7,1,0
"Gianluca Caprari","Parma","ITA","FW","MF",26,1,1,100,5,5,0,7,2,5,4,2,0
"Francesco Caputo","Sassuolo","ITA","FW",NA,31,7,4,57.1428571428571,11,11,27.3,15,0,15,1,8,0
"Andrea Carboni","Cagliari","ITA","DF",NA,18,8,4,50,4,4,75,6,6,0,7,20,0
"Francesco Cassata","Genoa","ITA","MF",NA,22,20,10,50,30,30,30,12,2,10,11,11,0
"Timothy Castagne","Atalanta","BEL","DF",NA,23,31,20,64.5161290322581,25,25,52,34,5,29,17,23,0
"Samu Castillejo","Milan","ESP","FW","MF",24,24,15,62.5,42,42,21.4,17,2,15,24,5,0
"Lucas Castro","SPAL","ARG","MF",NA,30,13,5,38.4615384615385,4,4,50,4,0,4,2,3,0
"Lucas Castro","Cagliari","ARG","MF",NA,30,7,3,42.8571428571429,12,12,8.3,6,1,5,8,14,0
"Gaetano Castrovilli","Fiorentina","ITA","MF",NA,22,59,31,52.5423728813559,53,53,34,29,2,27,15,31,1
"Danilo Cataldi","Lazio","ITA","MF",NA,24,17,11,64.7058823529412,20,20,50,7,1,6,13,10,0
"Federico Ceccherini","Fiorentina","ITA","DF",NA,27,14,8,57.1428571428571,10,10,100,9,5,4,13,37,1
"Luca Ceppitelli","Cagliari","ITA","DF",NA,29,22,15,68.1818181818182,11,11,54.5,23,17,6,23,66,2
"Alberto Cerri","SPAL","ITA","FW",NA,23,2,1,50,3,3,33.3,1,0,1,0,3,0
"Alberto Cerri","Cagliari","ITA","FW",NA,23,3,1,33.3333333333333,6,6,33.3,1,0,1,2,4,0
"Julian Chabot","Sampdoria","GER","DF",NA,21,11,7,63.6363636363636,11,11,54.5,3,2,1,15,26,0
"Jhon Chancellor","Brescia","VEN","DF",NA,27,30,14,46.6666666666667,22,22,50,34,29,5,34,145,3
"Giorgio Chiellini","Juventus","ITA","DF",NA,34,3,0,0,1,1,100,2,2,0,1,9,0
"Federico Chiesa","Fiorentina","ITA","FW","DF",21,38,22,57.8947368421053,52,52,19.2,19,0,19,6,6,0
"Vlad Chiricheș","Sassuolo","ROU","DF",NA,29,14,9,64.2857142857143,10,10,70,13,8,5,11,28,2
"Luca Cigarini","Cagliari","ITA","MF",NA,33,37,20,54.0540540540541,40,40,40,28,10,18,20,29,0
"Thiago Cionek","SPAL","POL","DF",NA,33,53,32,60.377358490566,53,53,41.5,30,11,19,46,91,2
"Andrea Cistana","Brescia","ITA","DF",NA,22,20,8,40,17,17,35.3,38,34,4,33,96,1
"Ebrima Colley","Atalanta","GAM","FW",NA,19,2,1,50,2,2,50,1,0,1,1,0,0
"Omar Colley","Sampdoria","GAM","DF",NA,26,42,26,61.9047619047619,24,24,50,33,22,11,59,155,1
"Andrea Consigli","Sassuolo","ITA","GK",NA,32,0,0,NA,1,1,0,0,0,0,4,19,2
"Andrea Conti","Milan","ITA","DF",NA,25,41,25,60.9756097560976,49,49,42.9,21,8,13,43,42,1
"Gabriele Corbo","Bologna","ITA","DF",NA,19,1,1,100,3,3,0,2,2,0,4,5,0
"Andreas Cornelius","Parma","DEN","FW",NA,26,9,4,44.4444444444444,11,11,36.4,7,0,7,2,26,0
"Joaquín Correa","Lazio","ARG","FW",NA,24,13,7,53.8461538461538,24,24,20.8,5,1,4,7,10,0
