"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Francesco Acerbi","Lazio","ITA","DF",NA,31,4,0,0,0,26
"Bobby Adekanye","Lazio","NED","FW",NA,20,1,0,0,0,2
"Claud Adjapong","Hellas Verona","ITA","DF",NA,21,0,0,0,0,3
"Kevin Agudelo","Fiorentina","COL","MF","FW",20,0,0,0,0,3
"Kevin Agudelo","Genoa","COL","MF","FW",20,5,1,1,2,20
"Emmanuel Agyemang-Badu","Hellas Verona","GHA","MF",NA,28,2,0,0,0,7
"Ola Aina","Torino","NGA","DF",NA,22,8,0,0,0,25
"Luis Alberto","Lazio","ESP","MF",NA,26,5,0,0,0,20
"Allan","Napoli","BRA","MF",NA,28,3,0,0,0,30
"Bruno Alves","Parma","POR","DF",NA,37,4,0,0,0,24
"Sofyan Amrabat","Hellas Verona","MAR","MF",NA,22,10,2,0,2,63
"Djavan Anderson","Lazio","NED","FW","DF",24,1,0,0,0,4
"Lorenzo Andrenacci","Brescia","ITA","GK",NA,24,0,0,0,0,0
"Peter Ankersen","Genoa","DEN","DF",NA,28,2,0,0,0,9
"Cristian Ansaldi","Torino","ARG","DF","MF",32,9,0,0,0,28
"Nicolò Armini","Lazio","ITA","DF",NA,18,0,0,0,0,0
"Kwadwo Asamoah","Inter","GHA","DF","FW",30,1,0,0,0,6
"Kristoffer Askildsen","Sampdoria","NOR","MF",NA,18,2,1,1,2,4
"Emil Audero","Sampdoria","ITA","GK",NA,22,1,0,0,0,0
"Tommaso Augello","Sampdoria","ITA","DF",NA,24,2,0,0,0,6
"Florian Ayé","Brescia","FRA","FW","MF",22,4,1,1,2,19
"Khouma Babacar","Lecce","SEN","FW",NA,26,4,0,0,0,35
"Milan Badelj","Fiorentina","CRO","MF",NA,30,3,1,1,2,17
"Mario Balotelli","Brescia","ITA","FW",NA,28,6,1,0,1,32
"Mattia Bani","Bologna","ITA","DF",NA,25,13,1,1,2,44
"Antonín Barák","Udinese","CZE","MF","FW",24,1,0,0,0,9
"Antonín Barák","Lecce","CZE","MF",NA,24,0,0,0,0,12
"Nicolò Barella","Inter","ITA","MF",NA,22,11,0,0,0,39
"Antonino Barillà","Parma","ITA","MF",NA,31,6,0,0,0,38
"Antonio Barreca","Genoa","ITA","DF","FW",24,0,0,0,0,13
"Édgar Barreto","Sampdoria","PAR","MF",NA,35,0,0,0,0,1
"Musa Barrow","Bologna","GAM","FW","MF",20,1,0,0,0,22
"Musa Barrow","Atalanta","GAM","FW","MF",20,0,0,0,0,4
"Daniele Baselli","Torino","ITA","MF",NA,27,3,0,0,0,20
"Alessandro Bastoni","Inter","ITA","DF",NA,20,9,1,1,2,37
"Bastos","Lazio","ANG","DF",NA,28,4,0,0,0,15
"Rodrigo Becão","Udinese","BRA","DF",NA,23,8,0,0,0,44
"Valon Behrami","Genoa","SUI","MF",NA,34,4,1,1,2,36
"Andrea Belotti","Torino","ITA","FW",NA,25,4,0,0,0,64
"Marco Benassi","Fiorentina","ITA","MF",NA,24,1,0,0,0,23
"Ismaël Bennacer","Milan","ALG","MF",NA,21,14,0,0,0,48
"Rodrigo Bentancur","Juventus","URU","MF",NA,22,9,0,0,0,53
"Romario Benzar","Lecce","ROU","DF",NA,27,0,0,0,0,2
"Domenico Berardi","Sassuolo","ITA","FW",NA,24,6,1,0,1,57
"Álex Berenguer","Torino","ESP","MF","DF",24,4,0,0,0,28
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,27,10,0,0,0,34
"Etrit Berisha","SPAL","ALB","GK",NA,30,2,0,0,0,0
"Valon Berisha","Lazio","KVX","MF",NA,26,0,0,0,0,1
"Federico Bernardeschi","Juventus","ITA","MF","FW",25,6,0,0,0,31
"Andrea Bertolacci","Sampdoria","ITA","MF",NA,28,3,0,0,0,8
"Lucas Biglia","Milan","ARG","MF",NA,33,4,0,0,0,22
"Cristiano Biraghi","Inter","ITA","DF",NA,26,3,0,0,0,22
"Davide Biraschi","Genoa","ITA","DF",NA,25,3,1,0,1,29
"Valter Birsa","Cagliari","SVN","MF","FW",32,1,0,0,0,6
"Dimitri Bisoli","Brescia","ITA","MF",NA,25,6,0,0,0,38
"Birkir Bjarnason","Brescia","ISL","MF","FW",31,1,0,0,0,17
"Kevin-Prince Boateng","Fiorentina","GHA","FW",NA,32,2,0,0,0,12
"Salvatore Bocchetti","Hellas Verona","ITA","DF",NA,32,2,0,0,0,5
"Jeremie Boga","Sassuolo","CIV","FW",NA,22,0,0,0,0,14
"Giacomo Bonaventura","Milan","ITA","MF","FW",29,2,0,0,0,20
"Federico Bonazzoli","Sampdoria","ITA","FW",NA,22,1,0,0,0,17
"Kevin Bonifazi","Torino","ITA","DF",NA,23,0,0,0,0,4
"Kevin Bonifazi","SPAL","ITA","DF",NA,23,2,1,0,1,12
"Leonardo Bonucci","Juventus","ITA","DF",NA,32,10,0,0,0,26
"Fabio Borini","Hellas Verona","ITA","MF","FW",28,1,1,0,1,11
"Mehdi Bourabia","Sassuolo","MAR","MF",NA,27,7,1,1,2,27
"Gleison Bremer","Torino","BRA","DF",NA,22,6,2,2,4,33
"Marco Brescianini","Milan","ITA","MF",NA,19,0,0,0,0,1
"Marcelo Brozović","Inter","CRO","MF",NA,26,9,0,0,0,44
"Gastón Brugman","Parma","URU","MF",NA,26,5,0,0,0,27
"Gianluigi Buffon","Juventus","ITA","GK",NA,41,0,0,0,0,0
"Fabrizio Cacciatore","Cagliari","ITA","DF",NA,32,1,1,0,1,8
"Martín Cáceres","Fiorentina","URU","DF",NA,32,10,1,1,2,23
"Felipe Caicedo","Lazio","ECU","FW",NA,30,7,0,0,0,27
"Davide Calabria","Milan","ITA","DF",NA,22,4,2,1,3,15
"Mattia Caldara","Atalanta","ITA","DF",NA,25,1,0,0,0,20
"Marco Calderoni","Lecce","ITA","DF",NA,30,7,0,0,0,29
"Hakan Çalhanoğlu","Milan","TUR","MF","FW",25,6,0,0,0,38
"José Callejón","Napoli","ESP","FW","MF",32,2,0,0,0,13
"Emre Can","Juventus","GER","MF",NA,25,2,0,0,0,10
"Antonio Candreva","Inter","ITA","DF",NA,32,5,0,0,0,15
"Gianmarco Cangiano","Bologna","ITA","FW","MF",17,0,0,0,0,1
"Gianluca Caprari","Sampdoria","ITA","FW","MF",26,4,1,1,2,10
"Gianluca Caprari","Parma","ITA","FW","MF",26,1,0,0,0,6
"Francesco Caputo","Sassuolo","ITA","FW",NA,31,3,0,0,0,24
"Andrea Carboni","Cagliari","ITA","DF",NA,18,5,2,1,3,7
"Francesco Cassata","Genoa","ITA","MF",NA,22,11,2,1,3,46
"Timothy Castagne","Atalanta","BEL","DF",NA,23,4,0,0,0,18
"Samu Castillejo","Milan","ESP","FW","MF",24,3,1,0,1,14
"Lucas Castro","SPAL","ARG","MF",NA,30,0,0,0,0,8
