"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Ramsey","Juventus","WAL","MF",NA,28,1990,24,1051,44,30.7,11,67,1,13,24,2.25,27,12,172500,8970000
"Adam Marušić","Lazio","MNE","DF",NA,26,1992,15,942,63,27.5,10,82,7,5,25,2.4,26,12,32115,1670000
"Adama Soumaoro","Genoa","FRA","DF",NA,27,1992,8,637,80,18.6,7,85,6,1,45,1.38,13,14,27692,1440000
"Adrien Rabiot","Juventus","FRA","MF",NA,24,1995,28,1912,68,55.9,21,82,13,7,27,2.25,45,22,172500,8970000
"Adrien Tameze","Atalanta","CMR","MF",NA,25,1994,7,211,30,6.2,2,90,2,5,6,2.71,10,3,15769,820000
"Alan Empereur","Hellas Verona","BRA","DF",NA,25,1994,13,855,66,25,8,88,7,5,31,1.08,15,18,8846,460000
"Alberto Cerri","Cagliari","ITA","FW",NA,23,1996,11,244,22,7.1,1,45,0,10,20,1.27,5,7,35577,1850000
"Alberto Cerri","SPAL","ITA","FW",NA,23,1996,8,420,53,12.3,5,76,2,3,14,0,3,17,35577,1850000
"Alberto Grassi","Parma","ITA","MF",NA,24,1995,16,641,40,18.7,6,71,1,10,21,1.5,10,13,28462,1480000
"Alberto Paloschi","SPAL","ITA","FW",NA,29,1990,10,438,44,12.8,5,74,1,5,13,0.8,4,7,35577,1850000
"Alberto Paloschi","Cagliari","ITA","FW","MF",29,1990,7,204,29,6,1,65,0,6,23,0.57,1,4,35577,1850000
"Albin Ekdal","Sampdoria","SWE","MF",NA,30,1989,32,2385,75,69.7,27,84,21,5,24,1.28,37,40,39231,2040000
"Aleksandar Kolarov","Roma","SRB","DF",NA,33,1985,32,2732,85,79.9,30,90,30,2,16,2,64,37,106923,5560000
"Aleš Matějů","Brescia","CZE","DF",NA,23,1996,31,2548,82,74.5,28,87,25,3,36,0.65,29,55,3654,190000
"Alessandro Bastoni","Inter","ITA","DF",NA,20,1999,25,1921,77,56.2,21,87,16,4,25,2,51,23,10769,560000
"Alessandro Deiola","Lecce","ITA","MF",NA,23,1995,10,717,72,21,8,85,5,2,18,1.4,10,20,10769,560000
"Alessandro Florenzi","Roma","ITA","DF","FW",28,1991,14,997,71,29.2,12,82,5,2,8,1.79,21,15,106923,5560000
"Alessandro Murgia","SPAL","ITA","MF",NA,22,1996,25,1750,70,51.2,19,83,11,6,29,0.48,12,42,25000,1300000
"Alessandro Semprini","Brescia","ITA","DF",NA,21,1998,12,629,52,18.4,6,84,3,6,21,0.75,10,20,3654,190000
"Alessandro Tripaldelli","Sassuolo","ITA","DF",NA,20,1999,2,135,68,3.9,1,90,1,1,45,0,4,4,8846,460000
"Álex Berenguer","Torino","ESP","MF","DF",24,1995,29,1823,63,53.3,21,79,8,8,21,1.1,28,36,25000,1300000
"Alex Ferrari","Sampdoria","ITA","DF",NA,25,1994,12,1005,84,29.4,11,88,10,1,37,1.17,11,13,14231,740000
"Alex Meret","Napoli","ITA","GK",NA,22,1997,22,1951,89,57,21,90,21,1,61,1.45,35,33,35577,1850000
"Alex Sandro","Juventus","BRA","DF",NA,28,1991,29,2385,82,69.7,27,87,24,2,24,2.03,48,31,178077,9260000
"Alexis Saelemaekers","Milan","BEL","FW","DF",20,1999,13,684,53,20,6,76,3,7,32,2.23,20,9,25000,1300000
"Alexis Sánchez","Inter","CHI","FW",NA,30,1988,22,923,42,27,10,74,4,12,15,2.05,31,9,123269,6410000
"Alfred Duncan","Sassuolo","GHA","MF",NA,26,1993,13,843,65,24.6,10,80,4,3,15,1.08,19,20,25000,1300000
"Alfred Duncan","Fiorentina","GHA","MF",NA,26,1993,13,887,68,25.9,10,80,5,3,29,1.77,19,6,25000,1300000
"Alfredo Donnarumma","Brescia","ITA","FW",NA,28,1990,31,1684,54,49.2,20,75,9,11,17,0.71,19,43,21346,1110000
"Allan","Napoli","BRA","MF",NA,28,1991,23,1280,56,37.4,16,75,8,7,11,1.52,20,20,71154,3700000
"Amadou Diawara","Roma","GUI","MF",NA,22,1997,22,1518,69,44.4,19,78,11,3,11,1.95,35,20,89038,4630000
"Amin Younes","Napoli","GER","FW","MF",25,1993,9,176,20,5.1,1,64,0,8,14,1.56,3,1,53462,2780000
"Andrea Belotti","Torino","ITA","FW",NA,25,1993,36,3008,84,88,34,87,30,2,17,0.94,38,60,60577,3150000
"Andrea Bertolacci","Sampdoria","ITA","MF",NA,28,1991,12,534,45,15.6,8,60,0,4,13,1.33,6,9,15000,780000
"Andrea Conti","Milan","ITA","DF",NA,25,1994,23,1725,75,50.4,21,81,15,2,14,1.78,30,29,71154,3700000
"Andrea Favilli","Genoa","ITA","FW",NA,22,1997,20,658,33,19.2,7,64,0,13,16,0.7,5,11,25000,1300000
"Andrea La Mantia","Lecce","ITA","FW",NA,28,1991,12,553,46,16.2,6,78,3,6,15,0.67,8,17,25000,1300000
