"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",683,407,59.5900439238653,679,679,45.2,515,184,331,429,721,8
"Bologna",574,321,55.9233449477352,598,598,45.5,383,108,275,376,618,8
"Cagliari",488,275,56.3524590163934,479,479,47.4,390,117,273,306,637,9
"Empoli",590,361,61.1864406779661,546,546,46.7,434,142,292,377,706,7
"Fiorentina",515,289,56.1165048543689,541,541,44.4,386,119,267,351,687,4
"Genoa",651,370,56.8356374807988,580,580,47.9,418,105,313,350,736,7
"Hellas Verona",659,367,55.690440060698,589,589,46.9,425,117,308,425,569,16
"Inter",461,251,54.4468546637744,471,471,45.9,447,172,275,395,832,8
"Juventus",582,334,57.3883161512028,637,637,42.4,389,120,269,364,570,12
"Lazio",547,319,58.3180987202925,608,608,45.1,351,89,262,399,621,14
"Milan",635,352,55.4330708661417,779,779,41.5,431,158,273,356,722,16
"Napoli",532,320,60.1503759398496,595,595,40,455,155,300,397,613,19
"Roma",586,361,61.6040955631399,630,630,47.5,402,165,237,383,722,5
"Salernitana",602,341,56.6445182724253,586,586,46.4,373,114,259,315,702,12
"Sampdoria",464,276,59.4827586206897,422,422,46,410,108,302,363,631,7
"Sassuolo",661,371,56.1270801815431,678,678,40.6,440,154,286,374,573,12
"Spezia",607,366,60.2965403624382,546,546,46.5,388,105,283,334,514,7
"Torino",502,284,56.5737051792829,511,511,42.3,390,123,267,300,625,9
"Udinese",650,363,55.8461538461538,679,679,46.5,390,126,264,340,611,9
"Venezia",589,341,57.8947368421053,576,576,47.9,377,82,295,370,560,5
