"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",94,1,1,2,491
"Bologna",83,4,2,6,527
"Cagliari",74,5,1,6,526
"Empoli",80,1,0,1,488
"Fiorentina",103,4,3,7,585
"Genoa",82,1,0,1,523
"Hellas Verona",74,3,0,3,463
"Inter",79,5,1,6,440
"Juventus",94,4,2,6,525
"Lazio",100,7,3,10,474
"Milan",91,6,2,8,533
"Napoli",101,9,5,14,517
"Roma",106,8,5,13,497
"Salernitana",98,8,4,12,546
"Sampdoria",82,2,2,4,538
"Sassuolo",83,6,5,11,519
"Spezia",85,2,2,4,474
"Torino",96,7,3,10,485
"Udinese",107,6,6,12,494
"Venezia",79,3,2,5,476
