"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",65,48,17,31,29,2,34,19,15,48,110,6,5,598,167,27.9,0.1,0.34,16.5,16,1078,776,302,110,88,22
"Bologna",44,55,-11,25,24,1,19,31,-12,34,77,5,4,434,143,32.9,0.09,0.27,18.1,14,777,599,178,76,59,17
"Cagliari",34,68,-34,20,33,-13,14,35,-21,26,60,4,3,420,117,27.9,0.07,0.26,17.3,17,742,521,221,61,43,18
"Empoli",50,70,-20,28,44,-16,22,26,-4,27,74,7,7,490,151,30.8,0.08,0.26,18.5,16,835,622,213,84,59,25
"Fiorentina",59,51,8,38,20,18,21,31,-10,33,92,12,9,501,172,34.3,0.1,0.29,17.2,25,908,655,253,99,67,32
"Genoa",27,60,-33,14,25,-11,13,35,-22,19,45,7,6,397,106,26.7,0.05,0.19,18.8,12,684,462,222,48,33,15
"Hellas Verona",65,59,6,34,25,9,31,34,-3,44,107,8,7,455,152,33.4,0.12,0.37,16.9,15,796,607,189,106,89,17
"Inter",84,32,52,48,16,32,36,16,20,57,140,11,7,667,239,35.8,0.11,0.32,15.9,13,1184,885,299,149,114,35
"Juventus",57,37,20,25,14,11,32,23,9,37,93,6,5,517,166,32.1,0.1,0.31,17.5,18,917,677,240,99,73,26
"Lazio",77,58,19,42,25,17,35,33,2,48,122,9,7,445,185,41.6,0.15,0.36,17.4,14,798,610,188,128,82,46
"Milan",69,31,38,28,12,16,41,19,22,39,105,8,5,592,187,31.6,0.1,0.33,18.4,23,1026,717,309,105,75,30
"Napoli",74,31,43,37,16,21,37,15,22,46,120,14,10,565,186,32.9,0.11,0.34,18.2,25,1021,778,243,126,89,37
"Roma",59,43,16,26,16,10,33,27,6,31,89,9,7,592,184,31.1,0.09,0.28,17.3,21,1031,695,336,94,54,40
"Salernitana",33,78,-45,17,39,-22,16,39,-23,19,51,5,4,426,130,30.5,0.07,0.22,18.1,20,739,500,239,58,33,25
"Sampdoria",46,63,-17,29,32,-3,17,31,-14,29,71,4,2,386,118,30.6,0.1,0.34,18.1,12,680,496,184,69,47,22
"Sassuolo",64,66,-2,27,30,-3,37,36,1,39,99,7,7,569,204,35.9,0.09,0.26,18.8,14,1010,795,215,104,80,24
"Spezia",41,71,-30,21,30,-9,20,41,-21,25,63,5,3,381,127,33.3,0.09,0.28,18.7,17,663,469,194,61,39,22
"Torino",46,41,5,29,21,8,17,20,-3,27,70,6,6,470,142,30.2,0.08,0.26,17.3,16,827,589,238,74,50,24
"Udinese",61,58,3,31,29,2,30,29,1,36,94,4,3,505,181,35.8,0.11,0.3,17.8,19,860,582,278,92,54,38
"Venezia",34,69,-35,21,38,-17,13,31,-18,23,57,5,3,349,113,32.4,0.09,0.27,18.2,22,617,440,177,57,41,16
