"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",65,110,65.1,9,23.7,0,0
"Bologna",44,104,72.8,12,31.6,0,0
"Cagliari",34,86,74.4,14,36.8,1,25
"Empoli",50,111,72.8,9,23.7,0,0
"Fiorentina",59,122,72.7,7,18.4,2,18.2
"Genoa",27,86,81.4,20,52.6,1,14.3
"Hellas Verona",65,96,63.5,6,15.8,0,0
"Inter",84,163,69,3,7.9,2,22.2
"Juventus",57,115,69.6,5,13.2,0,0
"Lazio",77,118,63.9,6,15.8,2,22.2
"Milan",69,126,66.8,4,10.5,1,16.7
"Napoli",74,122,67.8,4,10.5,3,23.1
"Roma",59,133,73.1,7,18.4,2,22.2
"Salernitana",33,102,78.5,16,42.1,1,20
"Sampdoria",46,78,63.9,12,31.6,2,50
"Sassuolo",64,151,73,6,15.8,0,0
"Spezia",41,92,71,10,26.3,1,25
"Torino",46,105,73,12,31.6,0,0
"Udinese",61,126,68.6,9,23.7,1,25
"Venezia",34,82,73.7,13,34.2,2,40
