"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",48,65,29,74,6,5,385,134,34.8,0.1,0.3,18.4,19,674,508,166,75,52,23
"Bologna",55,44,32,85,9,8,531,175,33,0.08,0.26,18.4,21,954,713,241,89,63,26
"Cagliari",68,34,41,108,10,7,545,175,32.1,0.11,0.34,18.1,20,940,675,265,114,81,33
"Empoli",70,50,44,108,10,5,658,209,31.8,0.09,0.28,16.8,13,1205,880,325,114,88,26
"Fiorentina",51,59,33,82,5,3,351,121,34.5,0.13,0.38,16.6,7,593,404,189,86,62,24
"Genoa",60,27,35,93,5,4,536,179,33.4,0.1,0.3,17.3,20,934,676,258,98,70,28
"Hellas Verona",59,65,38,95,4,3,470,155,33,0.11,0.35,17.8,20,817,588,229,99,71,28
"Inter",32,84,19,50,4,4,398,123,30.9,0.07,0.22,17.5,13,680,485,195,46,33,13
"Juventus",37,57,21,57,7,4,438,116,26.5,0.07,0.28,19.3,16,760,567,193,58,37,21
"Lazio",58,77,40,97,6,5,464,141,30.4,0.11,0.37,17.7,13,806,585,221,101,72,29
"Milan",31,69,19,48,5,4,396,120,30.3,0.06,0.21,18.4,9,675,490,185,45,29,16
"Napoli",31,74,19,49,1,1,418,135,32.3,0.07,0.21,18.3,17,726,542,184,52,39,13
"Roma",43,59,23,64,6,5,369,140,37.9,0.1,0.26,18.5,18,667,504,163,68,43,25
"Salernitana",78,33,58,134,8,6,583,214,36.7,0.12,0.33,17.1,25,1049,779,270,137,105,32
"Sampdoria",63,46,41,102,4,3,552,181,32.8,0.11,0.32,17,16,965,702,263,108,77,31
"Sassuolo",66,64,48,113,9,8,523,168,32.1,0.11,0.34,15.9,13,934,674,260,117,80,37
"Spezia",71,41,44,112,13,10,630,197,31.3,0.09,0.29,18.1,24,1133,826,307,116,83,33
"Torino",41,46,25,66,11,9,384,113,29.4,0.08,0.28,18.7,19,683,467,216,72,49,23
"Udinese",58,61,39,96,7,5,462,157,34,0.11,0.33,17.4,13,814,579,235,95,63,32
"Venezia",69,34,39,106,12,11,666,217,32.6,0.08,0.26,17.5,33,1184,831,353,110,72,38
