"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",87,2,1,3,513
"Bologna",92,7,4,11,443
"Cagliari",96,5,3,8,549
"Empoli",87,5,3,8,506
"Fiorentina",89,8,6,14,464
"Genoa",92,3,2,5,566
"Hellas Verona",100,7,5,12,560
"Inter",71,0,0,0,466
"Juventus",77,2,1,3,508
"Lazio",88,5,3,8,441
"Milan",76,3,1,4,465
"Napoli",63,2,0,2,460
"Roma",111,8,6,14,500
"Salernitana",94,5,3,8,494
"Sampdoria",94,4,1,5,495
"Sassuolo",92,4,2,6,461
"Spezia",88,4,1,5,508
"Torino",89,3,2,5,636
"Udinese",95,6,3,9,564
"Venezia",110,9,2,11,522
