"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",630,341,54.1269841269841,635,635,47.1,436,96,340,441,483,6
"Bologna",530,298,56.2264150943396,528,528,40.9,384,127,257,370,678,5
"Cagliari",557,303,54.3985637342908,544,544,42.3,406,128,278,397,747,5
"Empoli",568,327,57.5704225352113,606,606,45,451,177,274,352,772,10
"Fiorentina",508,301,59.251968503937,540,540,49.6,357,91,266,244,407,15
"Genoa",739,416,56.2922868741543,727,727,48,487,134,353,449,751,15
"Hellas Verona",534,308,57.6779026217228,557,557,42.7,414,107,307,392,779,9
"Inter",588,332,56.4625850340136,545,545,45.3,360,110,250,332,485,11
"Juventus",555,316,56.9369369369369,529,529,44.6,392,134,258,332,677,9
"Lazio",578,339,58.6505190311419,621,621,38.3,416,144,272,315,565,10
"Milan",697,421,60.4017216642755,583,583,48.2,371,110,261,355,477,12
"Napoli",550,327,59.4545454545455,617,617,43.4,371,108,263,296,510,8
"Roma",613,362,59.0538336052202,622,622,45.5,383,82,301,385,552,9
"Salernitana",541,321,59.3345656192237,579,579,47.8,394,146,248,353,777,3
"Sampdoria",562,327,58.1850533807829,629,629,45.8,383,134,249,443,723,11
"Sassuolo",482,271,56.2240663900415,574,574,41.1,422,127,295,314,664,19
"Spezia",580,343,59.1379310344828,585,585,45.5,465,176,289,372,736,8
"Torino",531,314,59.1337099811676,440,440,51.8,375,108,267,423,651,4
"Udinese",622,350,56.2700964630225,643,643,44.2,432,122,310,351,671,12
"Venezia",613,352,57.4225122349103,626,626,43.6,495,202,293,388,865,13
