"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aaron Leya Iseka","Metz","BEL","FW",NA,22,13,12,51,141,192,73.4,89,106,84,6,9,66.7,29,46,63,12,1,0,186,4,1,1,1,2,0,0,2,293,19,11,57.9,8,42.1
"Abdou Diallo","Paris S-G","SEN","DF",NA,24,28,76,34,1099,1187,92.6,526,542,97,79,106,74.5,467,498,93.8,1,5,2,1116,69,24,0,4,12,45,0,2,1324,26,17,65.4,9,34.6
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",26,41,43,96,368,490,75.1,216,253,85.4,26,55,47.3,115,150,76.7,23,10,0,441,47,21,1,4,39,6,17,2,617,47,27,57.4,20,42.6
"Abdoulaye Bamba","Angers","CIV","DF",NA,30,19,53,60,650,875,74.3,358,398,89.9,46,118,39,223,298,74.8,8,11,5,680,194,16,1,2,48,178,0,1,993,9,4,44.4,5,55.6
"Abdoulaye Touré","Nantes","GUI","MF",NA,26,22,101,23,799,946,84.5,358,418,85.6,60,83,72.3,351,396,88.6,14,7,0,941,5,5,3,6,9,0,0,0,1136,30,21,70,9,30
"Abdul Majeed Waris","Strasbourg","GHA","FW","MF",28,18,9,43,105,138,76.1,66,77,85.7,3,10,30,29,35,82.9,1,2,1,137,0,0,0,0,10,0,0,1,205,13,6,46.2,7,53.8
"Aboubakar Kamara","Dijon","MTN","FW","MF",25,10,7,37,104,146,71.2,67,77,87,9,15,60,24,33,72.7,7,3,3,138,7,0,0,1,10,2,0,1,212,15,8,53.3,7,46.7
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",18,56,87,92,571,818,69.8,307,364,84.3,85,181,47,152,213,71.4,59,25,7,680,136,45,4,14,130,5,77,2,1046,61,34,55.7,27,44.3
"Adrian Grbić","Lorient","AUT","FW",NA,23,13,10,53,126,211,59.7,77,114,67.5,2,11,18.2,28,42,66.7,4,2,0,191,19,0,0,1,5,0,0,1,320,11,2,18.2,9,81.8
"Adrien Hunou","Rennes","FRA","FW","MF",26,8,14,60,151,192,78.6,88,106,83,3,8,37.5,49,54,90.7,6,4,0,181,11,0,0,2,1,2,0,0,260,3,1,33.3,2,66.7
"Adrien Thomasson","Strasbourg","FRA","MF","FW",26,37,99,159,861,1132,76.1,451,550,82,68,97,70.1,296,374,79.1,36,23,5,1078,51,8,0,10,38,11,3,3,1441,47,24,51.1,23,48.9
"Adrien Truffert","Rennes","FRA","DF","MF",18,46,77,157,1064,1279,83.2,603,664,90.8,41,81,50.6,403,484,83.3,21,18,11,1091,184,18,1,0,66,166,0,4,1512,35,18,51.4,17,48.6
"Ahmad Ngouyamsa","Dijon","CHA","DF",NA,19,2,2,0,67,96,69.8,27,29,93.1,8,20,40,31,42,73.8,0,0,0,70,26,2,0,1,2,24,0,0,123,1,1,100,0,0
"Aimen Moueffek","Saint-Étienne","FRA","DF","MF",19,17,33,12,270,370,73,136,167,81.4,19,38,50,108,134,80.6,8,6,0,308,61,6,0,2,6,55,0,1,501,33,20,60.6,13,39.4
"Aleksandr Golovin","Monaco","RUS","MF","FW",24,45,36,93,396,585,67.7,215,253,85,35,90,38.9,120,177,67.8,35,16,4,487,91,26,4,0,102,4,60,7,736,33,18,54.5,15,45.5
"Alessandro Florenzi","Paris S-G","ITA","DF",NA,29,27,63,148,815,1009,80.8,436,474,92,58,120,48.3,286,351,81.5,18,25,16,902,105,9,0,10,80,93,3,2,1128,11,5,45.5,6,54.5
"Alexander Djiku","Strasbourg","GHA","DF","MF",25,11,83,7,1134,1351,83.9,264,296,89.2,182,269,67.7,671,741,90.6,4,1,0,1307,42,39,1,12,8,2,1,2,1670,6,5,83.3,1,16.7
"Alexandre Oukidja","Metz","ALG","GK",NA,32,0,3,1,679,1042,65.2,73,75,97.3,329,677,48.6,274,280,97.9,1,1,0,652,386,100,0,8,0,0,0,4,1119,3,3,100,0,0
"Alexis Claude-Maurice","Nice","FRA","MF","FW",22,61,76,116,604,753,80.2,336,378,88.9,42,73,57.5,190,238,79.8,35,11,1,696,56,22,1,1,57,4,29,1,996,73,48,65.8,25,34.2
"Alexis Flips","Reims","FRA","MF","FW",20,0,1,4,9,17,52.9,4,4,100,1,5,20,4,8,50,0,0,0,15,2,1,0,1,5,0,1,0,28,2,0,0,2,100
"Alexis Trouillet","Nice","FRA","MF","FW",19,2,8,5,57,68,83.8,25,27,92.6,6,9,66.7,26,30,86.7,2,1,0,65,2,1,0,1,2,0,1,1,89,5,4,80,1,20
"Álvaro González","Marseille","ESP","DF",NA,30,25,122,4,1708,1946,87.8,581,616,94.3,188,294,63.9,911,987,92.3,5,2,0,1871,73,67,1,17,0,6,0,2,2196,3,3,100,0,0
"Amadou Traore","Bordeaux","FRA","FW","MF",18,19,1,27,66,95,69.5,46,55,83.6,2,7,28.6,13,20,65,6,1,1,88,6,0,0,0,15,5,1,1,161,24,9,37.5,15,62.5
"Ambroise Oyongo","Montpellier","CMR","DF",NA,29,6,29,15,231,307,75.2,95,105,90.5,25,54,46.3,109,136,80.1,3,5,3,247,58,3,0,3,12,55,0,2,375,6,1,16.7,5,83.3
