"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Leya Iseka","Metz","BEL","FW",NA,22,1997,21,1008,48,29.5,12,65,1,9,26,1.14,8,15,11538,6e+05
"Abdou Diallo","Paris S-G","SEN","DF",NA,24,1996,22,1490,68,43.6,17,83,13,5,16,2.23,41,10,103846,5400000
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",26,1994,29,917,32,26.8,6,76,0,23,20,0.9,10,21,6154,320000
"Abdoulaye Touré","Nantes","GUI","MF",NA,26,1994,29,1681,58,49.2,20,78,11,9,14,0.83,18,28,10385,540000
"Abdul Majeed Waris","Strasbourg","GHA","FW","MF",28,1991,15,552,37,16.1,5,67,0,10,22,1,1,9,10962,570000
"Adama Soumaoro","Lille","FRA","DF",NA,28,1992,3,145,48,4.2,1,90,1,2,28,2.33,4,0,30385,1580000
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",18,2002,34,1731,51,50.6,21,66,2,13,27,1.21,24,25,6154,320000
"Adrian Grbić","Lorient","AUT","FW",NA,23,1996,33,961,29,28.1,9,64,1,24,16,0.94,13,21,9808,510000
"Adrien Hunou","Rennes","FRA","FW","MF",26,1994,20,589,29,17.2,5,62,0,15,19,1.35,11,5,32308,1680000
"Adrien Thomasson","Strasbourg","FRA","MF","FW",26,1993,37,2624,71,76.7,31,81,12,6,19,1.11,38,41,8462,440000
"Adrien Truffert","Rennes","FRA","DF","MF",18,2001,29,1951,67,57,23,76,9,6,33,1.45,27,23,2308,120000
"Ahmad Ngouyamsa","Dijon","CHA","DF",NA,19,2000,3,157,52,4.6,2,72,1,1,13,1,1,4,577,30000
"Aimen Moueffek","Saint-Étienne","FRA","DF","MF",19,2001,19,743,39,21.7,6,78,4,13,21,1.11,6,17,4038,210000
"Aleksandr Golovin","Monaco","RUS","MF","FW",24,1996,21,1069,51,31.3,12,71,1,9,24,2.57,28,8,43654,2270000
"Alessandro Florenzi","Paris S-G","ITA","DF",NA,29,1991,21,1538,73,45,18,84,10,3,7,2,35,13,100962,5250000
"Alexander Djiku","Strasbourg","GHA","DF","MF",25,1994,30,2552,85,74.6,29,87,24,1,27,1.27,33,37,16154,840000
"Alexis Claude-Maurice","Nice","FRA","MF","FW",22,1998,30,1910,64,55.8,21,81,14,9,24,1.1,31,34,23077,1200000
"Alexis Trouillet","Nice","FRA","MF","FW",19,2000,5,109,22,3.2,1,45,0,4,16,1.2,1,3,1154,60000
"Ambroise Oyongo","Montpellier","CMR","DF",NA,29,1991,13,558,43,16.3,5,84,3,8,17,1.38,9,11,8654,450000
"Amine Gouiri","Nice","ALG","FW","MF",20,2000,34,2747,81,80.3,31,86,21,3,26,1.41,40,40,8077,420000
"Anastasios Donis","Reims","GRE","MF",NA,23,1996,3,97,32,2.8,1,57,0,2,20,0,0,1,13846,720000
"Ander Herrera","Paris S-G","ESP","MF",NA,30,1989,31,1851,60,54.1,18,83,12,13,28,2.35,47,11,150000,7800000
"Andrei Girotto","Nantes","BRA","DF","MF",28,1992,34,2668,78,78,29,87,28,5,29,1.09,37,41,20769,1080000
"Andy Pelmard","Nice","FRA","DF",NA,20,2000,19,1207,64,35.3,12,86,11,7,25,1.26,21,20,2500,130000
"Ángel Di María","Paris S-G","ARG","FW","MF",32,1988,27,1853,69,54.2,23,76,7,4,25,2.04,47,13,253846,13200000
"Aníbal Chalá","Dijon","ECU","DF",NA,24,1996,13,744,57,21.8,9,77,6,4,14,0.38,5,19,5577,290000
"Anthony Briançon","Nîmes","FRA","DF",NA,25,1994,16,1225,77,35.8,14,85,11,2,15,0.88,12,27,18462,960000
"Anthony Caci","Strasbourg","FRA","DF",NA,23,1997,33,2797,85,81.8,32,87,22,1,27,1.18,39,43,577,30000
"Antonin Bobichon","Angers","FRA","MF","FW",24,1995,23,911,40,26.6,10,73,2,13,14,1.26,11,15,3269,170000
"Arber Zeneli","Reims","KVX","MF","FW",25,1995,28,1289,46,37.7,14,66,0,14,26,0.89,16,19,13462,7e+05
"Arkadiusz Milik","Marseille","POL","FW",NA,26,1994,15,1220,81,35.7,14,85,8,1,32,1.53,20,20,92308,4800000
"Armand Lauriente","Lorient","FRA","MF","FW",21,1998,29,1622,56,47.4,16,81,8,13,26,1.14,23,33,4808,250000
"Arnaud Kalimuendo","Lens","FRA","FW","MF",18,2002,28,1218,44,35.6,13,68,0,15,22,1.29,25,23,1154,60000
"Arnaud Nordin","Saint-Étienne","FRA","MF","FW",22,1998,32,1771,55,51.8,20,69,1,12,32,1.34,20,24,11154,580000
"Arnaud Souquet","Montpellier","FRA","DF",NA,28,1992,23,1224,53,35.8,14,76,4,9,18,1.43,20,23,8269,430000
"Arthur Zagre","Dijon","FRA","DF","MF",18,2001,3,122,41,3.6,1,90,1,2,16,1,1,1,2115,110000
"Axel Disasi","Monaco","FRA","DF",NA,22,1998,29,2011,69,58.8,24,80,16,5,16,2.1,44,24,13846,720000
"Benjamin Bourigeaud","Rennes","FRA","MF","FW",26,1994,37,2552,69,74.6,29,82,15,8,22,1.57,33,27,32308,1680000
"Benoît Badiashile","Monaco","FRA","DF",NA,19,2001,35,2870,82,83.9,32,86,26,3,42,2.03,63,37,11154,580000
"Bersant Celina","Dijon","KVX","MF","FW",23,1996,32,2298,72,67.2,25,83,16,7,33,0.59,18,42,10962,570000
"Bilal Benkhedim","Saint-Étienne","FRA","FW",NA,19,2001,3,73,24,2.1,1,59,0,2,7,0,0,2,4808,250000
"Boubakar Kouyaté","Metz","MLI","DF",NA,23,1997,25,1964,79,57.4,21,90,21,4,19,1.12,21,29,4615,240000
"Boubakary Soumaré","Lille","FRA","MF",NA,21,1999,32,1919,60,56.1,21,83,14,11,16,2.16,36,15,13846,720000
"Boulaye Dia","Reims","SEN","FW","MF",23,1996,36,2930,81,85.7,35,83,16,1,33,1.17,41,39,3269,170000
"Brandon Soppy","Rennes","FRA","DF",NA,18,2002,10,559,56,16.3,5,84,4,5,28,1.5,12,5,2500,130000
"Brendan Chardonnet","Brest","FRA","DF",NA,25,1994,33,2716,82,79.4,30,90,29,3,10,1.15,37,49,1154,60000
"Bruno Guimarães","Lyon","BRA","MF",NA,22,1997,33,1754,53,51.3,21,73,5,12,19,1.97,45,18,46154,2400000
"Burak Yılmaz","Lille","TUR","FW",NA,35,1985,28,2051,73,60,23,85,13,5,21,2.04,37,16,42115,2190000
"Caio Henrique Oliveira Silva","Monaco","BRA","DF",NA,23,1997,31,2368,76,69.2,26,85,16,5,31,2.19,56,17,42115,2190000
"Cesc Fàbregas","Monaco","ESP","MF","FW",33,1987,21,877,42,25.6,7,70,0,14,28,1.76,25,9,138462,7200000
"Charles Abi","Saint-Étienne","FRA","FW","MF",20,2000,24,912,38,26.7,9,64,1,15,22,1.33,16,23,4231,220000
