"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Saturnin Allagbé","Dijon","BEN","GK",NA,26,2,2,8,30,36,56.1,3,25,1,50
"Walter Benítez","Nice","ARG","GK",NA,27,15,7,16,53,123,73.9,9,23.7,0,0
"Paul Bernardoni","Angers","FRA","GK",NA,23,12,8,18,58,82,63.3,9,23.7,1,12.5
"Dimitry Bertaud","Montpellier","COD","GK",NA,22,4,2,1,11,31,76.2,3,42.9,0,0
"Marc-Aurèle Caillard","Metz","FRA","GK",NA,26,0,1,3,10,13,69.6,0,0,0,0
"Sébastien Cibois","Brest","FRA","GK",NA,22,1,1,1,4,7,72.7,1,33.3,0,0
"Benoît Costil","Bordeaux","FRA","GK",NA,33,13,6,19,56,100,68.6,14,36.8,1,12.5
"Yehvann Diouf","Reims","FRA","GK",NA,20,0,0,1,1,5,100,0,0,0,0
"Matthieu Dreyer","Lorient","FRA","GK",NA,31,5,5,5,25,32,66.1,2,13.3,0,0
"Wuilker Faríñez","Lens","VEN","GK",NA,22,0,0,1,3,4,71.4,0,0,0,0
"Alfred Gomis","Dijon","SEN","GK",NA,26,0,1,4,10,22,77.4,0,0,0,0
"Alfred Gomis","Rennes","SEN","GK",NA,26,7,5,10,25,52,71.1,5,22.7,0,0
"Etienne Green","Saint-Étienne","ENG","GK",NA,20,4,1,3,8,19,78.6,3,37.5,1,33.3
"Bingourou Kamara","Strasbourg","SEN","GK",NA,23,2,0,6,14,19,59.4,2,25,0,0
"Eiji Kawashima","Strasbourg","JPN","GK",NA,37,8,7,9,31,59,69.2,8,33.3,1,25
"Alban Lafont","Nantes","FRA","GK",NA,21,9,13,16,55,113,73.2,5,13.2,1,9.1
"Gautier Larsonneur","Brest","FRA","GK",NA,23,10,7,18,62,108,68,6,17.1,1,11.1
"Jean-Louis Leca","Lens","FRA","GK",NA,34,15,12,10,51,88,69.9,8,21.6,0,0
"Benjamin Lecomte","Monaco","FRA","GK",NA,29,18,5,5,27,42,64.7,13,46.4,0,0
"Anthony Lopes","Lyon","POR","GK",NA,29,22,10,6,43,92,71.6,11,28.9,1,16.7
"Mike Maignan","Lille","FRA","GK",NA,25,24,11,3,23,85,79.4,21,55.3,1,50
"Steve Mandanda","Marseille","FRA","GK",NA,35,16,12,9,45,83,66.9,8,21.6,0,0
"Vito Mannone","Monaco","ITA","GK",NA,32,5,1,3,14,19,63.6,2,22.2,0,0
"Jessy Moulin","Saint-Étienne","FRA","GK",NA,34,8,9,12,42,60,62,9,31,0,0
"Paul Nardi","Lorient","FRA","GK",NA,26,6,4,13,43,68,64.9,3,13,0,0
"Keylor Navas","Paris S-G","CRC","GK",NA,33,21,3,5,18,73,81.5,14,48.3,1,50
"Jonas Omlin","Montpellier","SUI","GK",NA,26,10,10,11,51,106,74.2,2,6.5,0,0
"Alexandre Oukidja","Metz","ALG","GK",NA,32,12,10,12,38,89,77.2,8,23.5,1,10
"Anthony Racioppi","Dijon","SUI","GK",NA,21,2,6,13,33,59,67.7,3,14.3,1,25
"Predrag Rajković","Reims","SRB","GK",NA,24,9,15,13,49,112,72.2,10,27,2,33.3
"Baptiste Reynet","Nîmes","FRA","GK",NA,29,9,8,21,71,122,66.8,8,21.1,3,33.3
"Matz Sels","Strasbourg","BEL","GK",NA,28,1,2,3,13,13,57.7,0,0,0,0
