"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Yunis Abdelhamid","Reims","MAR","DF",NA,32,4,1,0,1,37
"Mehdi Abeid","Nantes","ALG","MF",NA,27,5,0,0,0,31
"Laurent Abergel","Lorient","FRA","MF",NA,27,5,0,0,0,44
"Charles Abi","Saint-Étienne","FRA","FW","MF",20,1,0,0,0,18
"Pape Abou Cissé","Saint-Étienne","SEN","DF",NA,24,1,0,0,0,10
"Yacine Adli","Bordeaux","FRA","MF",NA,20,6,0,0,0,39
"Nayef Aguerd","Rennes","MAR","DF",NA,24,6,0,0,0,22
"Ruben Aguilar","Monaco","FRA","DF","MF",27,6,0,0,0,39
"Matteo Ahlinvi","Nîmes","BEN","MF",NA,21,0,0,0,0,17
"Jean-Eudes Aholou","Strasbourg","CIV","MF",NA,26,9,0,0,0,50
"Jean-Eudes Aholou","Monaco","CIV","MF",NA,26,0,0,0,0,0
"Rayan Aït-Nouri","Angers","ALG","DF",NA,19,0,0,0,0,2
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,26,5,0,0,0,38
"Marley Aké","Marseille","FRA","FW",NA,19,0,0,0,0,6
"Sofiane Alakouch","Nîmes","MAR","DF",NA,22,4,0,0,0,25
"Mohamed Ali Cho","Angers","FRA","FW","MF",16,1,0,0,0,8
"Saturnin Allagbé","Dijon","BEN","GK",NA,26,2,0,0,0,2
"Ibrahim Amadou","Angers","FRA","MF",NA,27,6,0,0,0,34
"Romain Amalfitano","Dijon","FRA","FW","DF",30,0,0,0,0,2
"Jordan Amavi","Marseille","FRA","DF",NA,26,3,1,0,1,13
"Thierry Ambrose","Metz","GLP","FW",NA,23,4,0,0,0,22
"Joachim Andersen","Lyon","DEN","DF",NA,24,1,0,0,0,5
"Benjamin André","Lille","FRA","MF",NA,29,10,0,0,0,70
"Victorien Angban","Metz","CIV","MF",NA,23,5,0,0,0,27
"Houssem Aouar","Lyon","ALG","MF","FW",22,3,1,0,1,20
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",18,2,0,0,0,20
"Dennis Appiah","Nantes","FRA","DF",NA,28,3,0,0,0,16
"Luiz Araújo","Lille","BRA","MF",NA,24,5,0,0,0,24
"Karim Aribi","Nîmes","ALG","FW",NA,26,0,0,0,0,2
"Roger Assalé","Dijon","CIV","FW","MF",26,0,1,0,1,12
"Youcef Atal","Nice","ALG","DF","FW",24,1,0,0,0,18
"Jean-Kévin Augustin","Nantes","FRA","FW",NA,23,0,0,0,0,0
"Ludovic Baal","Brest","GUF","DF","MF",34,0,0,0,0,3
"Loïc Bade","Lens","FRA","DF",NA,20,11,1,1,2,44
"Benoît Badiashile","Monaco","FRA","DF",NA,19,5,0,0,0,32
"Stéphane Bahoken","Angers","CMR","FW",NA,28,4,0,0,0,31
"Mitchel Bakker","Paris S-G","NED","DF",NA,20,1,0,0,0,16
"Dilane Bakwa","Bordeaux","FRA","FW","MF",17,0,0,0,0,1
"Leonardo Balerdi","Marseille","ARG","DF",NA,21,6,1,0,1,31
"Fodé Ballo-Touré","Monaco","SEN","DF",NA,23,2,0,0,0,10
"Abdoulaye Bamba","Angers","CIV","DF",NA,30,2,0,0,0,14
"Jonathan Bamba","Lille","CIV","MF",NA,24,2,0,0,0,27
"Robson Bambu","Nice","BRA","DF",NA,22,3,1,0,1,19
"Simon Banza","Lens","COD","FW",NA,23,6,1,1,2,29
"Danilo Barbosa","Nice","BRA","DF",NA,24,2,0,0,0,3
"Melvin Bard","Lyon","FRA","DF",NA,19,0,1,0,1,8
"Toma Bašić","Bordeaux","CRO","MF",NA,23,7,0,0,0,42
"Cristian Battocchio","Brest","ITA","MF",NA,28,0,0,0,0,1
"Paul Baysse","Bordeaux","FRA","DF",NA,32,5,1,1,2,22
"Haris Belkebla","Brest","ALG","MF",NA,26,7,1,0,1,38
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF","FW",22,3,0,0,0,32
"Sami Ben Amar","Nîmes","MAR","MF",NA,22,0,0,0,0,0
"Hatem Ben Arfa","Bordeaux","FRA","MF","FW",33,2,0,0,0,20
"Wissam Ben Yedder","Monaco","FRA","FW",NA,29,3,0,0,0,12
"Darío Benedetto","Marseille","ARG","FW",NA,30,3,2,1,3,19
"Walter Benítez","Nice","ARG","GK",NA,27,3,0,0,0,0
"Loris Benito","Bordeaux","SUI","DF",NA,28,7,1,0,1,39
"Bilal Benkhedim","Saint-Étienne","FRA","FW",NA,19,0,0,0,0,1
"Djamel Benlamri","Lyon","ALG","DF",NA,30,0,0,0,0,2
"Yassine Benrahou","Nîmes","FRA","MF",NA,21,2,0,0,0,8
"Yassine Benzia","Dijon","ALG","MF","FW",25,1,0,0,0,8
"Valon Berisha","Reims","KVX","MF",NA,27,2,0,0,0,15
"Paul Bernardoni","Angers","FRA","GK",NA,23,1,0,0,0,2
"Juan Bernat","Paris S-G","ESP","DF",NA,27,2,0,0,0,6
"Dimitry Bertaud","Montpellier","COD","GK",NA,22,0,0,0,0,0
"Loïc Bessile","Bordeaux","TOG","DF",NA,21,0,0,0,0,1
"Giulian Biancone","Monaco","FRA","DF","MF",20,1,0,0,0,1
"El Bilal Touré","Reims","MLI","FW",NA,18,4,0,0,0,42
"Ludovic Blas","Nantes","FRA","MF","FW",22,5,0,0,0,53
