"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Lumor Agbenyenu","Mallorca","GHA","DF",NA,22,31,21,67.741935483871,35,35,45.7,13,2,11,21,66,1
"Martin Agirregabiria","Alavés","ESP","DF",NA,23,55,30,54.5454545454545,54,54,55.6,19,7,12,18,48,0
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,23,43,27,62.7906976744186,27,27,48.1,31,14,17,45,124,3
"Jordi Alba","Barcelona","ESP","DF",NA,30,20,13,65,27,27,22.2,12,3,9,37,40,0
"Raúl Albiol","Villarreal","ESP","DF",NA,33,43,23,53.4883720930233,27,27,66.7,29,21,8,42,175,2
"Paco Alcácer","Villarreal","ESP","FW",NA,25,3,3,100,7,7,14.3,4,1,3,2,10,0
"Rubén Alcaraz","Valladolid","ESP","MF",NA,28,61,30,49.1803278688525,63,63,47.6,46,15,31,15,41,0
"Carles Aleñá","Barcelona","ESP","MF",NA,21,2,1,50,4,4,25,1,0,1,0,0,0
"Carles Aleñá","Betis","ESP","MF","FW",21,14,9,64.2857142857143,17,17,17.6,4,1,3,1,3,0
"Sergio Álvarez","Eibar","ESP","MF","DF",27,37,22,59.4594594594595,24,24,33.3,16,2,14,17,26,1
"Yeray Álvarez","Athletic Club","ESP","DF",NA,24,36,19,52.7777777777778,30,30,56.7,33,22,11,62,138,2
"Ibrahim Amadou","Leganés","FRA","MF",NA,26,16,9,56.25,11,11,36.4,5,0,5,12,6,0
"Amath","Getafe","SEN","MF",NA,23,2,1,50,5,5,0,2,0,2,0,0,0
"Miguel Ángel Guerrero","Leganés","ESP","FW",NA,29,1,0,0,10,10,10,4,0,4,2,4,0
"José Ángel","Eibar","ESP","DF",NA,29,54,31,57.4074074074074,43,43,60.5,23,7,16,33,61,1
