"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Paris S-G",1,26,8,4,86,16,10,3,5,0,4,51,35
"Marseille",2,21,8,9,71,9,12,5,3,5,4,32,39
"Monaco",3,20,9,9,69,12,8,4,5,3,6,40,29
"Rennes",4,20,6,12,66,14,6,1,5,4,8,43,23
"Nice",5,20,7,11,66,10,10,4,3,5,6,34,33
"Strasbourg",6,17,12,9,63,11,6,5,7,3,6,38,25
"Lens",7,17,11,10,62,9,8,7,4,3,7,34,28
"Lyon",8,17,11,10,61,11,6,5,6,3,7,38,24
"Nantes",9,15,10,13,55,11,4,4,6,4,9,37,18
"Lille",10,14,13,11,55,7,7,8,5,4,7,29,26
"Brest",11,13,9,16,48,7,6,4,5,8,8,25,23
"Reims",12,11,13,14,46,5,6,6,7,8,6,21,25
"Montpellier",13,12,7,19,43,7,5,5,2,7,12,26,17
"Angers",14,10,11,17,41,8,2,2,9,9,8,26,15
"Troyes",15,9,11,18,38,5,4,7,4,7,11,22,16
"Lorient",16,8,12,18,36,6,2,6,6,7,11,24,12
"Clermont Foot",17,9,9,20,36,4,5,6,3,9,11,18,18
"Saint-Étienne",18,7,11,20,32,4,3,6,5,9,11,18,14
"Metz",19,6,13,19,31,3,3,7,6,9,10,16,15
"Bordeaux",20,6,13,19,31,3,3,7,6,9,10,16,15
