"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Angers",3,55,103,67.7,8,21.1,0,0
"Bordeaux",2,91,104,56.7,2,5.3,2,22.2
"Brest",1,57,115,68.8,7,18.4,0,0
"Clermont Foot",2,69,99,61.2,8,21.1,0,0
"Lens",2,48,96,69.7,8,21.1,1,20
"Lille",2,48,105,72.2,10,26.3,0,0
"Lorient",2,63,88,60.8,11,28.9,0,0
"Lyon",2,51,124,74.6,9,23.7,1,12.5
"Marseille",2,38,75,69.6,15,39.5,0,0
"Metz",2,69,111,64,8,21.1,0,0
"Monaco",1,40,104,77.3,11,28.9,0,0
"Montpellier",2,61,154,74,10,26.3,1,16.7
"Nantes",1,48,105,71.6,8,21.1,3,42.9
"Nice",2,36,109,78.1,14,36.8,1,20
"Paris S-G",4,36,107,76.8,13,34.2,0,0
"Reims",1,44,116,75.8,11,28.9,1,16.7
"Rennes",3,40,66,67,14,36.8,1,16.7
"Saint-Étienne",3,77,116,63.5,4,10.5,0,0
"Strasbourg",2,43,89,70.2,14,36.8,0,0
"Troyes",2,53,108,73,9,23.7,0,0
