"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Angers",619,370,59.7738287560582,659,659,43.1,384,99,285,423,631,9
"Bordeaux",642,377,58.7227414330218,741,741,43.6,357,104,253,454,688,19
"Brest",682,400,58.6510263929619,655,655,47.3,369,108,261,469,707,4
"Clermont Foot",622,361,58.0385852090032,665,665,43.8,372,99,273,386,527,9
"Lens",591,359,60.7445008460237,602,602,44.2,360,99,261,455,616,7
"Lille",653,359,54.9770290964778,619,619,49.3,351,111,240,377,672,6
"Lorient",696,412,59.1954022988506,811,811,47.2,405,115,290,412,776,9
"Lyon",632,367,58.0696202531646,614,614,45.4,385,91,294,396,621,17
"Marseille",556,319,57.3741007194245,501,501,46.3,263,65,198,327,437,10
"Metz",711,442,62.1659634317862,649,649,46.2,452,139,313,507,782,11
"Monaco",745,435,58.3892617449664,701,701,46.2,378,103,275,424,487,10
"Montpellier",625,380,60.8,723,723,42.7,363,134,229,356,675,13
"Nantes",685,405,59.1240875912409,774,774,45.6,419,136,283,415,680,9
"Nice",610,369,60.4918032786885,590,590,53.2,392,119,273,441,595,7
"Paris S-G",607,360,59.3080724876442,599,599,48.4,330,106,224,303,437,14
"Reims",615,365,59.349593495935,629,629,45.5,460,154,306,493,753,7
"Rennes",546,318,58.2417582417582,550,550,47.5,347,92,255,315,646,12
"Saint-Étienne",695,397,57.1223021582734,638,638,46.2,398,93,305,452,563,10
"Strasbourg",660,392,59.3939393939394,626,626,46.8,380,93,287,433,563,6
"Troyes",636,351,55.188679245283,625,625,45.6,375,107,268,430,656,8
