"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Angers",55,44,36,88,5,5,426,150,35.2,0.11,0.31,17.9,21,760,539,221,92,68,24
"Bordeaux",91,52,65,153,9,7,513,185,36.1,0.16,0.44,18,19,909,658,251,157,118,39
"Brest",57,49,41,96,4,4,490,166,33.9,0.1,0.31,17.4,16,877,636,241,96,53,43
"Clermont Foot",69,38,44,110,5,5,435,160,36.8,0.14,0.38,16.8,10,777,540,237,117,75,42
"Lens",48,62,31,79,5,4,408,140,34.3,0.11,0.31,18.9,16,698,506,192,79,57,22
"Lille",48,48,24,70,6,6,442,145,32.8,0.09,0.28,18.9,20,766,545,221,79,55,24
"Lorient",63,35,39,99,6,5,459,143,31.2,0.12,0.38,17.6,17,814,567,247,107,69,38
"Lyon",51,66,30,78,8,7,456,165,36.2,0.09,0.25,17.9,14,797,563,234,78,55,23
"Marseille",38,63,27,64,4,4,328,108,32.9,0.1,0.31,18,17,572,396,176,63,44,19
"Metz",69,35,50,117,5,5,558,173,31,0.11,0.36,17.5,18,952,658,294,110,76,34
"Monaco",40,65,25,62,9,8,409,133,32.5,0.07,0.22,18.7,16,718,508,210,70,43,27
"Montpellier",61,49,41,101,6,5,596,209,35.1,0.09,0.26,18.8,19,1062,804,258,107,79,28
"Nantes",48,55,34,81,7,4,468,148,31.6,0.09,0.29,17.5,22,825,572,253,84,57,27
"Nice",36,52,24,60,5,4,429,141,32.9,0.07,0.23,18,15,763,566,197,63,43,20
"Paris S-G",36,90,25,60,3,3,408,139,34.1,0.08,0.23,19.1,12,690,516,174,57,48,9
"Reims",44,43,26,70,7,5,506,155,30.6,0.08,0.25,18.8,22,885,658,227,76,47,29
"Rennes",40,82,27,66,6,5,350,100,28.6,0.1,0.34,17.4,14,619,451,168,68,53,15
"Saint-Étienne",77,42,57,130,8,8,452,181,40,0.14,0.36,16.8,21,824,591,233,134,99,35
"Strasbourg",43,60,31,73,4,4,409,127,31.1,0.09,0.3,17.9,17,718,508,210,73,53,20
"Troyes",53,37,30,81,10,10,452,149,33,0.09,0.28,18.4,23,810,613,197,90,63,27
