"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Angers",44,55,-11,23,23,0,21,32,-11,25,66,9,9,384,123,32,0.08,0.26,18.2,18,671,439,232,71,38,33
"Bordeaux",52,91,-39,25,33,-8,27,58,-31,39,89,4,2,446,145,32.5,0.11,0.33,19.2,16,768,539,229,91,61,30
"Brest",49,57,-8,28,29,-1,21,28,-7,32,80,8,7,394,138,35,0.1,0.3,17.4,12,698,490,208,78,49,29
"Clermont Foot",38,69,-31,22,33,-11,16,36,-20,25,61,3,2,436,134,30.7,0.08,0.25,17.7,10,771,553,218,64,43,21
"Lens",62,48,14,35,20,15,27,28,-1,39,99,5,5,511,183,35.8,0.11,0.3,18.6,14,900,680,220,106,75,31
"Lille",48,48,0,24,22,2,24,26,-2,29,74,5,4,461,150,32.5,0.09,0.27,17.4,15,811,592,219,81,50,31
"Lorient",35,63,-28,20,22,-2,15,41,-26,20,55,3,3,442,146,33,0.07,0.22,19.3,32,758,531,227,60,39,21
"Lyon",66,51,15,42,25,17,24,26,-2,45,109,8,8,546,192,35.2,0.1,0.29,17.1,18,986,745,241,111,83,28
"Marseille",63,38,25,33,22,11,30,16,14,40,101,10,10,489,157,32.1,0.1,0.32,17.8,28,904,662,242,110,75,35
"Metz",35,69,-34,21,31,-10,14,38,-24,24,57,1,1,370,112,30.3,0.09,0.29,20.5,16,634,449,185,55,39,16
"Monaco",65,40,25,38,16,22,27,24,3,45,107,9,9,445,153,34.4,0.12,0.35,17.3,17,779,572,207,107,87,20
"Montpellier",49,61,-12,27,26,1,22,35,-13,31,79,4,3,433,151,34.9,0.1,0.3,19.6,38,736,516,220,85,59,26
"Nantes",55,48,7,33,20,13,22,28,-6,37,90,5,5,420,145,34.5,0.11,0.33,17.2,13,723,498,225,89,62,27
"Nice",52,36,16,27,21,6,25,15,10,35,87,10,8,442,144,32.6,0.1,0.31,16.9,12,789,575,214,94,70,24
"Paris S-G",90,36,54,49,12,37,41,24,17,65,153,8,7,555,202,36.4,0.15,0.4,17.3,29,1018,767,251,159,119,40
"Reims",43,44,-1,25,23,2,18,21,-3,27,69,6,4,389,137,35.2,0.1,0.28,18.5,5,692,498,194,71,46,25
"Rennes",82,40,42,50,13,37,32,27,5,61,142,4,4,548,194,35.4,0.14,0.4,16.1,14,971,712,259,151,120,31
"Saint-Étienne",42,77,-35,24,38,-14,18,39,-21,25,66,5,5,434,141,32.5,0.08,0.26,20,23,749,517,232,65,37,28
"Strasbourg",60,43,17,36,18,18,24,25,-1,40,96,8,6,470,150,31.9,0.11,0.33,16.8,10,810,588,222,98,70,28
"Troyes",37,53,-16,19,19,0,18,34,-16,23,58,7,6,379,120,31.7,0.08,0.24,18.7,9,668,472,196,54,33,21
