"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Angers",811,504,62.1454993834772,839,839,52.2,347,89,258,423,538,11
"Bordeaux",615,377,61.3008130081301,657,657,46,394,122,272,397,641,15
"Brest",637,390,61.2244897959184,640,640,50.8,341,88,253,366,616,4
"Clermont Foot",682,393,57.624633431085,599,599,45.4,395,103,292,475,642,9
"Lens",585,333,56.9230769230769,594,594,41.9,369,119,250,474,613,17
"Lille",653,395,60.490045941807,619,619,49.4,410,101,309,437,601,10
"Lorient",622,388,62.379421221865,597,597,48.6,373,116,257,392,540,9
"Lyon",733,403,54.9795361527967,814,814,39.9,435,147,288,485,629,9
"Marseille",594,351,59.0909090909091,573,573,46.4,414,127,287,404,610,5
"Metz",639,387,60.5633802816901,609,609,45.2,355,96,259,359,504,4
"Monaco",607,360,59.3080724876442,652,652,43.9,407,113,294,506,806,9
"Montpellier",614,384,62.5407166123778,590,590,46.4,376,120,256,411,683,9
"Nantes",695,409,58.8489208633094,676,676,50.7,319,93,226,357,666,10
"Nice",658,386,58.6626139817629,697,697,44.5,372,100,272,381,677,9
"Paris S-G",729,393,53.9094650205761,871,871,43.7,380,127,253,455,571,8
"Reims",589,335,56.8760611205433,594,594,44.6,368,86,282,367,551,9
"Rennes",512,295,57.6171875,530,530,45.8,396,137,259,392,665,11
"Saint-Étienne",737,415,56.3093622795115,736,736,46.1,380,105,275,402,591,16
"Strasbourg",526,284,53.9923954372624,498,498,45.4,348,99,249,406,771,19
"Troyes",590,356,60.3389830508475,586,586,45.7,361,79,282,379,597,4
