"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Angers",711,1615,16296,20089,81.1,7274,8222,88.5,1928,3137,61.5,6606,7616,86.7,18169,1826,477,53,221,727,822,178,94,51.3,24227,659,375,56.9,284,43.1
"Bordeaux",774,1648,15514,19419,79.9,7117,8113,87.7,1591,2794,56.9,6361,7461,85.3,17487,1855,482,42,154,703,802,210,77,52.7,23533,741,418,56.4,323,43.6
"Brest",683,1813,17707,21518,82.3,7633,8629,88.5,1655,2823,58.6,7913,8931,88.6,19645,1805,450,53,111,672,795,205,68,56.2,25656,655,345,52.7,310,47.3
"Clermont Foot",592,1448,15954,19625,81.3,6705,7602,88.2,1717,2922,58.8,7105,8113,87.6,17890,1695,424,35,165,592,739,164,40,50,23897,666,374,56.2,291,43.7
"Lens",654,1332,15865,19558,81.1,7158,8048,88.9,1584,2855,55.5,6615,7570,87.4,17686,1829,452,42,95,587,817,168,43,49.2,23589,603,336,55.7,266,44.1
"Lille",723,1476,14511,18332,79.2,6441,7368,87.4,1573,2892,54.4,6079,7108,85.5,16397,1898,508,24,152,687,807,186,37,49.2,22618,619,314,50.7,305,49.3
"Lorient",755,1625,17424,21134,82.4,7964,8961,88.9,1787,2888,61.9,7033,8038,87.5,19214,1883,501,29,196,710,843,194,37,55.7,25266,811,428,52.8,383,47.2
"Lyon",661,1321,12959,16600,78.1,6027,6920,87.1,1446,2577,56.1,4967,5940,83.6,14782,1742,471,54,163,611,704,177,76,41.2,20987,614,335,54.6,279,45.4
"Marseille",502,1122,12190,15309,79.6,5392,6100,88.4,1376,2495,55.2,5077,5854,86.7,13621,1578,385,67,140,512,614,155,110,38,19076,501,269,53.7,232,46.3
"Metz",732,1742,17036,21004,81.1,7473,8518,87.7,1797,2911,61.7,7165,8261,86.7,18933,2007,536,62,168,780,914,253,64,57.2,25049,650,349,53.7,300,46.2
"Monaco",561,1253,13722,17624,77.9,6079,7035,86.4,1617,2977,54.3,5579,6605,84.5,15744,1830,559,27,187,539,710,151,50,45.8,22109,701,377,53.8,324,46.2
"Montpellier",905,1660,15556,19274,80.7,7168,8076,88.8,1711,2894,59.1,6199,7283,85.1,17407,1825,437,47,186,760,821,203,42,51.9,23521,723,414,57.3,309,42.7
"Nantes",697,1707,17497,21387,81.8,8106,9122,88.9,1610,2792,57.7,7238,8330,86.9,19341,1992,524,32,119,650,903,200,54,56.3,25601,774,421,54.4,353,45.6
"Nice",577,1396,15122,18844,80.2,6434,7302,88.1,1759,3057,57.5,6488,7439,87.2,16936,1839,484,47,182,664,768,168,69,48.4,22944,590,276,46.8,314,53.2
"Paris S-G",700,1090,12815,15650,81.9,6384,7072,90.3,1367,2284,59.9,4614,5369,85.9,14026,1540,427,39,185,549,515,155,84,36.6,19595,599,309,51.6,290,48.4
"Reims",749,1614,17907,21846,82,7795,8790,88.7,2004,3245,61.8,7553,8589,87.9,19896,1916,492,25,216,827,869,210,34,57.8,25824,629,343,54.5,286,45.5
"Rennes",560,1172,13060,16756,77.9,5824,6687,87.1,1620,2929,55.3,5106,6004,85,14814,1884,470,40,198,691,777,178,58,43.7,20623,550,289,52.5,261,47.5
"Saint-Étienne",571,1445,15123,19112,79.1,6920,7897,87.6,1648,2864,57.5,6014,7126,84.4,17052,1976,481,66,131,575,945,162,84,50.7,23519,638,343,53.8,296,46.4
"Strasbourg",694,1334,15468,19277,80.2,6600,7602,86.8,1815,3076,59,6617,7611,86.9,17386,1846,527,34,159,620,722,190,45,50.5,23477,626,333,53.2,293,46.8
"Troyes",638,1739,17526,21179,82.8,7105,8016,88.6,1923,3069,62.7,7972,8974,88.8,19368,1753,459,67,165,692,768,202,58,55.8,25111,626,340,54.3,285,45.5
