"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Angers",44,91,73.5,11,28.9,0,0
"Bordeaux",52,97,66.4,12,31.6,2,50
"Brest",49,97,71.2,7,18.4,1,12.5
"Clermont Foot",38,100,73.7,12,31.6,1,33.3
"Lens",62,128,69.7,8,21.1,0,0
"Lille",48,109,71.6,9,23.7,1,20
"Lorient",35,114,78.5,13,34.2,0,0
"Lyon",66,136,71,5,13.2,0,0
"Marseille",63,106,68.3,8,21.1,0,0
"Metz",35,80,69.9,16,42.1,0,0
"Monaco",65,100,65.4,10,26.3,0,0
"Montpellier",49,106,70.3,12,31.6,1,25
"Nantes",55,97,66.7,10,26.3,0,0
"Nice",52,100,71.1,13,34.2,0,0
"Paris S-G",90,121,60.5,5,13.2,1,12.5
"Reims",43,99,72.7,13,34.2,2,33.3
"Rennes",82,117,60.6,5,13.2,0,0
"Saint-Étienne",42,105,74.7,9,23.7,0,0
"Strasbourg",60,100,65.6,7,18.4,1,14.3
"Troyes",37,91,75.6,9,23.7,1,14.3
