"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",2,29,54,67.5,18,47.4,1,33.3
"Aston Villa",2,61,115,65.3,8,21.1,1,50
"Bournemouth",3,67,127,68.6,9,23.7,1,14.3
"Brentford",2,65,119,65.8,7,18.4,0,0
"Brighton",2,62,105,66.1,6,15.8,0,0
"Burnley",2,78,168,70.5,2,5.3,1,14.3
"Chelsea",2,63,125,67.7,8,21.1,1,25
"Crystal Palace",3,58,98,64.3,10,26.3,0,0
"Everton",1,51,117,73.9,13,34.2,0,0
"Fulham",1,61,133,72.1,10,26.3,0,0
"Liverpool",2,41,108,72.8,10,26.3,0,0
"Luton Town",2,85,142,63.7,2,5.3,0,0
"Manchester City",2,34,76,71.6,13,34.2,0,0
"Manchester Utd",1,58,146,74.9,9,23.7,0,0
"Newcastle Utd",3,62,133,70.3,10,26.3,1,20
"Nott'ham Forest",3,67,98,61.3,4,10.5,0,0
"Sheffield Utd",2,104,166,62.4,1,2.6,0,0
"Tottenham",1,61,109,67.7,7,18.4,0,0
"West Ham",2,74,169,72.6,5,13.2,2,20
"Wolves",2,65,139,71.9,5,13.2,0,0
