"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",91,133,63,5,13.2,0,0
"Aston Villa",76,114,61.3,6,15.8,0,0
"Bournemouth",54,125,70.6,7,18.4,0,0
"Brentford",56,108,67.3,8,21.1,0,0
"Brighton",55,153,75.5,10,26.3,1,16.7
"Burnley",41,100,72.9,12,31.6,0,0
"Chelsea",77,129,68,6,15.8,1,8.3
"Crystal Palace",57,110,68.1,7,18.4,0,0
"Everton",40,114,75.5,12,31.6,1,33.3
"Fulham",55,123,70.1,13,34.2,0,0
"Liverpool",86,189,70.5,3,7.9,2,25
"Luton Town",52,90,66.2,5,13.2,0,0
"Manchester City",96,179,68.1,3,7.9,0,0
"Manchester Utd",57,131,73,9,23.7,1,14.3
"Newcastle Utd",85,121,62.4,5,13.2,1,11.1
"Nott'ham Forest",49,95,66.7,10,26.3,0,0
"Sheffield Utd",35,91,75.4,15,39.5,0,0
"Tottenham",74,140,65.6,4,10.5,0,0
"West Ham",60,92,62.9,8,21.1,1,20
"Wolves",50,110,70.7,9,23.7,0,0
