"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",91,29,62,48,16,32,43,13,30,62,148,10,10,647,209,32.3,0.12,0.36,15.8,6,1185,926,259,152,104,48
"Aston Villa",76,61,15,48,28,20,28,33,-5,55,127,4,4,511,182,35.6,0.13,0.37,16,15,912,670,242,129,92,37
"Bournemouth",54,67,-13,27,28,-1,27,39,-12,39,91,3,2,539,175,32.5,0.09,0.29,16.7,18,952,700,252,83,62,21
"Brentford",56,65,-9,29,34,-5,27,31,-4,38,92,3,3,470,159,33.8,0.11,0.32,15.6,17,804,557,247,81,57,24
"Brighton",55,62,-7,30,27,3,25,35,-10,36,86,6,5,555,198,35.7,0.08,0.23,16.7,11,1010,749,261,89,59,30
"Burnley",41,78,-37,19,43,-24,22,35,-13,30,70,3,3,430,137,31.9,0.09,0.27,17.7,13,757,549,208,74,55,19
"Chelsea",77,63,14,44,26,18,33,37,-4,51,127,12,11,537,194,36.1,0.12,0.34,17.3,22,980,720,260,133,89,44
"Crystal Palace",57,58,-1,37,26,11,20,32,-12,43,99,4,4,452,162,35.8,0.12,0.32,17.2,20,794,554,240,103,85,18
"Everton",40,51,-11,22,18,4,18,33,-15,17,57,3,2,504,152,30.2,0.08,0.25,16.7,14,854,592,262,60,33,27
"Fulham",55,61,-6,31,24,7,24,37,-13,40,94,2,2,499,175,35.1,0.1,0.3,17,14,877,652,225,95,73,22
"Liverpool",86,41,45,49,17,32,37,24,13,60,140,9,6,781,263,33.7,0.09,0.28,17.2,18,1388,1045,343,131,96,35
"Luton Town",52,85,-33,28,37,-9,24,48,-24,33,82,5,5,427,134,31.4,0.1,0.33,16.3,11,749,504,245,81,46,35
"Manchester City",96,34,62,51,16,35,45,18,27,69,163,10,9,683,264,38.7,0.12,0.32,17.1,25,1259,991,268,169,125,44
"Manchester Utd",57,58,-1,31,28,3,26,30,-4,36,93,7,6,543,182,33.5,0.09,0.28,17.4,15,989,743,246,98,68,30
"Newcastle Utd",85,62,23,49,22,27,36,40,-4,55,138,9,8,542,196,36.2,0.14,0.38,15.7,9,983,713,270,144,90,54
"Nott'ham Forest",49,67,-18,27,30,-3,22,37,-15,43,92,1,1,450,143,31.8,0.11,0.34,17.2,7,783,566,217,90,70,20
"Sheffield Utd",35,104,-69,19,57,-38,16,47,-31,18,49,5,5,360,117,32.5,0.07,0.22,17.4,8,601,425,176,48,32,16
"Tottenham",74,61,13,38,27,11,36,34,2,58,127,2,2,582,207,35.6,0.12,0.32,16.5,11,1053,818,235,122,96,26
"West Ham",60,74,-14,31,28,3,29,46,-17,40,98,5,4,445,146,32.8,0.12,0.37,16.2,17,782,518,264,104,70,34
"Wolves",50,65,-15,26,30,-4,24,35,-11,36,83,4,4,425,153,36,0.1,0.28,16.7,12,743,519,224,81,52,29
