"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",25,821,2106,19094,22558,84.6,9719,10643,91.3,1178,2162,54.5,7809,8765,89.1,20941,1530,443,104,65,670,560,265,87,58.2,26493,671,283,42.2,304,45.3
"Aston Villa",31,775,1451,16133,19363,83.3,7110,7878,90.3,1330,2368,56.2,7381,8273,89.2,17499,1817,628,80,95,651,613,231,47,53.1,23058,757,345,45.6,315,41.6
"Bournemouth",30,709,1314,11899,15920,74.7,4976,5868,84.8,1393,2964,47,5270,6214,84.8,14065,1799,419,48,91,709,774,235,56,44.4,20700,872,382,43.8,414,47.5
"Brentford",28,505,1283,12551,16818,74.6,5616,6628,84.7,1382,2776,49.8,5236,6432,81.4,14996,1752,464,70,113,706,683,184,70,45.2,21227,577,243,42.1,269,46.6
"Brighton",30,864,1780,21810,25029,87.1,11574,12473,92.8,1296,2164,59.9,8261,9125,90.5,23334,1611,511,62,76,671,541,206,84,59.8,29112,715,297,41.5,322,45
"Burnley",31,727,1181,13937,17959,77.6,6311,7267,86.8,1324,2755,48.1,6017,7042,85.4,16189,1694,445,49,77,550,670,180,76,47.4,22181,699,300,42.9,329,47.1
"Chelsea",32,873,1615,20039,23364,85.8,10006,10877,92,1365,2328,58.6,8176,9060,90.2,21587,1692,496,116,101,558,611,202,85,58.6,27725,869,398,45.8,365,42
"Crystal Palace",26,506,1176,12915,16754,77.1,6040,6920,87.3,1204,2608,46.2,5338,6287,84.9,14948,1734,484,52,97,583,721,178,72,42.3,21367,737,341,46.3,320,43.4
"Everton",26,495,1129,11349,15514,73.2,5198,6091,85.3,1469,3057,48.1,4386,5405,81.1,13704,1721,409,45,78,752,768,181,89,40.8,20053,564,250,44.3,267,47.3
"Fulham",25,670,1467,16311,20237,80.6,7028,7907,88.9,1586,2853,55.6,7277,8347,87.2,18414,1772,464,58,118,736,696,212,51,50.6,24318,550,271,49.3,232,42.2
"Liverpool",30,924,2110,20376,24379,83.6,9656,10641,90.7,1637,2814,58.2,8627,9763,88.4,22490,1789,440,102,145,817,755,287,100,61.3,28764,737,331,44.9,331,44.9
"Luton Town",28,675,1113,11048,15099,73.2,4969,5784,85.9,1289,2879,44.8,4443,5431,81.8,13156,1876,498,22,111,841,703,203,67,42.4,19656,771,354,45.9,331,42.9
"Manchester City",25,1127,2060,24616,27758,88.7,12895,13721,94,1652,2498,66.1,9449,10306,91.7,26136,1580,460,85,133,700,604,286,42,65.2,31414,731,377,51.6,282,38.6
"Manchester Utd",31,759,1479,15785,19538,80.8,7892,8866,89,1355,2517,53.8,5965,6943,85.9,17784,1663,371,73,99,594,643,224,91,50.6,23997,697,311,44.6,303,43.5
"Newcastle Utd",32,737,1557,16117,19852,81.2,7681,8623,89.1,1358,2504,54.2,6722,7757,86.7,18026,1767,515,85,133,648,679,192,59,52.2,24004,730,355,48.6,288,39.5
"Nott'ham Forest",33,604,1140,11873,15673,75.8,5506,6412,85.9,1262,2490,50.7,4763,5857,81.3,13969,1627,409,53,83,595,661,148,77,40.6,20118,603,275,45.6,268,44.4
"Sheffield Utd",35,343,884,9521,13498,70.5,4486,5347,83.9,1044,2630,39.7,3733,4691,79.6,11753,1681,380,25,52,428,666,141,64,35.8,17940,578,250,43.3,285,49.3
"Tottenham",29,957,2107,20649,24197,85.3,10630,11617,91.5,1089,1905,57.2,8361,9345,89.5,22167,1947,636,91,59,710,723,234,83,61.6,28529,812,359,44.2,363,44.7
"West Ham",26,556,1207,12568,16373,76.8,6043,6856,88.1,1330,2718,48.9,4817,5751,83.8,14568,1734,429,60,158,661,721,165,71,41.1,20875,745,353,47.4,321,43.1
"Wolves",27,671,1180,15484,19175,80.8,7694,8577,89.7,1218,2527,48.2,6100,7016,86.9,17409,1688,439,49,125,578,684,156,78,48.9,23485,823,415,50.4,324,39.4
