"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",534,938,12735,16241,78.4,6176,6946,88.9,1113,2437,45.7,5121,5958,86,14590,1591,459,39,72,476,562,113,60,41.8,20292,612,272,44.4,271,44.3
"Aston Villa",640,1255,14216,17430,81.6,7055,7781,90.7,1190,2221,53.6,5620,6445,87.2,15821,1442,431,124,83,542,508,161,167,46.9,21376,624,290,46.5,260,41.7
"Bournemouth",720,1500,15916,20032,79.5,7889,8921,88.4,1395,2722,51.2,6246,7331,85.2,18073,1909,544,65,71,649,743,214,50,55.6,24614,774,363,46.9,325,42
"Brentford",847,1585,16393,20488,80,8497,9480,89.6,1287,2632,48.9,6112,7202,84.9,18673,1759,439,47,90,764,731,218,56,54.8,24878,749,380,50.7,317,42.3
"Brighton",651,1175,13433,16750,80.2,6362,7062,90.1,1136,2396,47.4,5618,6430,87.4,15107,1572,466,50,72,526,560,167,71,40.2,20830,739,351,47.5,307,41.5
"Burnley",711,1501,16155,20216,79.9,7590,8614,88.1,1384,2735,50.6,6753,7790,86.7,18373,1748,470,76,98,700,696,242,95,52.6,24357,669,300,44.8,284,42.5
"Chelsea",727,1368,13051,16487,79.2,6231,7079,88,1273,2394,53.2,5230,6113,85.6,14718,1699,495,56,107,683,645,190,70,41.4,20871,722,307,42.5,323,44.7
"Crystal Palace",679,1713,19197,23229,82.6,9181,10206,90,1479,2729,54.2,8090,9172,88.2,21322,1833,514,65,132,769,781,197,74,57.7,27523,690,272,39.4,337,48.8
"Everton",790,1642,18660,22807,81.8,8781,9822,89.4,1567,2941,53.3,7837,8928,87.8,20775,1970,524,53,140,716,815,241,62,59.2,27206,790,354,44.8,347,43.9
"Fulham",684,1533,16233,19973,81.3,7779,8725,89.2,1315,2484,52.9,6745,7729,87.3,18262,1612,398,73,109,597,651,188,99,49.4,24273,758,332,43.8,346,45.6
"Liverpool",559,1154,11775,15575,75.6,5764,6650,86.7,1067,2408,44.3,4556,5521,82.5,13687,1813,538,51,80,477,635,150,75,38.7,20456,861,427,49.6,341,39.6
"Luton Town",723,1495,16911,20927,80.8,7967,8899,89.5,1417,2857,49.6,7030,8054,87.3,19023,1855,478,96,85,698,796,226,49,57.6,25426,697,317,45.5,299,42.9
"Manchester City",470,824,11864,14869,79.8,5451,6120,89.1,1151,2216,51.9,4945,5662,87.3,13414,1373,319,48,82,399,476,129,82,34.8,18890,499,236,47.3,222,44.5
"Manchester Utd",862,1578,15396,19160,80.4,7060,7900,89.4,1418,2622,54.1,6538,7617,85.8,17369,1739,465,66,116,780,631,279,52,49.4,23628,805,366,45.5,349,43.4
"Newcastle Utd",699,1343,14538,18229,79.8,7222,7993,90.4,1240,2583,48,5704,6668,85.5,16462,1713,424,73,86,588,665,195,54,47.8,22533,746,379,50.8,302,40.5
"Nott'ham Forest",812,1901,19163,23038,83.2,9241,10230,90.3,1469,2629,55.9,8010,9099,88,21232,1768,476,51,128,799,715,245,38,59.4,27160,685,282,41.2,325,47.4
"Sheffield Utd",967,1974,20549,24573,83.6,9837,10885,90.4,1666,2791,59.7,8504,9681,87.8,22704,1800,462,103,129,845,793,269,69,64.2,28726,709,336,47.4,299,42.2
"Tottenham",526,1103,11600,15111,76.8,5145,5896,87.3,1510,2763,54.7,4665,5511,84.6,13212,1774,481,68,147,661,658,236,125,38.4,19605,763,331,43.4,360,47.2
"West Ham",963,2015,19795,23658,83.7,9922,10963,90.5,1393,2508,55.5,7956,9023,88.2,21913,1691,429,69,106,758,691,226,54,58.9,27970,667,300,45,307,46
"Wolves",734,1742,16495,20265,81.4,7880,8824,89.3,1291,2449,52.7,6851,7876,87,18405,1813,528,56,76,731,724,224,47,51.1,24402,679,295,43.4,312,45.9
