"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",679,376,55.3755522827688,587,587,51.8,492,220,272,299,875,23
"Aston Villa",731,435,59.5075239398085,660,660,47.7,413,147,266,304,751,20
"Bournemouth",800,480,60,796,796,52,476,161,315,264,813,14
"Brentford",540,329,60.9259259259259,512,512,52.5,444,125,319,293,916,17
"Brighton",664,396,59.6385542168675,619,619,52,454,165,289,355,733,12
"Burnley",625,387,61.92,629,629,52.3,413,111,302,292,691,12
"Chelsea",735,438,59.5918367346939,763,763,47.8,458,147,311,374,708,21
"Crystal Palace",746,446,59.7855227882038,661,661,48.4,452,133,319,301,695,17
"Everton",587,335,57.0698466780239,517,517,51.6,423,130,293,262,873,18
"Fulham",557,333,59.7845601436266,503,503,46.1,505,124,381,321,815,16
"Liverpool",738,438,59.349593495935,662,662,50,553,224,329,378,1060,18
"Luton Town",716,418,58.3798882681564,685,685,48.3,469,140,329,269,839,18
"Manchester City",638,335,52.5078369905956,659,659,42.8,537,207,330,314,847,13
"Manchester Utd",645,373,57.8294573643411,614,614,49.3,489,172,317,378,713,18
"Newcastle Utd",688,409,59.4476744186046,643,643,44.8,481,152,329,342,735,24
"Nott'ham Forest",554,341,61.5523465703971,543,543,49.4,391,113,278,289,747,12
"Sheffield Utd",608,357,58.7171052631579,535,535,53.3,412,106,306,275,610,9
"Tottenham",738,411,55.6910569105691,722,722,50.3,598,170,428,416,783,16
"West Ham",718,406,56.5459610027855,674,674,47.6,451,108,343,253,766,15
"Wolves",713,431,60.4488078541374,739,739,43.8,394,107,287,329,613,16
