"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",64,2,1,3,391
"Aston Villa",94,2,0,2,412
"Bournemouth",79,3,0,3,507
"Brentford",89,2,0,2,385
"Brighton",90,3,0,3,414
"Burnley",77,7,3,10,429
"Chelsea",109,4,2,6,446
"Crystal Palace",73,2,2,4,457
"Everton",82,1,1,2,457
"Fulham",84,4,3,7,384
"Liverpool",69,5,2,7,463
"Luton Town",71,0,0,0,443
"Manchester City",53,2,1,3,289
"Manchester Utd",83,1,1,2,401
"Newcastle Utd",79,1,1,2,386
"Nott'ham Forest",82,3,2,5,428
"Sheffield Utd",101,5,3,8,423
"Tottenham",92,4,2,6,425
"West Ham",82,3,3,6,390
"Wolves",102,4,2,6,476
