"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",29,91,20,48,3,2,320,80,25,0.08,0.33,18.3,12,531,376,155,44,24,20
"Aston Villa",61,76,45,102,2,1,453,171,37.7,0.12,0.33,15.7,13,820,586,234,102,70,32
"Bournemouth",67,54,44,110,7,6,527,187,35.5,0.11,0.32,16.6,9,934,681,253,112,82,30
"Brentford",65,56,50,115,2,2,546,182,33.3,0.12,0.35,17.8,10,980,778,202,119,94,25
"Brighton",62,55,42,102,6,6,462,159,34.4,0.12,0.34,16.3,15,814,599,215,95,68,27
"Burnley",78,41,54,129,7,6,608,237,39,0.11,0.29,16.1,16,1095,815,280,128,89,39
"Chelsea",63,77,43,103,5,3,551,182,33,0.1,0.31,16.9,25,967,669,298,95,69,26
"Crystal Palace",58,57,46,102,3,3,457,151,33,0.12,0.35,15.8,8,832,607,225,104,84,20
"Everton",51,40,30,78,8,8,530,157,29.6,0.08,0.25,16.9,12,951,695,256,81,56,25
"Fulham",61,55,36,93,8,8,515,182,35.3,0.1,0.27,16.6,16,916,660,256,99,65,34
"Liverpool",41,86,27,66,1,1,413,146,35.4,0.09,0.26,17.3,17,720,481,239,61,37,24
"Luton Town",85,52,57,138,4,4,656,219,33.4,0.12,0.35,16.6,18,1146,853,293,133,94,39
"Manchester City",34,96,23,56,3,3,291,106,36.4,0.1,0.28,16.2,6,495,363,132,56,41,15
"Manchester Utd",58,57,39,96,7,7,660,196,29.7,0.08,0.26,16.7,17,1179,846,333,99,60,39
"Newcastle Utd",62,85,47,108,5,4,529,190,35.9,0.11,0.3,16.9,13,932,703,229,109,79,30
"Nott'ham Forest",67,49,48,113,4,4,505,159,31.5,0.12,0.38,17.1,21,897,680,217,113,83,30
"Sheffield Utd",104,35,75,172,7,5,671,258,38.5,0.14,0.36,16.6,14,1210,890,320,175,130,45
"Tottenham",61,74,39,97,7,7,478,160,33.5,0.11,0.32,15.9,12,835,565,270,103,62,41
"West Ham",74,60,51,121,10,8,642,231,36,0.1,0.27,17.5,16,1192,927,265,126,87,39
"Wolves",65,50,43,107,8,8,568,195,34.3,0.1,0.29,16.6,13,1009,737,272,113,80,33
