"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Emil Audero","Sampdoria","ITA","GK",NA,25,2,6,17,39,82,71.9,4,16,2,28.6
"Marco Carnesecchi","Cremonese","ITA","GK",NA,22,4,9,14,47,107,70.6,4,14.8,0,0
"Michele Cerofolini","Fiorentina","ITA","GK",NA,23,4,1,0,3,8,81.8,2,40,0,0
"Andrea Consigli","Sassuolo","ITA","GK",NA,35,12,8,15,55,64,55.6,9,25.7,0,0
"Michele Di Gregorio","Monza","ITA","GK",NA,25,14,10,13,49,119,72.5,10,27,0,0
"Bartłomiej Drągowski","Spezia","POL","GK",NA,24,6,10,18,54,112,69.5,6,17.6,1,20
"Wladimiro Falcone","Lecce","ITA","GK",NA,27,8,12,18,46,112,73.7,6,15.8,1,16.7
"Samir Handanović","Inter","SVN","GK",NA,38,9,0,5,18,35,67.3,4,28.6,0,0
"Mike Maignan","Milan","FRA","GK",NA,27,11,7,4,21,40,69.4,8,36.4,1,33.3
"Alex Meret","Napoli","ITA","GK",NA,25,26,5,3,24,66,74.7,16,47.1,1,50
"Vanja Milinković-Savić","Torino","SRB","GK",NA,25,14,11,13,41,95,73.5,11,28.9,0,0
"Lorenzo Montipò","Hellas Verona","ITA","GK",NA,26,7,9,21,59,124,68,5,13.5,1,50
"Juan Musso","Atalanta","ARG","GK",NA,28,13,4,7,27,64,71.9,7,29.2,0,0
"Guillermo Ochoa","Salernitana","MEX","GK",NA,37,4,10,6,33,71,71.4,4,20,1,25
"André Onana","Inter","CMR","GK",NA,26,14,3,7,24,61,73.5,8,33.3,0,0
"Rui Patrício","Roma","POR","GK",NA,34,17,8,10,35,73,69.4,13,37.1,1,33.3
"Gianluca Pegolo","Sassuolo","ITA","GK",NA,41,0,1,1,3,3,66.7,0,0,0,0
"Mattia Perin","Juventus","ITA","GK",NA,29,5,3,2,7,32,85,6,60,1,50
"Ivan Provedel","Lazio","ITA","GK",NA,28,21,8,8,30,99,77.3,21,56.8,0,0
"Ionuț Radu","Cremonese","ROU","GK",NA,25,0,3,6,19,45,75,1,11.1,0,0
"Nicola Ravaglia","Sampdoria","ITA","GK",NA,33,0,3,6,23,41,67.2,0,0,0,0
"Luigi Sepe","Salernitana","ITA","GK",NA,31,4,5,8,27,57,73.6,3,17.6,3,42.9
"Marco Silvestri","Udinese","ITA","GK",NA,31,11,13,14,48,91,69.3,10,26.3,0,0
"Łukasz Skorupski","Bologna","POL","GK",NA,31,13,12,12,49,113,73.9,7,18.9,2,22.2
"Marco Sportiello","Atalanta","ITA","GK",NA,30,6,3,5,21,43,68.8,2,14.3,0,0
"Wojciech Szczęsny","Juventus","POL","GK",NA,32,17,3,8,26,67,75.3,14,50,0,0
"Ciprian Tătărușanu","Milan","ROU","GK",NA,36,9,3,4,22,40,67.2,4,25,0,0
"Pietro Terracciano","Fiorentina","ITA","GK",NA,32,9,8,12,38,59,66.7,5,17.2,1,14.3
"Martin Turk","Sampdoria","SVN","GK",NA,18,1,1,2,9,21,73.3,0,0,0,0
"Guglielmo Vicario","Empoli","ITA","GK",NA,25,9,12,10,39,95,73.9,7,22.6,1,20
"Jeroen Zoet","Spezia","NED","GK",NA,31,0,3,1,4,9,76.9,0,0,0,0
