"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Abdelhamid Sabiri","Sampdoria","MAR","MF","FW",25,1996,18,1069,59,31.3,12,75,6,6,28,0.5,6,20,2115,110000
"Abdou Harroui","Sassuolo","NED","MF",NA,24,1998,23,647,28,18.9,5,66,1,18,18,1.35,5,9,2308,120000
"Adam Marušić","Lazio","MNE","DF",NA,29,1992,33,2760,84,80.7,31,86,23,2,40,1.91,47,25,32115,1670000
"Adam Masina","Udinese","MAR","DF",NA,28,1994,14,789,56,23.1,8,82,5,6,22,1.07,12,14,22115,1150000
"Adama Soumaoro","Bologna","FRA","DF",NA,30,1992,23,1867,81,54.6,22,84,18,1,25,1.39,28,25,26731,1390000
"Ademola Lookman","Atalanta","NGA","FW","MF",24,1997,31,1729,56,50.6,20,73,3,11,25,1.65,38,23,44423,2310000
"Adolfo Gaich","Hellas Verona","ARG","FW",NA,23,1999,16,726,45,21.2,8,67,1,8,24,1.06,7,13,23654,1230000
"Adrien Rabiot","Juventus","FRA","MF",NA,27,1995,32,2748,86,80.4,31,88,27,1,24,1.91,47,27,172500,8970000
"Adrien Tameze","Hellas Verona","CMR","MF",NA,28,1994,37,3031,82,88.6,35,85,25,2,37,0.89,27,54,12308,640000
"Agustín Álvarez Martínez","Sassuolo","URU","FW","MF",21,2001,22,368,17,10.8,1,53,0,21,15,0.86,6,9,24615,1280000
"Ajdin Hrustic","Hellas Verona","AUS","MF",NA,26,1996,6,226,38,6.6,3,61,0,3,15,0.17,2,5,7308,380000
"Alberto Grassi","Empoli","ITA","MF",NA,27,1995,25,1194,48,34.9,14,72,5,11,17,1.12,17,16,32115,1670000
"Albin Ekdal","Spezia","SWE","MF",NA,33,1989,31,1734,56,50.7,18,79,8,13,24,0.97,14,29,28462,1480000
"Aleksa Terzić","Fiorentina","SRB","DF",NA,22,1999,22,935,43,27.3,8,85,5,14,18,1.32,16,8,7308,380000
"Aleksei Miranchuk","Torino","RUS","MF",NA,26,1995,29,2089,72,61.1,24,82,12,5,26,1.38,29,24,53462,2780000
"Alessandro Bastoni","Inter","ITA","DF",NA,23,1999,29,2157,74,63.1,26,80,16,3,25,1.9,42,25,99808,5190000
"Alessandro Bianco","Fiorentina","ITA","MF",NA,19,2002,7,153,22,4.5,2,54,0,5,9,1.71,3,1,3654,190000
"Alessandro Buongiorno","Torino","ITA","DF",NA,23,1999,34,2721,80,79.6,30,85,24,4,39,1.41,35,30,7885,410000
"Alessandro Florenzi","Milan","ITA","DF",NA,31,1991,6,203,34,5.9,2,73,1,4,14,1.33,3,1,71154,3700000
"Alessandro Tuia","Lecce","ITA","DF",NA,32,1990,7,509,73,14.9,6,82,4,1,18,0.57,2,6,14231,740000
"Alessandro Zanoli","Sampdoria","ITA","DF",NA,21,2000,22,1540,70,45,16,86,12,6,28,0.45,13,34,14231,740000
"Alessio Romagnoli","Lazio","ITA","DF",NA,27,1995,34,2922,86,85.4,33,88,30,1,34,1.82,49,28,106923,5560000
"Alessio Zerbin","Napoli","ITA","FW",NA,23,1999,10,198,20,5.8,2,62,0,8,9,2.5,5,3,6346,330000
"Alex Ferrari","Sampdoria","ITA","DF",NA,28,1994,12,868,72,25.4,10,83,7,2,20,0.17,4,18,14231,740000
"Alex Ferrari","Cremonese","ITA","DF",NA,28,1994,16,1007,63,29.4,13,74,5,3,15,0.88,10,21,14231,740000
"Alex Sandro","Juventus","BRA","DF",NA,31,1991,25,1787,71,52.3,21,82,16,4,15,1.92,35,20,213654,11110000
"Alexis Blin","Lecce","FRA","MF",NA,25,1996,35,2376,68,69.5,26,80,13,9,32,1,22,29,12308,640000
"Alexis Saelemaekers","Milan","BEL","FW","DF",23,1999,30,1403,47,41,14,67,0,16,29,1.7,21,16,24615,1280000
"Alfred Duncan","Fiorentina","GHA","MF",NA,29,1993,25,1103,44,32.3,13,66,2,12,20,1.56,17,10,46346,2410000
"Amir Rrahmani","Napoli","KVX","DF",NA,28,1994,29,2448,84,71.6,27,89,25,2,23,2.31,56,22,44423,2310000
"Andrea Barberis","Monza","ITA","MF",NA,28,1993,9,338,38,9.9,3,75,2,6,19,1.11,4,9,17115,890000
"Andrea Belotti","Roma","ITA","FW",NA,28,1993,31,1146,37,33.5,11,70,2,20,19,1.58,19,17,85385,4440000
"Andrea Cambiaso","Bologna","ITA","DF",NA,22,2000,32,2170,68,63.5,25,81,17,7,19,1.38,30,28,35577,1850000
"Andrea Carboni","Monza","ITA","DF",NA,21,2001,4,167,42,4.9,1,90,1,3,26,0,2,7,17885,930000
"Andrea Colpani","Monza","ITA","MF",NA,23,1999,27,948,35,27.7,10,61,0,17,20,1.22,16,12,3269,170000
"Andrea Petagna","Monza","ITA","FW",NA,27,1995,31,1663,54,48.6,19,70,2,12,27,1.23,23,32,64038,3330000
