"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Oliver Abildgaard","Hellas Verona","DEN","MF",NA,26,10,6,60,16,16,43.8,7,1,6,5,17,0
"Tammy Abraham","Roma","ENG","FW",NA,24,17,10,58.8235294117647,16,16,18.8,10,4,6,3,14,0
"Christian Acella","Cremonese","ITA","MF",NA,20,1,0,0,2,2,0,0,0,0,0,0,0
"Francesco Acerbi","Inter","ITA","DF",NA,34,33,19,57.5757575757576,27,27,74.1,25,18,7,41,85,2
"Yacine Adli","Milan","FRA","MF","FW",22,6,3,50,2,2,100,2,0,2,1,1,0
"Michel Aebischer","Bologna","SUI","FW","MF",25,12,6,50,18,18,11.1,14,2,12,7,9,0
"Felix Afena-Gyan","Cremonese","GHA","FW","MF",19,7,3,42.8571428571429,10,10,20,5,1,4,1,6,0
"Kevin Agudelo","Spezia","COL","MF","FW",23,71,38,53.5211267605634,59,59,42.4,39,5,34,10,6,0
"Ola Aina","Torino","NGA","DF",NA,25,17,13,76.4705882352941,15,15,60,12,2,10,11,26,0
"Emanuel Aiwum","Cremonese","AUT","DF",NA,21,55,34,61.8181818181818,47,47,70.2,28,16,12,25,52,3
"Jean-Daniel Akpa-Akpro","Empoli","CIV","MF","FW",29,53,37,69.811320754717,42,42,54.8,35,4,31,13,27,0
"Luis Alberto","Lazio","ESP","MF",NA,29,49,29,59.1836734693878,72,72,31.9,35,6,29,9,4,0
"Agustín Álvarez Martínez","Sassuolo","URU","FW","MF",21,6,3,50,4,4,25,5,1,4,3,3,0
"Kelvin Amian","Spezia","FRA","DF",NA,24,54,32,59.2592592592593,31,31,77.4,34,12,22,22,87,1
"Bruno Amione","Hellas Verona","ARG","DF",NA,20,1,1,100,2,2,50,1,0,1,0,4,0
"Bruno Amione","Sampdoria","ARG","DF",NA,20,50,33,66,43,43,44.2,26,11,15,25,62,1
"Ethan Ampadu","Spezia","WAL","DF","MF",21,66,37,56.0606060606061,41,41,41.5,48,23,25,36,98,0
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,25,39,24,61.5384615384615,29,29,55.2,23,5,18,21,18,2
"Felipe Anderson","Lazio","BRA","FW",NA,29,80,50,62.5,88,88,35.2,58,6,52,31,27,0
"Janis Antiste","Sassuolo","FRA","FW",NA,19,1,0,0,1,1,100,0,0,0,0,0,0
"Marcos Antônio","Lazio","BRA","MF",NA,22,9,6,66.6666666666667,20,20,45,7,2,5,11,18,0
"Valentin Antov","Monza","BUL","DF",NA,21,6,5,83.3333333333333,5,5,20,5,4,1,4,14,1
"Marko Arnautović","Bologna","AUT","FW",NA,33,9,6,66.6666666666667,6,6,16.7,11,1,10,2,10,0
"Tolgay Arslan","Udinese","GER","MF",NA,31,29,18,62.0689655172414,39,39,35.9,19,0,19,12,9,1
"Santiago Ascacíbar","Cremonese","ARG","MF",NA,25,29,14,48.2758620689655,35,35,40,14,2,12,13,11,0
"Kristoffer Askildsen","Lecce","NOR","MF",NA,21,7,3,42.8571428571429,10,10,40,15,4,11,11,6,0
"Kristjan Asllani","Inter","ALB","MF",NA,20,11,5,45.4545454545455,10,10,70,3,1,2,6,4,0
"Emil Audero","Sampdoria","ITA","GK",NA,25,0,0,NA,2,2,0,0,0,0,0,7,1
"Tommaso Augello","Sampdoria","ITA","DF",NA,27,17,14,82.3529411764706,20,20,45,23,7,16,17,61,1
"Carlos Augusto","Monza","BRA","DF",NA,23,73,38,52.0547945205479,54,54,61.1,24,6,18,24,85,1
"Kaan Ayhan","Sassuolo","TUR","DF",NA,27,10,4,40,7,7,100,5,4,1,5,26,1
"Jaime Báez","Cremonese","URU","DF",NA,27,4,2,50,6,6,50,0,0,0,0,2,1
"Nedim Bajrami","Empoli","ALB","MF","FW",23,8,4,50,6,6,66.7,5,0,5,7,4,0
"Nedim Bajrami","Sassuolo","ALB","FW","MF",23,12,7,58.3333333333333,11,11,45.5,9,1,8,7,6,0
"Tiemoué Bakayoko","Milan","FRA","MF",NA,27,5,5,100,3,3,100,0,0,0,0,0,1
"Tommaso Baldanzi","Empoli","ITA","MF",NA,19,25,12,48,32,32,21.9,21,1,20,2,5,0
"Fodé Ballo-Touré","Milan","SEN","DF",NA,25,14,9,64.2857142857143,10,10,70,11,3,8,2,3,0
