"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Sabit Abdulai","Getafe","GHA","MF",NA,21,1,0,0,0,2
"Marcos Acuña","Sevilla","ARG","DF",NA,28,5,0,0,0,45
"Martin Agirregabiria","Alavés","ESP","DF","MF",24,1,0,0,0,23
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,24,3,0,0,0,13
"Carlos Akapo","Cádiz","EQG","DF",NA,27,3,1,1,2,10
"Paul Akouokou","Betis","CIV","MF",NA,22,5,1,1,2,11
"Jony Álamo","Elche","ESP","MF",NA,18,0,0,0,0,0
"Jordi Alba","Barcelona","ESP","DF","FW",31,9,0,0,0,20
"Raúl Albiol","Villarreal","ESP","DF",NA,34,7,0,0,0,13
"Paco Alcácer","Villarreal","ESP","FW",NA,26,0,0,0,0,7
"Pedro Alcalá","Cádiz","ESP","DF",NA,31,2,0,0,0,12
"Rubén Alcaraz","Valladolid","ESP","MF",NA,29,10,0,0,0,47
"Iván Alejo","Cádiz","ESP","MF","FW",25,5,0,0,0,29
"Carles Aleñá","Barcelona","ESP","MF",NA,22,1,0,0,0,4
"Carles Aleñá","Getafe","ESP","MF","FW",22,1,0,0,0,20
"Alfon","Celta Vigo","ESP","MF",NA,21,0,0,0,0,0
"Sergio Álvarez","Eibar","ESP","MF","DF",28,3,0,0,0,38
"Yeray Álvarez","Athletic Club","ESP","DF",NA,25,6,0,0,0,20
"Jon Ander Garrido","Cádiz","ESP","MF",NA,30,1,0,0,0,13
"Marcos André","Valladolid","BRA","FW",NA,23,3,0,0,0,25
"Ángel","Granada","ESP","GK",NA,18,0,0,0,0,0
"José Ángel","Eibar","ESP","DF",NA,30,3,0,0,0,8
"Miguel Ángel Rubio","Valladolid","ESP","DF",NA,22,0,0,0,0,2
"José Antonio Miranda","Getafe","EQG","MF","DF",22,1,0,0,0,2
"Aritz Arambarri","Real Sociedad","ESP","DF",NA,22,0,0,0,0,0
"Mauro Arambarri","Getafe","URU","MF",NA,24,11,0,0,0,58
"Néstor Araujo","Celta Vigo","MEX","DF",NA,28,5,0,0,0,30
"Ronald Araújo","Barcelona","URU","DF",NA,21,3,0,0,0,12
