"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Ángel","Granada","ESP","GK",NA,18,0,0,1,2,6,88.9,0,0,1,50
"Sergio Asenjo","Villarreal","ESP","GK",NA,31,15,13,8,40,79,72,10,27.8,1,12.5
"Édgar Badía","Elche","ESP","GK",NA,28,5,11,14,46,92,70.9,5,16.7,3,37.5
"Rubén Blanco","Celta Vigo","ESP","GK",NA,25,7,6,6,27,34,57.4,4,21.1,0,0
"Yassine Bounou","Sevilla","MAR","GK",NA,29,21,5,7,28,78,77.4,15,45.5,2,33.3
"Claudio Bravo","Betis","CHI","GK",NA,37,8,8,4,25,50,72,7,35,1,20
"Jasper Cillessen","Valencia","NED","GK",NA,31,5,1,4,11,33,77.8,3,30,1,50
"Thibaut Courtois","Real Madrid","BEL","GK",NA,28,25,9,4,28,88,81.9,17,44.7,1,12.5
"Marko Dmitrović","Eibar","SRB","GK",NA,28,6,11,18,49,79,64.3,9,25.7,1,25
"Jaume Doménech","Valencia","ESP","GK",NA,29,5,12,11,42,88,70.8,4,14.3,2,33.3
"Aitor Fernández","Levante","ESP","GK",NA,29,8,11,10,44,78,65.8,3,10.3,0,0
"Álvaro Fernández","Huesca","ESP","GK",NA,22,5,5,12,32,64,68.4,5,22.7,0,0
"Andrés Fernández","Huesca","ESP","GK",NA,33,2,8,6,21,34,66.7,4,25,0,0
"Paulo Gazzaniga","Elche","ARG","GK",NA,28,3,1,4,9,14,63.6,2,25,0,0
"David Gil","Cádiz","ESP","GK",NA,26,0,1,3,10,7,47.1,0,0,0,0
"Sergio Herrera","Osasuna","ESP","GK",NA,27,10,8,14,40,86,71.4,10,31.3,2,33.3
"Jeremías Ledesma","Cádiz","ARG","GK",NA,27,10,10,12,45,82,70.9,9,28.1,1,11.1
"Jordi Masip","Valladolid","ESP","GK",NA,31,4,9,12,40,75,68.7,2,8,0,0
"Neto","Barcelona","BRA","GK",NA,31,3,2,2,6,18,83.3,3,42.9,0,0
"Jan Oblak","Atlético Madrid","SVN","GK",NA,27,26,8,4,25,98,80.3,18,47.4,2,66.7
"Fernando Pacheco","Alavés","ESP","GK",NA,28,9,11,17,57,84,61.7,9,24.3,0,0
"Juan Pérez","Osasuna","ESP","GK",NA,24,1,1,1,3,5,75,1,33.3,0,0
"Álex Remiro","Real Sociedad","ESP","GK",NA,25,17,11,10,38,67,66.7,14,36.8,1,25
"Roberto","Valladolid","ESP","GK",NA,34,1,7,5,17,29,67.4,1,7.7,0,0
"Joel Robles","Betis","ESP","GK",NA,30,9,2,7,25,37,65.6,6,33.3,1,20
"Rui Silva","Granada","POR","GK",NA,26,12,6,14,55,79,63.5,8,25,4,44.4
"Unai Simón","Athletic Club","ESP","GK",NA,23,11,13,13,40,68,67.6,9,24.3,1,16.7
"David Soria","Getafe","ESP","GK",NA,27,6,8,14,31,52,69.1,10,35.7,1,14.3
"Marc-André ter Stegen","Barcelona","GER","GK",NA,28,21,5,5,32,76,72.6,11,35.5,0,0
"Iván Villar","Celta Vigo","ESP","GK",NA,23,7,5,7,30,47,68.8,5,26.3,1,14.3
"Rubén Yáñez","Getafe","ESP","GK",NA,26,3,3,4,12,18,63.3,4,40,0,0
