"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Sabit Abdulai","Getafe","GHA","MF",NA,21,2,0,0,3,3,33.3,0,0,0,0,0,0
"Marcos Acuña","Sevilla","ARG","DF",NA,28,62,42,67.741935483871,41,41,56.1,23,2,21,23,30,1
"Bobby Adekanye","Cádiz","NED","FW","MF",21,0,0,NA,1,1,0,0,0,0,0,1,0
"Martin Agirregabiria","Alavés","ESP","DF","MF",24,32,18,56.25,33,33,51.5,9,3,6,27,36,0
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,24,26,17,65.3846153846154,21,21,57.1,7,4,3,25,88,1
"Carlos Akapo","Cádiz","EQG","DF",NA,27,18,14,77.7777777777778,18,18,55.6,16,3,13,19,33,0
"Paul Akouokou","Betis","CIV","MF",NA,22,11,8,72.7272727272727,8,8,62.5,3,1,2,6,7,0
"Jony Álamo","Elche","ESP","MF",NA,18,2,1,50,1,1,0,0,0,0,1,0,0
"Jordi Alba","Barcelona","ESP","DF","FW",31,45,30,66.6666666666667,52,52,46.2,21,2,19,49,48,0
"Raúl Albiol","Villarreal","ESP","DF",NA,34,22,15,68.1818181818182,18,18,72.2,32,22,10,22,146,2
"Paco Alcácer","Villarreal","ESP","FW",NA,26,6,3,50,7,7,42.9,8,0,8,9,6,0
"Pedro Alcalá","Cádiz","ESP","DF",NA,31,8,4,50,5,5,60,19,13,6,16,50,0
"Rubén Alcaraz","Valladolid","ESP","MF",NA,29,54,29,53.7037037037037,80,80,37.5,35,8,27,31,28,0
"Iván Alejo","Cádiz","ESP","MF","FW",25,14,10,71.4285714285714,23,23,17.4,14,1,13,3,10,0
"Carles Aleñá","Getafe","ESP","MF","FW",22,15,10,66.6666666666667,25,25,28,14,1,13,2,2,0
