"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Brenden Aaronson","Union Berlin","USA","MF","FW",22,3,1,1,2,15
"Paxten Aaronson","Eint Frankfurt","USA","MF",NA,19,0,0,0,0,6
"Junior Adamu","Freiburg","AUT","FW","MF",22,0,0,0,0,7
"Sargis Adamyan","Köln","ARM","FW","MF",30,2,0,0,0,18
"Karim Adeyemi","Dortmund","GER","FW","MF",21,6,1,1,2,20
"Amine Adli","Leverkusen","MAR","MF","FW",23,5,0,0,0,14
"Felix Agu","Werder Bremen","GER","DF","MF",23,2,0,0,0,15
"Ludovic Ajorque","Mainz 05","FRA","FW",NA,29,4,0,0,0,28
"Kevin Akpoguma","Hoffenheim","NGA","DF",NA,28,7,0,0,0,15
"Faride Alidou","Köln","GER","FW","MF",22,4,0,0,0,21
"Skelly Alvero","Werder Bremen","FRA","MF",NA,21,1,0,0,0,2
"Nadiem Amiri","Mainz 05","GER","MF",NA,26,5,0,0,0,11
"Robert Andrich","Leverkusen","GER","MF","DF",28,4,0,0,0,23
"Waldemar Anton","Stuttgart","GER","DF",NA,27,7,0,0,0,25
"Christopher Antwi-Adjei","Bochum","GHA","FW","MF",29,5,0,0,0,13
"Maximilian Arnold","Wolfsburg","GER","MF",NA,29,9,0,0,0,37
"Arthur","Leverkusen","BRA","DF",NA,20,0,0,0,0,2
"Takuma Asano","Bochum","JPN","FW","MF",28,2,0,0,0,15
"Noah Atubolu","Freiburg","GER","GK",NA,21,0,0,0,0,0
"Matthias Bader","Darmstadt 98","GER","DF","MF",26,1,0,0,0,17
"Ridle Baku","Wolfsburg","GER","DF","MF",25,4,0,0,0,24
"Aymen Barkok","Mainz 05","MAR","MF","FW",25,2,0,0,0,15
"Leandro Barreiro Martins","Mainz 05","LUX","MF",NA,23,8,0,0,0,58
"Daniel Batz","Mainz 05","GER","GK",NA,32,0,0,0,0,0
"Maximilian Bauer","Augsburg","GER","DF",NA,23,3,0,0,0,13
"Oliver Baumann","Hoffenheim","GER","GK",NA,33,1,0,0,0,1
"Christoph Baumgartner","RB Leipzig","AUT","MF","FW",23,3,0,0,0,27
"Ihlas Bebou","Hoffenheim","TOG","FW","DF",29,3,0,0,0,24
"Adrian Beck","Heidenheim","GER","MF","FW",26,1,0,0,0,14
"Sheraldo Becker","Union Berlin","SUR","FW","MF",28,0,0,0,0,6
"Chris Bedia","Union Berlin","CIV","FW","MF",27,0,0,0,0,7
"Donny van de Beek","Eint Frankfurt","NED","MF","FW",26,1,0,0,0,7
"Kevin Behrens","Wolfsburg","GER","FW",NA,32,1,0,0,0,8
"Kevin Behrens","Union Berlin","GER","FW",NA,32,3,0,0,0,22
"Maximilian Beier","Hoffenheim","GER","FW","MF",20,0,0,0,0,21
"Stefan Bell","Mainz 05","GER","DF",NA,31,3,0,0,0,10
"Ramy Bensebaini","Dortmund","ALG","DF",NA,28,4,1,1,2,15
"Mergim Berisha","Hoffenheim","GER","FW",NA,25,0,0,0,0,5
"Mergim Berisha","Augsburg","GER","FW",NA,25,0,0,0,0,0
"Bernardo","Bochum","BRA","DF",NA,28,9,0,0,0,54
"Matúš Bero","Bochum","SVK","MF","FW",27,6,0,0,0,38
"Jan-Niklas Beste","Heidenheim","GER","FW","MF",24,4,0,0,0,28
"Pep Biel","Augsburg","ESP","MF","FW",26,1,0,0,0,8
"Tom Bischof","Hoffenheim","GER","MF","FW",18,0,0,0,0,1
"Leonardo Bittencourt","Werder Bremen","GER","MF",NA,29,9,0,0,0,34
"Hendry Blank","Dortmund","GER","DF",NA,18,0,0,0,0,0
"Janis Blaswich","RB Leipzig","GER","GK",NA,32,0,0,0,0,0
