"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",500,302,60.4,436,436,53.7,387,99,288,262,701,7
"Bayern Munich",716,417,58.2402234636872,828,828,43.7,442,159,283,414,711,12
"Bochum",453,286,63.1346578366446,370,370,52.7,346,102,244,282,739,8
"Dortmund",722,439,60.803324099723,781,781,46.9,462,124,338,339,727,11
"Eint Frankfurt",624,360,57.6923076923077,623,623,53.1,432,101,331,377,734,9
"Freiburg",440,243,55.2272727272727,415,415,48.2,363,97,266,287,679,11
"Gladbach",530,316,59.622641509434,466,466,48.5,444,89,355,336,487,13
"Hertha BSC",617,384,62.2366288492707,639,639,49.5,350,93,257,299,645,9
"Hoffenheim",526,316,60.0760456273764,517,517,51.8,386,98,288,314,606,8
"Köln",523,305,58.3173996175908,462,462,51.1,447,114,333,287,786,6
"Leverkusen",595,326,54.7899159663866,620,620,43.2,388,109,279,334,527,7
"Mainz 05",471,298,63.2696390658174,444,444,49.5,411,102,309,296,789,17
"RB Leipzig",586,342,58.3617747440273,615,615,43.9,484,120,364,407,586,10
"Schalke 04",523,316,60.4206500956023,447,447,55.7,394,108,286,262,840,2
"Stuttgart",655,378,57.7099236641221,656,656,48.6,404,123,281,292,653,11
"Union Berlin",424,254,59.9056603773585,362,362,49.7,359,82,277,234,760,11
"Werder Bremen",474,290,61.1814345991561,461,461,49.5,371,80,291,304,568,5
"Wolfsburg",540,321,59.4444444444444,524,524,51.1,378,97,281,307,573,9
