"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Bayern Munich",1,21,8,5,71,11,10,5,3,1,4,38,33
"Dortmund",2,22,5,7,71,14,8,2,3,1,6,44,27
"RB Leipzig",3,20,6,8,66,13,7,2,4,2,6,41,25
"Union Berlin",4,18,8,8,62,11,7,6,2,0,8,39,23
"Freiburg",5,17,8,9,59,10,7,4,4,3,6,34,25
"Leverkusen",6,14,8,12,50,8,6,3,5,6,6,27,23
"Eint Frankfurt",7,13,11,10,50,9,4,5,6,3,7,32,18
"Wolfsburg",8,13,10,11,49,6,7,7,3,4,7,25,24
"Mainz 05",9,12,10,12,46,6,6,6,4,5,7,24,22
"Gladbach",10,11,10,13,43,10,1,3,7,4,9,33,10
"Köln",11,10,12,12,42,6,4,5,7,6,6,23,19
"Hoffenheim",12,10,6,18,36,7,3,2,4,8,10,23,13
"Werder Bremen",13,10,6,18,36,5,5,2,4,10,8,17,19
"Bochum",14,10,5,19,35,8,2,2,3,7,12,26,9
"Augsburg",15,9,7,18,34,6,3,4,3,7,11,22,12
"Stuttgart",16,7,12,15,33,5,2,6,6,6,9,21,12
"Schalke 04",17,7,10,17,31,5,2,5,5,7,10,20,11
"Hertha BSC",18,7,8,19,29,5,2,6,2,6,13,21,8
