"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",42,63,-21,16,24,-8,26,39,-13,29,70,5,4,354,101,28.5,0.1,0.37,18.2,14,578,383,195,70,42,28
"Bayern Munich",92,38,54,53,17,36,39,21,18,67,157,5,3,625,251,40.2,0.14,0.35,16.7,10,1094,841,253,153,114,39
"Bochum",40,72,-32,28,32,-4,12,40,-28,28,65,3,3,397,127,32,0.09,0.27,18.1,11,678,464,214,67,44,23
"Dortmund",83,44,39,55,17,38,28,27,1,61,142,6,4,558,219,39.2,0.14,0.35,16.6,20,1014,735,279,144,102,42
"Eint Frankfurt",58,52,6,35,18,17,23,34,-11,33,89,6,6,399,132,33.1,0.13,0.38,16.9,14,711,507,204,95,64,31
"Freiburg",51,44,7,28,13,15,23,31,-8,34,85,8,7,412,167,40.5,0.11,0.26,17.1,16,724,499,225,87,57,30
"Gladbach",52,55,-3,33,18,15,19,37,-18,39,91,6,4,403,166,41.2,0.12,0.29,17.3,12,725,509,216,81,60,21
"Hertha BSC",42,69,-27,24,27,-3,18,42,-24,23,65,7,7,377,121,32.1,0.09,0.29,18.4,11,652,436,216,70,49,21
"Hoffenheim",48,57,-9,28,29,-1,20,28,-8,30,76,9,7,398,130,32.7,0.1,0.3,17.3,16,719,513,206,83,57,26
"Köln",49,54,-5,28,20,8,21,34,-13,31,77,4,4,413,146,35.4,0.1,0.29,16.2,6,705,505,200,78,57,21
"Leverkusen",57,49,8,35,23,12,22,26,-4,44,101,7,5,432,160,37,0.12,0.33,17.4,16,792,576,216,105,72,33
"Mainz 05",54,55,-1,31,25,6,23,30,-7,35,89,6,4,414,152,36.7,0.12,0.33,17.1,17,696,483,213,84,51,33
"RB Leipzig",64,41,23,38,18,20,26,23,3,39,103,7,6,497,182,36.6,0.12,0.32,17.5,18,874,629,245,108,76,32
"Schalke 04",35,71,-36,23,36,-13,12,35,-23,24,56,5,4,421,123,29.2,0.07,0.23,17.7,19,715,487,228,56,38,18
"Stuttgart",45,57,-12,23,22,1,22,35,-13,34,79,5,5,457,140,30.6,0.09,0.29,17.9,14,810,561,249,83,64,19
"Union Berlin",51,38,13,30,11,19,21,27,-6,38,87,7,3,374,113,30.2,0.12,0.41,17.9,5,650,469,181,86,56,30
"Werder Bremen",51,64,-13,26,28,-2,25,36,-11,37,87,6,5,363,136,37.5,0.12,0.33,17.9,18,649,502,147,90,71,19
"Wolfsburg",57,48,9,34,25,9,23,23,0,44,99,7,4,401,138,34.4,0.13,0.37,16.9,11,713,510,203,102,75,27
