"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Augsburg",66,0,0,0,374
"Bayern Munich",50,0,0,0,347
"Bochum",62,2,1,3,370
"Dortmund",79,5,3,8,422
"Eint Frankfurt",78,2,1,3,399
"Freiburg",80,5,2,7,440
"Gladbach",66,6,3,9,464
"Hertha BSC",47,1,0,1,412
"Hoffenheim",63,2,1,3,382
"Köln",64,4,1,5,369
"Leverkusen",95,1,1,2,433
"Mainz 05",72,5,3,8,347
"RB Leipzig",81,1,1,2,418
"Schalke 04",78,3,2,5,416
"Stuttgart",78,1,0,1,422
"Union Berlin",61,3,3,6,363
"Werder Bremen",66,0,0,0,387
"Wolfsburg",78,2,1,3,474
