"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",597,1458,13841,18024,76.8,5992,6995,85.7,1561,2925,53.4,5949,7081,84,16282,1663,470,56,83,708,716,165,79,58.3,21973,568,247,43.5,232,40.8
"Bayern Munich",354,879,9411,12829,73.4,4054,4829,84,1260,2389,52.7,3857,4768,80.9,11249,1531,363,17,116,454,608,126,49,35.8,16907,586,251,42.8,287,49
"Bochum",525,1247,11742,16038,73.2,5106,6094,83.8,1535,3027,50.7,4821,6031,79.9,14119,1855,455,34,131,676,853,195,64,53.9,19950,714,325,45.5,310,43.4
"Dortmund",452,1064,11021,14394,76.6,4703,5513,85.3,1243,2321,53.6,4799,5688,84.4,12810,1498,353,51,86,476,595,153,86,41.8,18449,612,264,43.1,287,46.9
"Eint Frankfurt",435,1129,12292,16233,75.7,4872,5794,84.1,1412,2745,51.4,5737,6783,84.6,14486,1689,478,34,88,520,721,141,58,47.1,20346,658,320,48.6,265,40.3
"Freiburg",527,1220,13030,16835,77.4,5520,6460,85.4,1275,2512,50.8,5929,6997,84.7,15223,1568,443,49,88,548,659,148,44,51.9,20454,511,244,47.7,207,40.5
"Gladbach",600,1349,12596,16130,78.1,5369,6189,86.8,1323,2494,53,5568,6500,85.7,14554,1486,381,30,119,671,635,181,90,46.3,19733,600,269,44.8,267,44.5
"Hertha BSC",535,1328,13867,18039,76.9,5895,6904,85.4,1473,2855,51.6,6118,7220,84.7,16064,1899,449,47,111,652,902,203,76,58,21919,584,270,46.2,251,43
"Hoffenheim",604,1338,12906,16768,77,5651,6568,86,1515,2776,54.6,5435,6494,83.7,14896,1807,527,43,104,652,760,187,65,51.7,20608,548,238,43.4,236,43.1
"Köln",470,1157,12817,16789,76.3,5059,5978,84.6,1630,2902,56.2,5825,6921,84.2,14939,1795,448,29,121,598,850,156,55,50.1,20809,754,356,47.2,311,41.2
"Leverkusen",481,1254,13329,16950,78.6,5702,6537,87.2,1388,2613,53.1,5954,6929,85.9,15411,1477,397,35,91,525,641,131,62,48,20578,478,185,38.7,236,49.4
"Mainz 05",595,1279,13921,18210,76.4,5658,6728,84.1,1650,3051,54.1,6359,7558,84.1,16407,1755,520,45,108,599,755,142,48,55.2,22189,626,289,46.2,270,43.1
"RB Leipzig",424,1009,11163,14800,75.4,4585,5447,84.2,1395,2609,53.5,4874,5804,84,13150,1601,449,34,102,483,673,120,49,41.9,18682,581,259,44.6,253,43.5
"Schalke 04",577,1240,12030,16016,75.1,5050,6046,83.5,1432,2742,52.2,5243,6326,82.9,14133,1821,475,49,139,618,795,206,62,54,20052,640,299,46.7,253,39.5
"Stuttgart",461,1226,13193,16923,78,5549,6350,87.4,1340,2609,51.4,5894,6951,84.8,15251,1619,373,26,86,575,732,163,53,49.8,20700,573,256,44.7,268,46.8
"Union Berlin",525,1334,14887,18818,79.1,6145,7072,86.9,1576,2908,54.2,6786,7869,86.2,17083,1702,484,40,108,594,703,158,33,56.2,22481,597,286,47.9,239,40
"Werder Bremen",574,1303,12977,17033,76.2,5659,6643,85.2,1365,2711,50.4,5592,6660,84,15214,1726,469,52,64,629,770,190,93,50.7,20908,706,317,44.9,300,42.5
"Wolfsburg",467,1157,12117,15835,76.5,5145,5983,86,1571,2818,55.7,5099,6080,83.9,14014,1727,413,63,137,616,741,205,94,49.4,19549,587,256,43.6,265,45.1
