"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",34,331,847,8422,12742,66.1,3104,4032,77,1253,2819,44.4,3844,5050,76.1,10915,1769,428,30,73,548,745,166,58,41.7,16607,491,202,41.1,234,47.7
"Bayern Munich",28,863,2041,19404,22716,85.4,8781,9678,90.7,1653,2553,64.7,8580,9490,90.4,21104,1528,378,78,115,603,657,229,84,64.2,26741,912,466,51.1,362,39.7
"Bochum",26,350,1022,9209,13549,68,3742,4704,79.5,1534,3145,48.8,3734,4954,75.4,11775,1708,412,31,72,568,768,141,66,46.1,17478,420,175,41.7,195,46.4
"Dortmund",30,783,1628,16445,19889,82.7,7277,8180,89,1853,2872,64.5,6704,7585,88.4,18132,1716,475,44,213,677,699,227,41,58.2,23758,879,415,47.2,366,41.6
"Eint Frankfurt",28,632,1372,13930,17975,77.5,6239,7247,86.1,1196,2423,49.4,6164,7319,84.2,16179,1726,437,46,70,616,786,189,70,52.9,21945,695,292,42,331,47.6
"Freiburg",27,427,1039,11653,15533,75,4532,5503,82.4,1565,2829,55.3,5212,6241,83.5,13934,1542,454,24,116,547,603,141,57,48.1,19068,483,216,44.7,200,41.4
"Gladbach",27,518,1168,15516,18854,82.3,7012,7776,90.2,1280,2371,54,6828,7668,89,17035,1747,532,64,60,441,684,151,72,53.7,22583,548,240,43.8,226,41.2
"Hertha BSC",32,413,914,8876,12800,69.3,3726,4615,80.7,1117,2467,45.3,3761,4869,77.2,11022,1720,468,28,100,516,756,147,58,42,17023,711,323,45.4,316,44.4
"Hoffenheim",31,457,1175,11754,15564,75.5,4941,5830,84.8,1405,2668,52.7,5108,6136,83.2,13750,1736,418,17,119,577,784,161,78,48.3,19434,577,249,43.2,268,46.4
"Köln",27,522,1247,12242,16367,74.8,4634,5485,84.5,1352,2725,49.6,6017,7208,83.5,14542,1757,409,20,62,790,811,205,68,49.9,20320,521,226,43.4,236,45.3
"Leverkusen",27,678,1243,14683,18206,80.6,7075,8019,88.2,1279,2372,53.9,5908,6837,86.4,16529,1626,468,59,72,461,678,139,51,52,21877,714,352,49.3,268,37.5
"Mainz 05",27,364,1155,10075,14492,69.5,4418,5434,81.3,1293,2828,45.7,4059,5270,77,12764,1654,365,25,97,610,795,155,74,44.8,18471,495,224,45.3,220,44.4
"RB Leipzig",25,599,1450,16911,20529,82.4,7461,8392,88.9,1511,2537,59.6,7606,8572,88.7,18813,1636,437,99,120,489,748,167,80,58.1,24322,697,345,49.5,270,38.7
"Schalke 04",35,415,934,9234,13360,69.1,3511,4414,79.5,1331,2803,47.5,4162,5223,79.7,11517,1773,445,29,62,764,786,169,70,46,17260,515,198,38.4,250,48.5
"Stuttgart",30,609,1278,13460,16987,79.2,5463,6341,86.2,1637,2756,59.4,6101,7070,86.3,15298,1633,450,37,188,597,711,156,56,50.2,20930,734,337,45.9,319,43.5
"Union Berlin",28,375,1012,10312,14418,71.5,4140,5021,82.5,1359,2892,47,4555,5629,80.9,12762,1594,378,26,46,708,763,165,62,43.8,17952,415,182,43.9,180,43.4
"Werder Bremen",25,412,1140,12443,16554,75.2,5048,6006,84,1688,3071,55,5399,6523,82.8,14903,1586,449,39,164,514,639,109,65,49.3,20465,516,233,45.2,228,44.2
"Wolfsburg",28,455,1306,12571,16129,77.9,4610,5453,84.5,1638,2876,57,6097,7016,86.9,14311,1768,544,38,133,568,696,153,50,50.6,20053,600,256,42.7,268,44.7
