"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",63,42,46,107,4,1,534,198,37.1,0.11,0.3,17.3,13,921,672,249,108,75,33
"Bayern Munich",38,92,22,60,10,9,302,97,32.1,0.1,0.3,17.7,8,523,359,164,65,40,25
"Bochum",72,40,40,109,14,8,520,189,36.3,0.12,0.32,17.1,20,923,631,292,112,60,52
"Dortmund",44,83,31,74,1,1,409,150,36.7,0.1,0.28,17.8,9,703,505,198,73,57,16
"Eint Frankfurt",52,58,41,92,2,2,370,133,35.9,0.13,0.37,16.4,12,644,437,207,92,54,38
"Freiburg",44,51,28,72,6,5,438,145,33.1,0.09,0.27,17.3,9,760,565,195,77,62,15
"Gladbach",55,52,37,91,6,6,476,174,36.6,0.1,0.28,17.4,18,844,594,250,93,68,25
"Hertha BSC",69,42,51,120,6,5,469,164,35,0.14,0.39,16.5,22,832,587,245,120,78,42
"Hoffenheim",57,48,45,101,3,2,478,159,33.3,0.11,0.34,16.9,9,838,625,213,94,70,24
"Köln",54,49,37,88,5,4,371,124,33.4,0.13,0.38,17.4,14,664,465,199,93,65,28
"Leverkusen",49,57,29,76,7,7,386,139,36,0.1,0.29,17.6,19,651,465,186,79,56,23
"Mainz 05",55,54,42,97,8,4,432,146,33.8,0.12,0.35,18,20,777,554,223,97,70,27
"RB Leipzig",41,64,23,62,8,7,308,98,31.8,0.1,0.33,18.3,10,540,386,154,64,44,20
"Schalke 04",71,35,50,120,6,5,488,188,38.5,0.13,0.35,17,9,886,650,236,128,100,28
"Stuttgart",57,45,39,95,6,6,395,140,35.4,0.13,0.36,17.7,17,707,519,188,103,78,25
"Union Berlin",38,51,26,64,7,7,383,137,35.8,0.08,0.23,17.6,13,668,459,209,65,39,26
"Werder Bremen",64,51,50,112,3,2,474,181,38.2,0.13,0.33,17.5,14,802,564,238,103,77,26
"Wolfsburg",48,57,33,78,7,4,462,142,30.7,0.09,0.29,17.5,12,816,572,244,76,56,20
