"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Augsburg",2,63,138,69.2,6,17.6,2,66.7
"Bayern Munich",3,38,68,72.9,11,32.4,1,10
"Bochum",1,72,128,68,5,14.7,3,27.3
"Dortmund",2,44,108,71.5,12,35.3,0,0
"Eint Frankfurt",2,52,84,63,6,17.6,0,0
"Freiburg",1,44,106,74,13,38.2,0,0
"Gladbach",4,55,126,72.8,9,26.5,0,0
"Hertha BSC",2,69,100,62.4,3,8.8,1,16.7
"Hoffenheim",1,57,105,65.8,5,14.7,0,0
"Köln",1,54,77,61.2,6,17.6,1,20
"Leverkusen",2,49,99,71.2,9,26.5,0,0
"Mainz 05",2,55,95,66.7,7,20.6,3,42.9
"RB Leipzig",3,41,66,67.9,10,29.4,1,12.5
"Schalke 04",2,71,123,65.8,7,20.6,0,0
"Stuttgart",2,57,90,65.1,2,5.9,0,0
"Union Berlin",2,38,106,78.5,13,38.2,0,0
"Werder Bremen",2,64,121,66.3,4,11.8,1,33.3
"Wolfsburg",1,48,101,70.1,12,35.3,1,20
