"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aarón Escandell","Granada","ESP","GK",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Abde Ezzalzouli","Barcelona","MAR","FW",NA,19,0,1,0,0,16,4,25,0.06,0.25,16.5,0,17,9,8,2,1,1
"Abdón Prats","Mallorca","ESP","FW",NA,28,0,3,0,0,18,6,33.3,0.17,0.5,15.9,2,18,12,6,1,0,1
"Adama Traoré","Barcelona","ESP","FW",NA,25,2,2,0,0,9,3,33.3,0,0,15.1,0,20,12,8,3,3,0
"Adnan Januzaj","Real Sociedad","BEL","FW","MF",26,0,3,2,2,40,13,32.5,0.03,0.08,23.1,9,78,42,36,6,1,5
"Adri Embarba","Espanyol","ESP","FW","MF",29,2,2,0,0,49,16,32.7,0,0,23.1,15,92,44,48,6,2,4
"Adrià Pedrosa","Espanyol","ESP","DF",NA,23,1,2,0,0,25,7,28,0.04,0.14,23,0,52,33,19,2,1,1
"Adrián Butzke","Granada","ESP","FW",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aihen Muñoz","Real Sociedad","ESP","DF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,22,12,10,1,0,1
"Aïssa Mandi","Villarreal","ALG","DF",NA,29,0,1,0,0,10,3,30,0.1,0.33,10.1,0,5,3,2,1,0,1
"Aitor Fernández","Levante","ESP","GK",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,2,0,0,0
"Aitor Ruibal","Betis","ESP","FW","DF",25,0,0,0,0,20,3,15,0,0,18.2,0,34,24,10,1,0,1
"Alberto Moreno","Villarreal","ESP","MF","DF",29,2,5,0,0,22,10,45.5,0.14,0.3,18,1,37,28,9,3,0,3
