"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Luis Abram","Granada","PER","DF",NA,25,2,0,0,0,5
"Marcos Acuña","Sevilla","ARG","DF",NA,29,10,0,0,0,38
"Martin Agirregabiria","Alavés","ESP","DF",NA,25,4,0,0,0,24
"Sergio Agüero","Barcelona","ARG","FW",NA,33,0,0,0,0,1
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,25,1,0,0,0,10
"Carlos Akapo","Cádiz","EQG","DF",NA,28,4,0,0,0,23
"Ilias Akhomach","Barcelona","MAR","FW",NA,17,0,0,0,0,3
"Paul Akouokou","Betis","CIV","MF",NA,23,2,1,0,1,13
"David Alaba","Real Madrid","AUT","DF",NA,29,2,0,0,0,16
"Tomás Alarcón","Cádiz","CHI","MF",NA,22,5,0,0,0,19
"Jordi Alba","Barcelona","ESP","DF",NA,32,11,0,0,0,26
"Raúl Albiol","Villarreal","ESP","DF",NA,35,8,0,0,0,18
"Paco Alcácer","Villarreal","ESP","FW",NA,27,1,0,0,0,5
"Rubén Alcaraz","Cádiz","ESP","MF",NA,30,7,0,0,0,30
"Omar Alderete","Valencia","PAR","DF",NA,24,15,0,0,0,42
"Iván Alejo","Cádiz","ESP","MF","FW",26,7,0,0,0,37
"Carles Aleñá","Getafe","ESP","MF",NA,23,6,1,0,1,50
"Yeray Álvarez","Athletic Club","ESP","DF",NA,26,6,0,0,0,23
"Dani Alves","Barcelona","BRA","DF",NA,38,2,1,0,1,27
"Emmanuel Amankwaa Akurugu","Getafe","GHA","DF",NA,19,0,0,0,0,1
"Amath","Mallorca","SEN","FW","MF",25,5,0,0,0,19
"Florin Andone","Cádiz","ROU","FW",NA,28,1,0,0,0,3
"Marcos André","Valencia","BRA","FW","MF",24,3,0,0,0,23
"José Ángel","Osasuna","ESP","DF",NA,31,2,1,0,1,10
"Mauro Arambarri","Getafe","URU","MF",NA,25,13,0,0,0,51
"Néstor Araujo","Celta Vigo","MEX","DF",NA,29,4,0,0,0,19
"Ronald Araújo","Barcelona","URU","DF",NA,22,6,0,0,0,25
"Jesús Areso","Osasuna","ESP","DF",NA,22,1,0,0,0,3
"Matias Arezo","Granada","URU","FW","MF",18,1,0,0,0,3
"Santiago Arias","Granada","COL","DF",NA,29,1,0,0,0,6
"Santiago Arzamendia","Cádiz","PAR","MF",NA,23,2,0,0,0,6
"Sergio Asenjo","Villarreal","ESP","GK",NA,32,1,0,0,0,0
"Alejandro Asensio","Rayo Vallecano","ESP","FW",NA,20,0,0,0,0,0
"Marco Asensio","Real Madrid","ESP","FW","MF",25,2,0,0,0,8
"Iago Aspas","Celta Vigo","ESP","FW",NA,33,9,0,0,0,22
"Pierre-Emerick Aubameyang","Barcelona","GAB","FW",NA,32,0,0,0,0,7
"Ludwig Augustinsson","Sevilla","SWE","DF","FW",27,3,0,0,0,13
