"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Sergio Asenjo","Villarreal","ESP","GK",NA,32,2,2,2,9,19,71.4,0,0,0,0
"Édgar Badía","Elche","ESP","GK",NA,29,8,5,11,35,78,75.4,5,20.8,1,12.5
"Yassine Bounou","Sevilla","MAR","GK",NA,30,14,13,4,24,75,78,13,41.9,1,33.3
"Claudio Bravo","Betis","CHI","GK",NA,38,8,4,5,19,39,67.9,5,29.4,0,0
"Cárdenas","Levante","ESP","GK",NA,24,6,6,12,46,74,65,5,20.8,0,0
"Jasper Cillessen","Valencia","NED","GK",NA,32,4,8,5,29,49,68.8,3,17.6,1,16.7
"Thibaut Courtois","Real Madrid","BEL","GK",NA,29,26,7,3,29,91,77.5,16,44.4,1,33.3
"Stole Dimitrievski","Rayo Vallecano","MKD","GK",NA,27,11,8,11,37,88,76.2,9,30,2,22.2
"Matías Dituro","Celta Vigo","ARG","GK",NA,34,12,10,16,43,91,71.3,14,36.8,4,50
"Aarón Escandell","Granada","ESP","GK",NA,25,0,2,1,6,10,75,1,33.3,0,0
"Aitor Fernández","Levante","ESP","GK",NA,30,1,5,7,29,51,65.4,2,15.4,1,50
"Sergio Herrera","Osasuna","ESP","GK",NA,28,12,10,14,48,97,70.1,12,33.3,3,42.9
"Jeremías Ledesma","Cádiz","ARG","GK",NA,28,8,15,15,51,117,76.5,13,34.2,2,15.4
"Diego López","Espanyol","ESP","GK",NA,39,10,12,14,49,110,70.7,9,25,0,0
"Andriy Lunin","Real Madrid","UKR","GK",NA,22,0,1,1,2,6,88.9,0,0,1,50
"Giorgi Mamardashvili","Valencia","GEO","GK",NA,20,5,7,6,20,55,76,8,44.4,0,0
"Luís Maximiano","Granada","POR","GK",NA,22,8,12,15,55,122,71.8,7,20,2,28.6
"Jan Oblak","Atlético Madrid","SVN","GK",NA,28,21,8,9,43,65,66,12,31.6,1,12.5
"Oier Olazábal","Espanyol","ESP","GK",NA,31,0,0,1,1,8,100,1,100,0,0
"Fernando Pacheco","Alavés","ESP","GK",NA,29,8,5,21,60,85,62.8,5,14.7,3,37.5
"Manolo Reina","Mallorca","ESP","GK",NA,36,6,9,6,26,49,68,8,38.1,1,33.3
"Álex Remiro","Real Sociedad","ESP","GK",NA,26,15,11,9,32,79,75,19,54.3,1,20
"Sergio Rico","Mallorca","ESP","GK",NA,27,4,0,10,29,29,54.4,1,7.1,1,25
"Leo Román","Mallorca","ESP","GK",NA,21,0,0,2,5,10,71.4,0,0,0,0
"Gerónimo Rulli","Villarreal","ARG","GK",NA,29,14,9,9,28,72,75,14,43.8,1,25
"Mathew Ryan","Real Sociedad","AUS","GK",NA,29,2,0,1,5,10,73.3,1,33.3,0,0
"Rui Silva","Betis","POR","GK",NA,27,11,4,6,21,55,75,8,38.1,0,0
"Unai Simón","Athletic Club","ESP","GK",NA,24,13,11,10,31,81,74.8,12,35.3,0,0
"Antonio Sivera","Alavés","ESP","GK",NA,24,0,1,2,4,12,81.3,1,33.3,0,0
"David Soria","Getafe","ESP","GK",NA,28,8,15,15,41,91,70.5,13,34.2,1,33.3
"Marc-André ter Stegen","Barcelona","GER","GK",NA,29,19,9,7,34,74,70.6,11,31.4,1,33.3
